"Scenario_Set","Scenario_Name","Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","T_assess","Cycle_Max","Continuous_Enrollment","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,1,0.07,0.07,0.0338,NA,NA,NA,0,3.9738,3.9738,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,2,0.1,0.1,0.0606,NA,NA,NA,0.6552,3.4808,3.4808,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,3,0.12,0.12,0.0872,NA,NA,NA,1.6129,3.6381,3.6381,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,4,0.14,0.14,0.1144,NA,NA,NA,9.7782,5.1275,5.1275,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,5,0.17,0.17,0.2168,NA,NA,NA,34.9294,7.3836,7.3836,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,6,0.19,0.19,0.3604,NA,NA,NA,24.3952,3.7243,3.7243,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,7,0.22,0.22,0.4267,NA,NA,NA,12.6512,1.4894,1.4894,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,8,0.26,0.26,0.4872,NA,NA,NA,15.877,1.1552,1.1552,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,2,1,1,0.07,0.07,0.0254,NA,NA,NA,0,3.8846,3.8846,0,29.9728,19.6028,0.1008,335.3718,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,2,1,2,0.1,0.1,0.0466,NA,NA,NA,0.504,3.44,3.44,3.1784,29.9728,19.6028,0.1008,335.3718,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
