"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat_raw","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files"
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0,0.1,0.5,1,0.07,0.07,0.0072,0.0925,0.0661,0.0291,0.6,4.1835,4.1835,0,30,21.2835,0,70.2518,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0,0.1,0.5,2,0.12,0.12,0.0254,0.068,0.0729,0.0208,3,5.0775,5.0775,3.2485,30,21.2835,0,70.2518,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0,0.1,0.5,3,0.17,0.17,0.0667,0.0681,0.1103,0.0236,11.5,6.3225,6.3225,1.121,30,21.2835,0,70.2518,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0,0.1,0.5,4,0.22,0.22,0.1312,0.0894,0.1389,0.0421,27.1,6.264,6.264,2.824,30,21.2835,0,70.2518,2000,2000
1,"BOIN","approx1-r_mle","approx1","r_mle",NA,0,0.1,0.5,5,0.3,0.3,0.2873,0.0584,0.2551,0.0295,57.8,8.1525,8.1525,1.523,30,21.2835,0,70.2518,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,1,0.07,0.07,0.0088,NA,NA,0,0.7,4.215,4.215,0,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,2,0.12,0.12,0.0307,NA,NA,0,3.75,5.4225,5.4225,3.3845,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,3,0.17,0.17,0.0729,NA,NA,0,14.55,6.4635,6.4635,1.2395,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,4,0.22,0.22,0.148,NA,NA,0,31.05,6.6495,6.6495,2.9565,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,5,0.3,0.3,0.2941,NA,NA,0,49.95,7.2495,7.2495,1.4695,30,20.95,0,69.6601,2000,2000
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0.1,0.5,1,0.07,0.07,0.0077,NA,NA,0.1,0.6629,4.207,4.207,0,30,20.7639,0,69.2712,1961,1961
