"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat_raw","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files"
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,1,0.07,0.07,0.0787,NA,NA,NA,0.15,4.0635,4.0635,0,30,22.0065,0,71.728,2000,2000
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,2,0.12,0.12,0.1111,NA,NA,NA,1.8,3.9285,3.9285,3.4005,30,22.0065,0,71.728,2000,2000
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,3,0.17,0.17,0.1843,NA,NA,NA,9.05,5.166,5.166,0.298,30,22.0065,0,71.728,2000,2000
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,4,0.22,0.22,0.225,NA,NA,NA,25,6.15,6.15,3.244,30,22.0065,0,71.728,2000,2000
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.5,5,0.3,0.3,0.3145,NA,NA,NA,64,10.692,10.692,1.051,30,22.0065,0,71.728,2000,2000
1,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,1,0.07,0.07,0.085,NA,NA,NA,0.15,4.131,4.131,0,30,21.674,0,71.0553,2000,2000
1,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,2,0.12,0.141,0.1189,NA,NA,NA,2.4,4.1175,4.1175,3.476,30,21.674,0,71.0553,2000,2000
1,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,3,0.17,0.206,0.1945,NA,NA,NA,11,5.511,5.511,0.3625,30,21.674,0,71.0553,2000,2000
1,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,4,0.22,0.271,0.2361,NA,NA,NA,29.45,6.5655,6.5655,3.3565,30,21.674,0,71.0553,2000,2000
1,"CRM","crm_fixed",NA,NA,"fixed",0.3,0,0.5,5,0.3,0.366,0.3266,NA,NA,NA,57,9.675,9.675,1.131,30,21.674,0,71.0553,2000,2000
