"Plot_Alpha","Source_Alpha","Gap","Display_Method","Model","CRM_r_model","CFO_Method","Metric","Raw_Value","Plot_Value","Nmax_eff","n_scenarios_found","n_scenarios_paired_with_oracle"
0,0,"0.05","CRM","CRM","r_fixed",NA,"Average MTD selection %",34.5191,34.5191,30,10000,10000
0,0,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",34.2254,34.2254,30,10000,10000
0,0,"0.05","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",35.6222,35.6222,30,10000,10000
0,0,"0.05","Discount CRM","CRM","random",NA,"Average MTD selection %",34.695,34.695,30,10000,10000
0,0,"0.10","CRM","CRM","r_fixed",NA,"Average MTD selection %",50.3331,50.3331,30,10000,10000
0,0,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",49.0603,49.0603,30,10000,10000
0,0,"0.10","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",49.747,49.747,30,10000,10000
0,0,"0.10","Discount CRM","CRM","random",NA,"Average MTD selection %",49.752,49.752,30,10000,10000
0,0,"0.15","CRM","CRM","r_fixed",NA,"Average MTD selection %",59.4232,59.4232,30,9980,9980
0,0,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD selection %",57.7153,57.7153,30,5670,5650
0,0,"0.15","IPCRM","CRM","cumu_crm",NA,"Average MTD selection %",59.6681,59.6681,30,10000,9980
0,0,"0.15","Discount CRM","CRM","random",NA,"Average MTD selection %",58.359,58.359,30,9980,9980
0,0,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average MTD selection %",59.2,59.2,30,9790,9770
0,0,"0.05","CRM","CRM","r_fixed",NA,"Average MTD allocation",8.4198,28.066,30,10000,10000
0,0,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",8.4273,28.091,30,10000,10000
0,0,"0.05","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",8.6528,28.8426666666667,30,10000,10000
0,0,"0.05","Discount CRM","CRM","random",NA,"Average MTD allocation",8.4128,28.0426666666667,30,10000,10000
0,0,"0.10","CRM","CRM","r_fixed",NA,"Average MTD allocation",11.159,37.1966666666667,30,10000,10000
0,0,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",10.9767,36.589,30,10000,10000
0,0,"0.10","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",10.9637,36.5456666666667,30,10000,10000
0,0,"0.10","Discount CRM","CRM","random",NA,"Average MTD allocation",11.0045,36.6816666666667,30,10000,10000
0,0,"0.15","CRM","CRM","r_fixed",NA,"Average MTD allocation",12.8756,42.9186666666667,30,9980,9980
0,0,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average MTD allocation",12.5449,41.8163333333333,30,5670,5650
0,0,"0.15","IPCRM","CRM","cumu_crm",NA,"Average MTD allocation",12.5448,41.816,30,10000,9980
0,0,"0.15","Discount CRM","CRM","random",NA,"Average MTD allocation",12.5884,41.9613333333333,30,9980,9980
0,0,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average MTD allocation",11.8135,39.3783333333333,30,9790,9770
0,0,"0.05","CRM","CRM","r_fixed",NA,"Average overdose selection %",25.2668,25.2668,30,10000,10000
0,0,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose selection %",29.9013,29.9013,30,10000,10000
0,0,"0.05","IPCRM","CRM","cumu_crm",NA,"Average overdose selection %",40.3064,40.3064,30,10000,10000
0,0,"0.05","Discount CRM","CRM","random",NA,"Average overdose selection %",27.9067,27.9067,30,10000,10000
0,0,"0.10","CRM","CRM","r_fixed",NA,"Average overdose selection %",23.819,23.819,30,10000,10000
0,0,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose selection %",28.5656,28.5656,30,10000,10000
0,0,"0.10","IPCRM","CRM","cumu_crm",NA,"Average overdose selection %",35.003,35.003,30,10000,10000
0,0,"0.10","Discount CRM","CRM","random",NA,"Average overdose selection %",26.1511,26.1511,30,10000,10000
0,0,"0.15","CRM","CRM","r_fixed",NA,"Average overdose selection %",20.7364,20.7364,30,9980,9980
0,0,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose selection %",24.6168,24.6168,30,5670,5650
0,0,"0.15","IPCRM","CRM","cumu_crm",NA,"Average overdose selection %",27.8932,27.8932,30,10000,9980
0,0,"0.15","Discount CRM","CRM","random",NA,"Average overdose selection %",22.5308,22.5308,30,9980,9980
0,0,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average overdose selection %",22.2099,22.2099,30,9790,9770
0,0,"0.05","CRM","CRM","r_fixed",NA,"Average overdose allocation",6.0891,20.297,30,10000,10000
0,0,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose allocation",6.9782,23.2606666666667,30,10000,10000
0,0,"0.05","IPCRM","CRM","cumu_crm",NA,"Average overdose allocation",9.5564,31.8546666666667,30,10000,10000
0,0,"0.05","Discount CRM","CRM","random",NA,"Average overdose allocation",6.7416,22.472,30,10000,10000
0,0,"0.10","CRM","CRM","r_fixed",NA,"Average overdose allocation",6.5258,21.7526666666667,30,10000,10000
0,0,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose allocation",7.5475,25.1583333333333,30,10000,10000
0,0,"0.10","IPCRM","CRM","cumu_crm",NA,"Average overdose allocation",9.4465,31.4883333333333,30,10000,10000
0,0,"0.10","Discount CRM","CRM","random",NA,"Average overdose allocation",7.2187,24.0623333333333,30,10000,10000
0,0,"0.15","CRM","CRM","r_fixed",NA,"Average overdose allocation",6.5784,21.928,30,9980,9980
0,0,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average overdose allocation",7.5402,25.134,30,5670,5650
0,0,"0.15","IPCRM","CRM","cumu_crm",NA,"Average overdose allocation",8.8177,29.3923333333333,30,10000,9980
0,0,"0.15","Discount CRM","CRM","random",NA,"Average overdose allocation",7.2274,24.0913333333333,30,9980,9980
0,0,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average overdose allocation",9.501,31.67,30,9790,9770
0,0,"0.05","CRM","CRM","r_fixed",NA,"Average total unique patients",21.9033,21.9033,30,10000,10000
0,0,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average total unique patients",21.9157,21.9157,30,10000,10000
0,0,"0.05","IPCRM","CRM","cumu_crm",NA,"Average total unique patients",22.5664,22.5664,30,10000,10000
0,0,"0.05","Discount CRM","CRM","random",NA,"Average total unique patients",21.8355,21.8355,30,10000,10000
0,0,"0.10","CRM","CRM","r_fixed",NA,"Average total unique patients",22.0211,22.0211,30,10000,10000
0,0,"0.10","Alpha-CRM","CRM","alpha_crm",NA,"Average total unique patients",22.1333,22.1333,30,10000,10000
0,0,"0.10","IPCRM","CRM","cumu_crm",NA,"Average total unique patients",22.8063,22.8063,30,10000,10000
0,0,"0.10","Discount CRM","CRM","random",NA,"Average total unique patients",22.0157,22.0157,30,10000,10000
0,0,"0.15","CRM","CRM","r_fixed",NA,"Average total unique patients",22.218,22.218,30,9980,9980
0,0,"0.15","Alpha-CRM","CRM","alpha_crm",NA,"Average total unique patients",22.3321,22.3321,30,5670,5650
0,0,"0.15","IPCRM","CRM","cumu_crm",NA,"Average total unique patients",22.9673,22.9673,30,10000,9980
0,0,"0.15","Discount CRM","CRM","random",NA,"Average total unique patients",22.2154,22.2154,30,9980,9980
0,0,"0.15","CFO (PRIDE; gap 0.15)","CFO",NA,"pride","Average total unique patients",23.1525,23.1525,30,9790,9770
0,0,"0.05","CRM","CRM","r_fixed",NA,"Average trial duration",1201.1582,171.594028571429,30,10000,10000
0,0,"0.05","Alpha-CRM","CRM","alpha_crm",NA,"Average trial duration",1201.9336,171.7048,30,10000,10000
0,0,"0.05","IPCRM","CRM","cumu_crm",NA,"Average trial duration",1238.2509,176.892985714286,30,10000,10000
0,0,"0.05","Discount CRM","CRM","random",NA,"Average trial duration",1197.4476,171.063942857143,30,10000,10000
