"dose","true_regular_probability","average_regular_estimate","average_ipde_estimate","scenario","alpha_eff","prior_type","prior_label","a_r","b_r","n_regular","n_ipde","true_ipde_probability"
1,0.2,0.18408857985822,0.18408857985822,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.2
2,0.35,0.296883125583344,0.252639949954863,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.35
3,0.36,0.261725791193887,0.254002683436943,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.36
4,0.37,0.25625369323208,0.287227004170126,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.37
5,0.38,0.306010574988578,0.283806755887432,"sce1",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.38
1,0.2,0.212762288592364,0.212762288592364,"sce1",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.2
2,0.35,0.327572234971383,0.260520831723194,"sce1",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.35
3,0.36,0.306971379505684,0.306203527425432,"sce1",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.36
4,0.37,0.290926704329512,0.270140874706037,"sce1",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.37
5,0.38,0.300276435655058,0.344567881345057,"sce1",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.38
1,0.2,0.252995015951159,0.252995015951159,"sce1",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.2
2,0.35,0.387354316585021,0.337412603045099,"sce1",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.35
3,0.36,0.322462555395252,0.337005324317737,"sce1",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.36
4,0.37,0.357470769864724,0.352128482616248,"sce1",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.37
5,0.38,0.343090827195675,0.394872603567843,"sce1",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.38
1,0.2,0.249915859039011,0.249915859039011,"sce1",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.2
2,0.35,0.379732335208927,0.382925508288516,"sce1",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.35
3,0.36,0.388059752623875,0.402078633687692,"sce1",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.36
4,0.37,0.402723343114956,0.401761794711587,"sce1",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.37
5,0.38,0.440023312757561,0.420277640445604,"sce1",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.38
1,0.01,0.01053017370182,0.01053017370182,"sce2",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.01
2,0.05,0.034201544539559,0.0444266346504655,"sce2",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.05
3,0.3,0.217446682665106,0.208380573892663,"sce2",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.3
4,0.6,0.428706538696831,0.453517527457503,"sce2",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.6
5,0.6,0.441865640696448,0.456742847630994,"sce2",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.6
1,0.01,0.01928063328826,0.01928063328826,"sce2",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.01
2,0.05,0.0704940725453902,0.0558045057024359,"sce2",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.05
3,0.3,0.266533178022091,0.238072665671099,"sce2",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.3
4,0.6,0.501763710813895,0.519754994180775,"sce2",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.6
5,0.6,0.495138805642357,0.48989000064345,"sce2",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.6
1,0.01,0.0492787016851194,0.0492787016851194,"sce2",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.01
2,0.05,0.111073908810065,0.122437906087614,"sce2",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.05
3,0.3,0.260268429028151,0.298748563677537,"sce2",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.3
4,0.6,0.517901789756446,0.494702163812701,"sce2",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.6
5,0.6,0.529615749601637,0.507628101460761,"sce2",0,"dose_specific","Beta(0.30, 0.70)",0.3,0.7,3,3,0.6
1,0.01,0.0758447374452174,0.0758447374452174,"sce2",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.01
2,0.05,0.165325409335064,0.164986244576325,"sce2",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.05
3,0.3,0.342421375193341,0.360330801202885,"sce2",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.3
4,0.6,0.579955437295747,0.569854720062994,"sce2",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.6
5,0.6,0.560249285656327,0.570095529483104,"sce2",0,"dose_specific","Beta(0.50, 0.50)",0.5,0.5,3,3,0.6
1,0.05,0.0417029307101494,0.0417029307101494,"sce3",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.05
2,0.1,0.0915336920294039,0.0703623883329261,"sce3",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.1
3,0.5,0.391108981526615,0.410982165626412,"sce3",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.5
4,0.68,0.514534009832768,0.511659855575961,"sce3",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.68
5,0.7,0.512152312557703,0.531706251593768,"sce3",0,"dose_specific","Beta(0.05, 0.95)",0.05,0.95,3,3,0.7
1,0.05,0.0609216946684916,0.0609216946684916,"sce3",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.05
2,0.1,0.0853404577634191,0.0831449118985959,"sce3",0,"dose_specific","Beta(0.15, 0.85)",0.15,0.85,3,3,0.1
