"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","IPDE_Design","Continuous_Enrollment","New_Pat_First","N_Eval_Escalate","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files","Oracle_Reference","n_scenarios_paired_with_oracle"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose selection %",17.6683,19.2864,19.6134,20.2192,18.6747,NA,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average dose allocation",8.0826,7.2337,5.9461,4.4839,3.3999,NA,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.5619,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,1181.7821,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,57.4603,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"MCSE of MTD selection %",NA,NA,NA,NA,NA,0.0479,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,12.4643,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,16.0771,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,4.8106,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p15_tdiffabove0p15","BOIN","boin-r_fixed","boin","r_fixed",NA,NA,0,0,0.0179,28,30,3,2,1,1,1,3,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,11.8714,NA,10000,10000,0,10000,1e+06,"CRM r_fixed (alpha_true = 0, r_carry = 0)",9980
