"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","N_s1","N_s2","Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,1,0.3,0.05,0.3347,0.0309,-0.0684,0.0764,NA,NA,65.8639,4.9215,5.4503,5.4503,0,8.422,8.422,11.3089,83.7696,91.8325,483.4419,955,955
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,2,0.35,0.06,0.383,0.0639,-0.0521,0.0764,NA,NA,13.2984,2.4084,1.6869,1.6869,0,8.422,8.422,11.3089,83.7696,91.8325,483.4419,955,955
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,3,0.4,0.07,0.4695,0.0721,-0.0698,0.0764,NA,NA,7.2251,0.733,0.9236,0.9236,0,8.422,8.422,11.3089,83.7696,91.8325,483.4419,955,955
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,4,0.45,0.08,0.5097,0.0899,-0.0647,0.0764,NA,NA,1.9895,0.1047,0.2859,0.2859,0,8.422,8.422,11.3089,83.7696,91.8325,483.4419,955,955
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,5,0.5,0.09,0.5866,0.0794,-0.0971,0.0764,NA,NA,0.3141,0,0.0754,0.0754,0,8.422,8.422,11.3089,83.7696,91.8325,483.4419,955,955
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,1,0.15,0.2,0.1922,0.139,0.1063,0.0823,NA,NA,23.9791,16.3351,5.9246,5.9246,0,18.4869,18.4869,15.9162,43.0366,43.5602,1199.8379,955,955
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,2,0.2,0.25,0.2374,0.1501,0.0881,0.0823,NA,NA,17.801,7.644,3.666,3.666,0,18.4869,18.4869,15.9162,43.0366,43.5602,1199.8379,955,955
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,3,0.3,0.5,0.3262,0.2551,0.1943,0.0823,NA,NA,20.6283,22.8272,4.4262,4.4262,0,18.4869,18.4869,15.9162,43.0366,43.5602,1199.8379,955,955
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,4,0.35,0.5,0.3704,0.1977,0.1114,0.0823,NA,NA,14.7644,7.8534,2.8304,2.8304,0,18.4869,18.4869,15.9162,43.0366,43.5602,1199.8379,955,955
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,5,0.45,0.5,0.4593,0.1391,0.0196,0.0823,NA,NA,6.911,1.7801,1.6398,1.6398,0,18.4869,18.4869,15.9162,43.0366,43.5602,1199.8379,955,955
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,1,0.15,0.1,0.2122,0.0704,0.0135,0.0862,NA,NA,34.6597,4.9215,4.3131,4.3131,0,17.5822,17.5822,9.7382,47.9581,49.3194,1059.7721,955,955
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,2,0.2,0.4,0.258,0.2263,0.1647,0.0862,NA,NA,12.5654,23.8743,4.3037,4.3037,0,17.5822,17.5822,9.7382,47.9581,49.3194,1059.7721,955,955
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,3,0.3,0.4,0.3465,0.2108,0.1201,0.0862,NA,NA,21.0471,13.9267,4.3979,4.3979,0,17.5822,17.5822,9.7382,47.9581,49.3194,1059.7721,955,955
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,4,0.35,0.4,0.3903,0.176,0.0678,0.0862,NA,NA,14.9738,6.3874,3.0628,3.0628,0,17.5822,17.5822,9.7382,47.9581,49.3194,1059.7721,955,955
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,5,0.45,0.4,0.4778,0.1226,-0.015,0.0862,NA,NA,7.0157,1.5707,1.5047,1.5047,0,17.5822,17.5822,9.7382,47.9581,49.3194,1059.7721,955,955
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,15,30,"CRM","random",0.15,0.85,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,1,0.05,0.05,0.1294,0.0429,0.0117,0.0787,NA,NA,18.8482,1.8848,3.044,3.044,0,16.9005,16.9005,17.5916,51.7277,52.5654,1133.7073,955,955
