"Figure","Alpha","Gap","Method","Metric","Value","Scenarios found","Derived oracle quantity"
"All methods and random priors","0","0.05","r-fixed CRM","MTD selection","34.5165","10000","false"
"All methods and random priors","0","0.05","r-fixed CRM","MTD allocation","28.066","10000","false"
"All methods and random priors","0","0.05","r-fixed CRM","Overdose selection","25.2711","10000","false"
"All methods and random priors","0","0.05","r-fixed CRM","Overdose allocation","20.298000000000002","10000","false"
"All methods and random priors","0","0.05","r-fixed CRM","Average sample size","21.9032","10000","false"
"All methods and random priors","0","0.05","r-fixed CRM","Average trial duration","171.5916142857143","10000","false"
"All methods and random priors","0","0.05","r-fixed CRM","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0","0.10","r-fixed CRM","MTD selection","50.3186","10000","false"
"All methods and random priors","0","0.10","r-fixed CRM","MTD allocation","37.193333333333335","10000","false"
"All methods and random priors","0","0.10","r-fixed CRM","Overdose selection","23.8285","10000","false"
"All methods and random priors","0","0.10","r-fixed CRM","Overdose allocation","21.752666666666666","10000","false"
"All methods and random priors","0","0.10","r-fixed CRM","Average sample size","22.0221","10000","false"
"All methods and random priors","0","0.10","r-fixed CRM","Average trial duration","172.5444857142857","10000","false"
"All methods and random priors","0","0.10","r-fixed CRM","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0","0.15","r-fixed CRM","MTD selection","59.4115","10000","false"
"All methods and random priors","0","0.15","r-fixed CRM","MTD allocation","42.927","10000","false"
"All methods and random priors","0","0.15","r-fixed CRM","Overdose selection","20.7302","10000","false"
"All methods and random priors","0","0.15","r-fixed CRM","Overdose allocation","21.921666666666667","10000","false"
"All methods and random priors","0","0.15","r-fixed CRM","Average sample size","22.2186","10000","false"
"All methods and random priors","0","0.15","r-fixed CRM","Average trial duration","174.14611428571428","10000","false"
"All methods and random priors","0","0.15","r-fixed CRM","Absolute MTD-selection change vs oracle","0","10000","false"
"All methods and random priors","0","0.05","Alpha-CRM","MTD selection","34.2254","10000","false"
