"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","Scenario_Group","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,2,1,1,1,1,0.3,0.3,0.2695,0,NA,NA,22.7,15.2715,15.2715,0,27.2565,22.348,14.6,348.9783,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,2,1,1,1,2,0.35,0.35,0.3249,NA,NA,NA,23.4,6.6045,6.6045,3.768,27.2565,22.348,14.6,348.9783,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,2,1,1,1,3,0.4,0.4,0.4255,NA,NA,NA,4.5,3.597,3.597,0.404,27.2565,22.348,14.6,348.9783,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,2,1,1,1,4,0.45,0.45,0.4725,NA,NA,NA,2.3,1.386,1.386,0.6955,27.2565,22.348,14.6,348.9783,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,2,1,1,1,5,0.5,0.5,0.562,NA,NA,NA,0.55,0.3975,0.3975,0.041,27.2565,22.348,14.6,348.9783,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0.1,0.0714,28,30,2,1,1,1,1,0.3,0.3,0.2538,0.1,NA,NA,20.1,13.7445,13.7445,0,27.294,22.2185,14.3,348.6587,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0.1,0.0714,28,30,2,1,1,1,2,0.35,0.35,0.308,NA,NA,NA,26.6,6.5085,6.5085,3.611,27.294,22.2185,14.3,348.6587,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0.1,0.0714,28,30,2,1,1,1,3,0.4,0.4,0.4076,NA,NA,NA,6.4,4.1355,4.1355,0.46,27.294,22.2185,14.3,348.6587,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0.1,0.0714,28,30,2,1,1,1,4,0.45,0.45,0.4546,NA,NA,NA,4.75,1.938,1.938,0.8685,27.294,22.2185,14.3,348.6587,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_adaptive_r_37","Set_5dose_adaptive_r_37_SC1",1,1,"base_example",1,1,"CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0.1,0.0714,28,30,2,1,1,1,5,0.5,0.5,0.5449,NA,NA,NA,0.7,0.9675,0.9675,0.136,27.294,22.2185,14.3,348.6587,2000,2000,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
