"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","N_s1","N_s2","Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,1,0.3,0.05,0.326,0.0781,-0.0197,0.0847,NA,NA,58.6,30.4,15.39,15.39,0.58,22.599,18.993,13.1,13.7,57,1049.0872,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,2,0.35,0.06,0.3799,0.3152,0.2013,0.0847,NA,NA,17.1,11,3.84,3.84,1.993,22.599,18.993,13.1,13.7,57,1049.0872,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,3,0.4,0.07,0.4758,0.3817,0.2389,0.0847,NA,NA,6.9,1,2.127,2.127,0.569,22.599,18.993,13.1,13.7,57,1049.0872,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,4,0.45,0.08,0.52,0.449,0.293,0.0847,NA,NA,3.4,0.4,0.921,0.921,0.378,22.599,18.993,13.1,13.7,57,1049.0872,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,5,0.5,0.09,0.6032,0.4815,0.3005,0.0847,NA,NA,0.9,0.2,0.321,0.321,0.086,22.599,18.993,13.1,13.7,57,1049.0872,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,1,0.15,0.2,0.161,0.2246,0.1763,0.0782,NA,NA,22,34.8,11.412,11.412,0.366,29.718,24.401,0.5,0.5,1.9,1347.0283,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,2,0.2,0.25,0.2076,0.3094,0.2471,0.0782,NA,NA,18.5,16.2,5.202,5.202,2.403,29.718,24.401,0.5,0.5,1.9,1347.0283,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,3,0.3,0.5,0.3009,0.4757,0.3854,0.0782,NA,NA,29.6,32,7.173,7.173,1.356,29.718,24.401,0.5,0.5,1.9,1347.0283,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,4,0.35,0.5,0.3479,0.4851,0.3808,0.0782,NA,NA,20,11.9,3.921,3.921,0.884,29.718,24.401,0.5,0.5,1.9,1347.0283,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,5,0.45,0.5,0.443,0.4985,0.3656,0.0782,NA,NA,9.4,3.2,2.01,2.01,0.308,29.718,24.401,0.5,0.5,1.9,1347.0283,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,1,0.15,0.1,0.1637,0.1565,0.1074,0.081,NA,NA,22,18.4,9.708,9.708,0.173,28.881,23.185,0.5,0.5,10,1279.4482,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,2,0.2,0.4,0.2105,0.392,0.3289,0.081,NA,NA,18.2,40.3,7.485,7.485,2.898,28.881,23.185,0.5,0.5,10,1279.4482,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,3,0.3,0.4,0.3038,0.4138,0.3226,0.081,NA,NA,31,21.4,6.156,6.156,1.248,28.881,23.185,0.5,0.5,10,1279.4482,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,4,0.35,0.4,0.3508,0.4457,0.3404,0.081,NA,NA,18.4,7.3,3.678,3.678,1.026,28.881,23.185,0.5,0.5,10,1279.4482,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,6,30,"CRM","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,5,0.45,0.4,0.4456,0.4714,0.3377,0.081,NA,NA,9.9,2.6,1.854,1.854,0.351,28.881,23.185,0.5,0.5,10,1279.4482,1000,1000
