"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,1,0.3,0.05,0.3285,0.0781,-0.0205,0.1369,NA,NA,59.6,29.6,15.42,15.42,0,22.581,22.581,13.5,13.6,58.1,1247.0201,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,2,0.35,0.06,0.3824,0.3165,0.2017,0.1369,NA,NA,16.6,10.2,3.858,3.858,0,22.581,22.581,13.5,13.6,58.1,1247.0201,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,3,0.4,0.07,0.4785,0.3831,0.2396,0.1369,NA,NA,7,1.5,2.154,2.154,0,22.581,22.581,13.5,13.6,58.1,1247.0201,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,4,0.45,0.08,0.5226,0.4512,0.2944,0.1369,NA,NA,2.6,0.4,0.867,0.867,0,22.581,22.581,13.5,13.6,58.1,1247.0201,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,5,0.5,0.09,0.6056,0.4837,0.3021,0.1369,NA,NA,0.7,0.2,0.282,0.282,0,22.581,22.581,13.5,13.6,58.1,1247.0201,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,1,0.15,0.2,0.1632,0.2263,0.1774,0.1381,NA,NA,22.3,36.2,11.538,11.538,0,29.718,29.718,0.5,0.5,1.8,1648.6421,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,2,0.2,0.25,0.2101,0.3155,0.2525,0.1381,NA,NA,19.1,16.3,5.229,5.229,0,29.718,29.718,0.5,0.5,1.8,1648.6421,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,3,0.3,0.5,0.3037,0.4772,0.386,0.1381,NA,NA,30.5,32.4,7.176,7.176,0,29.718,29.718,0.5,0.5,1.8,1648.6421,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,4,0.35,0.5,0.3508,0.4878,0.3826,0.1381,NA,NA,18.5,9.7,3.882,3.882,0,29.718,29.718,0.5,0.5,1.8,1648.6421,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","random_carryoever","random",0.15,0.85,"dose_specific_carryover",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,5,0.45,0.5,0.4459,0.5005,0.3667,0.1381,NA,NA,9.1,3.6,1.893,1.893,0,29.718,29.718,0.5,0.5,1.8,1648.6421,1000,1000
