"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,1,0.3,0.05,0.3244,0.0807,-0.0166,0.129,NA,NA,63.9,15.9,11.085,8.305,3.217,18.024,11.788,8.9,9,73.8,642.5254,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,2,0.35,0.06,0.3776,0.3147,0.2014,0.129,NA,NA,15.1,8,3.618,3.297,1.777,18.024,11.788,8.9,9,73.8,642.5254,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,3,0.4,0.07,0.4727,0.381,0.2392,0.129,NA,NA,7.9,1.6,2.073,1.873,0.718,18.024,11.788,8.9,9,73.8,642.5254,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,4,0.45,0.08,0.5166,0.4461,0.2911,0.129,NA,NA,3.5,0.5,0.912,0.833,0.394,18.024,11.788,8.9,9,73.8,642.5254,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,5,0.5,0.09,0.5997,0.4806,0.3007,0.129,NA,NA,0.7,0.2,0.336,0.28,0.13,18.024,11.788,8.9,9,73.8,642.5254,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,1,0.15,0.2,0.1598,0.2209,0.173,0.1241,NA,NA,22.4,31.7,10.83,8.047,3.08,29.16,20.137,0.5,0.5,5.2,1107.8794,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,2,0.2,0.25,0.2061,0.3072,0.2454,0.1241,NA,NA,16.7,15,5.094,4.617,2.427,29.16,20.137,0.5,0.5,5.2,1107.8794,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,3,0.3,0.5,0.2989,0.4711,0.3814,0.1241,NA,NA,29.2,33.2,7.239,6.472,1.927,29.16,20.137,0.5,0.5,5.2,1107.8794,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,4,0.35,0.5,0.3457,0.483,0.3793,0.1241,NA,NA,20.8,11.2,3.834,3.529,1.04,29.16,20.137,0.5,0.5,5.2,1107.8794,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,5,0.45,0.5,0.4407,0.4937,0.3615,0.1241,NA,NA,10.4,3.7,2.163,1.928,0.549,29.16,20.137,0.5,0.5,5.2,1107.8794,1000,1000
