"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,1,0.3,0.05,0.3213,0.0822,-0.0142,0.1251,NA,NA,59.6,18.7,10.671,8.019,3.082,18.495,12.058,9.9,10.4,70.4,803.9667,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,2,0.35,0.06,0.3743,0.2991,0.1868,0.1251,NA,NA,17,7.6,3.915,3.566,2.037,18.495,12.058,9.9,10.4,70.4,803.9667,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,3,0.4,0.07,0.4694,0.3741,0.2333,0.1251,NA,NA,10,2.7,2.385,2.124,0.662,18.495,12.058,9.9,10.4,70.4,803.9667,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,4,0.45,0.08,0.5133,0.4366,0.2826,0.1251,NA,NA,2.9,0.5,1.113,1.028,0.514,18.495,12.058,9.9,10.4,70.4,803.9667,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,5,0.5,0.09,0.5966,0.4766,0.2976,0.1251,NA,NA,0.6,0.1,0.411,0.335,0.142,18.495,12.058,9.9,10.4,70.4,803.9667,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,1,0.15,0.2,0.1618,0.2164,0.1679,0.1215,NA,NA,18.5,26.5,9.729,7.334,2.679,28.803,19.922,1.2,1.2,6.3,1337.2734,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,2,0.2,0.25,0.2079,0.3014,0.239,0.1215,NA,NA,16.8,16.9,5.499,4.917,2.774,28.803,19.922,1.2,1.2,6.3,1337.2734,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,3,0.3,0.5,0.3004,0.4704,0.3803,0.1215,NA,NA,31.3,35.4,7.515,6.7,1.798,28.803,19.922,1.2,1.2,6.3,1337.2734,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,4,0.35,0.5,0.3471,0.4773,0.3732,0.1215,NA,NA,21.8,11.8,3.843,3.546,1.056,28.803,19.922,1.2,1.2,6.3,1337.2734,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,5,0.45,0.5,0.4418,0.4886,0.3561,0.1215,NA,NA,10.4,3.1,2.217,1.955,0.574,28.803,19.922,1.2,1.2,6.3,1337.2734,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,1,0.15,0.1,0.1678,0.1532,0.1029,0.1218,NA,NA,20.1,10.8,7.689,5.851,1.969,27.471,18.669,1.1,1.1,14.2,1253.6323,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,2,0.2,0.4,0.2141,0.3951,0.3309,0.1218,NA,NA,17.2,43.5,7.953,6.893,3.628,27.471,18.669,1.1,1.1,14.2,1253.6323,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,3,0.3,0.4,0.3063,0.4081,0.3162,0.1218,NA,NA,28.6,21.7,6.051,5.449,1.374,27.471,18.669,1.1,1.1,14.2,1253.6323,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,4,0.35,0.4,0.3527,0.4285,0.3227,0.1218,NA,NA,21.4,6.7,3.543,3.297,1.207,27.471,18.669,1.1,1.1,14.2,1253.6323,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,5,0.45,0.4,0.4467,0.4677,0.3337,0.1218,NA,NA,11.6,3.1,2.235,1.978,0.624,27.471,18.669,1.1,1.1,14.2,1253.6323,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,1,0.05,0.05,0.1012,0.14,0.1096,0.1206,NA,NA,3.3,8.1,4.278,3.812,0.602,29.373,19.915,0,0,3.9,1336.8325,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,2,0.1,0.1,0.1389,0.1795,0.1378,0.1206,NA,NA,1.9,7.2,4.017,3.836,2.999,29.373,19.915,0,0,3.9,1336.8325,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,3,0.18,0.25,0.2207,0.2738,0.2076,0.1206,NA,NA,21.5,21,6.585,5.78,1.554,29.373,19.915,0,0,3.9,1336.8325,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,4,0.3,0.5,0.2646,0.4609,0.3815,0.1206,NA,NA,36.8,41.3,8.019,7.202,2.899,29.373,19.915,0,0,3.9,1336.8325,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,5,0.4,0.55,0.3581,0.5023,0.3949,0.1206,NA,NA,36.5,18.5,6.474,5.608,1.404,29.373,19.915,0,0,3.9,1336.8325,1000,1000
5,5,5,"base_example",1,5,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,1,0.07,0.05,0.0854,0.138,0.1123,0.122,NA,NA,5.9,4.4,4.557,3.957,0.713,28.962,18.532,0.2,0.2,5.6,1247.5092,1000,1000
5,5,5,"base_example",1,5,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"ipde_first",0.0179,28,2,1,1,0,0,0.2,0.85,0,1,0,2,0.12,0.3,0.1184,0.291,0.2555,0.122,NA,NA,2,35.6,6.363,5.72,3.769,28.962,18.532,0.2,0.2,5.6,1247.5092,1000,1000
