"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","m_U","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Design","Flexible_IPDE","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,1,0.3,0.05,0.3366,0.0833,-0.0177,0.1363,NA,NA,65.5,15.2,11.1,11.1,0,17.949,17.949,9.5,9.6,74.3,987.2417,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,2,0.35,0.06,0.39,0.3162,0.1992,0.1363,NA,NA,14.5,7.7,3.552,3.552,0,17.949,17.949,9.5,9.6,74.3,987.2417,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,3,0.4,0.07,0.4848,0.3832,0.2378,0.1363,NA,NA,7.2,2,2.145,2.145,0,17.949,17.949,9.5,9.6,74.3,987.2417,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,4,0.45,0.08,0.5283,0.4515,0.2931,0.1363,NA,NA,2.5,0.6,0.876,0.876,0,17.949,17.949,9.5,9.6,74.3,987.2417,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,5,0.5,0.09,0.6102,0.4844,0.3013,0.1363,NA,NA,0.8,0.2,0.276,0.276,0,17.949,17.949,9.5,9.6,74.3,987.2417,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,1,0.15,0.2,0.1669,0.2245,0.1745,0.1354,NA,NA,22.6,33.2,10.899,10.899,0,29.166,29.166,0.5,0.5,5.1,1617.7916,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,2,0.2,0.25,0.214,0.3149,0.2507,0.1354,NA,NA,18.7,16.1,5.28,5.28,0,29.166,29.166,0.5,0.5,5.1,1617.7916,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,3,0.3,0.5,0.3077,0.4778,0.3854,0.1354,NA,NA,30.6,32.2,7.257,7.257,0,29.166,29.166,0.5,0.5,5.1,1617.7916,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,4,0.35,0.5,0.3547,0.4878,0.3814,0.1354,NA,NA,18.7,10,3.831,3.831,0,29.166,29.166,0.5,0.5,5.1,1617.7916,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,5,0.45,0.5,0.4495,0.5004,0.3655,0.1354,NA,NA,8.9,3.4,1.899,1.899,0,29.166,29.166,0.5,0.5,5.1,1617.7916,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,1,0.15,0.1,0.1765,0.1535,0.1006,0.138,NA,NA,23.7,10.8,7.818,7.818,0,27.003,27.003,0.5,0.5,18.9,1500.6349,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,2,0.2,0.4,0.2238,0.3976,0.3304,0.138,NA,NA,18,39.6,7.707,7.707,0,27.003,27.003,0.5,0.5,18.9,1500.6349,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,3,0.3,0.4,0.3173,0.4168,0.3216,0.138,NA,NA,30.4,20.8,6.15,6.15,0,27.003,27.003,0.5,0.5,18.9,1500.6349,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,4,0.35,0.4,0.3639,0.4504,0.3413,0.138,NA,NA,18.2,7.6,3.579,3.579,0,27.003,27.003,0.5,0.5,18.9,1500.6349,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,5,0.45,0.4,0.4578,0.4768,0.3395,0.138,NA,NA,9.2,2.3,1.749,1.749,0,27.003,27.003,0.5,0.5,18.9,1500.6349,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,1,0.05,0.05,0.1039,0.1435,0.1123,0.1392,NA,NA,2.1,7.1,4.305,4.305,0,29.424,29.424,0,0,3,1630.3566,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,2,0.1,0.1,0.1421,0.1803,0.1377,0.1392,NA,NA,3,7,4.293,4.293,0,29.424,29.424,0,0,3,1630.3566,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,3,0.18,0.25,0.2246,0.2717,0.2043,0.1392,NA,NA,21.3,21.3,6.69,6.69,0,29.424,29.424,0,0,3,1630.3566,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,4,0.3,0.5,0.2687,0.476,0.3954,0.1392,NA,NA,39.5,44.3,8.172,8.172,0,29.424,29.424,0,0,3,1630.3566,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,2,0.3,6,"continuous",0.0179,28,1,1,1,0,0,0.2,0.85,0,1,0,5,0.4,0.55,0.3624,0.5098,0.4011,0.1392,NA,NA,34.1,17.3,5.964,5.964,0,29.424,29.424,0,0,3,1630.3566,1000,1000
