"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Model_ID","Toxicity_Model","Efficacy_Model","Nmax","s1_Max","N_s2","n_eval","Cycle_Max","Arrival_Rate","True_MTD","Target_Toxicity","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","n_eval_blocks","ntrial"
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,1,0.3,0.05,0.339023858417855,0.0898287044551294,-0.0118784530702269,0.126702897660394,62.7,5,8.76,6.044,2.927,14.256,9.149,527.78232704456,1.044,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,2,0.35,0.06,0.39133874364019,0.301365108767359,0.183963485675302,0.126702897660394,14.7,7.1,3.267,2.596,1.366,14.256,9.149,527.78232704456,1.044,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,3,0.4,0.07,0.484455753978652,0.397564397741324,0.252227671547729,0.126702897660394,8.7,4.6,1.467,1.159,0.537,14.256,9.149,527.78232704456,1.044,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,4,0.45,0.08,0.527341428913054,0.459442210399079,0.301239781725162,0.126702897660394,3.1,1.5,0.561,0.458,0.209,14.256,9.149,527.78232704456,1.044,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,5,0.5,0.09,0.608363804591654,0.485642099100929,0.303132957723433,0.126702897660394,0.7,0.1,0.201,0.165,0.068,14.256,9.149,527.78232704456,1.044,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,1,0.15,0.2,0.173310594772311,0.205276330000989,0.153283151569296,0.116856910680313,19.7,21.6,11.187,7.456,3.949,27.819,18.777,1094.69874147565,1.756,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,2,0.2,0.25,0.219965697899014,0.291892337342297,0.225902627972593,0.116856910680313,22.6,18.4,6.021,4.57,2.329,27.819,18.777,1094.69874147565,1.756,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,3,0.3,0.5,0.312634792673601,0.458514471466282,0.364724033664202,0.116856910680313,32.2,34.4,6.843,5.59,1.836,27.819,18.777,1094.69874147565,1.756,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,4,0.35,0.5,0.359114460602116,0.481709672442656,0.373975334262021,0.116856910680313,15.8,11.1,2.742,2.331,0.7,27.819,18.777,1094.69874147565,1.756,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,5,0.45,0.5,0.452913471609394,0.488884159588051,0.353010118105233,0.116856910680313,8.5,3.5,1.026,0.898,0.228,27.819,18.777,1094.69874147565,1.756,1000
