"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.3,0.05,0.3294,0.0821,31.7534,0.1259,NA,NA,58.6,18.2,11.03,8.392,3.103,19.029,12.403,9.1,9.2,72.2,681.5118,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.35,0.06,0.383,0.263,40.4626,0.1259,NA,NA,17.9,7,4.418,4.022,2.137,19.029,12.403,9.1,9.2,72.2,681.5118,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.4,0.07,0.4785,0.3669,42.8734,0.1259,NA,NA,10.4,2.2,2.339,2.138,0.836,19.029,12.403,9.1,9.2,72.2,681.5118,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.45,0.08,0.5224,0.4325,45.0548,0.1259,NA,NA,3.4,0.4,0.976,0.907,0.453,19.029,12.403,9.1,9.2,72.2,681.5118,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.5,0.09,0.6052,0.4801,44.5958,0.1259,NA,NA,0.6,0,0.266,0.251,0.097,19.029,12.403,9.1,9.2,72.2,681.5118,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.15,0.2,0.1594,0.2072,46.054,0.118,NA,NA,5.5,19.3,10.214,8.376,2.577,29.43,20.074,0.5,0.5,3.5,1106.9782,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.2,0.25,0.2057,0.2575,47.223,0.118,NA,NA,17.8,19.7,7.386,6.776,3.243,29.43,20.074,0.5,0.5,3.5,1106.9782,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.3,0.5,0.2986,0.4592,55.6071,0.118,NA,NA,37.4,42.3,7.044,6.642,2.14,29.43,20.074,0.5,0.5,3.5,1106.9782,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.35,0.5,0.3455,0.4666,54.1785,0.118,NA,NA,28.2,13.1,3.486,3.357,1.048,29.43,20.074,0.5,0.5,3.5,1106.9782,1000,1000
2,2,2,"base_example",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.45,0.5,0.4405,0.4883,51.6808,0.118,NA,NA,10.6,2.1,1.3,1.252,0.348,29.43,20.074,0.5,0.5,3.5,1106.9782,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.15,0.1,0.1667,0.138,41.6161,0.1249,NA,NA,10.8,4.2,8.017,6.564,1.894,28.299,19.085,0.5,0.5,10.2,1050.9797,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.2,0.4,0.2131,0.3791,54.2186,0.1249,NA,NA,15.2,51,9.321,8.45,3.94,28.299,19.085,0.5,0.5,10.2,1050.9797,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.3,0.4,0.3058,0.3897,51.1514,0.1249,NA,NA,34.4,24.5,6.38,6.001,1.869,28.299,19.085,0.5,0.5,10.2,1050.9797,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.35,0.4,0.3524,0.4266,51.4997,0.1249,NA,NA,29,8.8,3.256,3.131,1.11,28.299,19.085,0.5,0.5,10.2,1050.9797,1000,1000
3,3,3,"base_example",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.45,0.4,0.4468,0.4687,50.2495,0.1249,NA,NA,10.1,1.3,1.325,1.276,0.401,28.299,19.085,0.5,0.5,10.2,1050.9797,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.05,0.05,0.0963,0.1304,43.9712,0.1253,NA,NA,0.9,5.5,4.578,4.167,0.671,29.79,19.659,0,0,1.7,1085.4402,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.1,0.1,0.1332,0.1481,43.5561,0.1253,NA,NA,1.1,4.7,5.341,5.037,3.071,29.79,19.659,0,0,1.7,1085.4402,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.18,0.25,0.214,0.2444,46.1028,0.1253,NA,NA,12,15.2,7.181,6.627,2.246,29.79,19.659,0,0,1.7,1085.4402,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.3,0.5,0.2576,0.4612,57.3697,0.1253,NA,NA,41.1,52.2,8.091,7.596,2.931,29.79,19.659,0,0,1.7,1085.4402,1000,1000
4,4,4,"base_example",1,4,4,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.4,0.55,0.351,0.4994,55.9276,0.1253,NA,NA,44.9,20.7,4.599,4.348,1.212,29.79,19.659,0,0,1.7,1085.4402,1000,1000
5,5,5,"base_example",1,5,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.07,0.05,0.0834,0.1294,44.4271,0.1249,NA,NA,2.2,3.5,4.856,4.336,0.803,29.556,18.822,0.1,0.1,2.3,1036.9297,1000,1000
5,5,5,"base_example",1,5,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.12,0.3,0.1162,0.2712,51.623,0.1249,NA,NA,1.3,35.4,7.893,7.247,4.012,29.556,18.822,0.1,0.1,2.3,1036.9297,1000,1000
5,5,5,"base_example",1,5,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.17,0.3,0.1898,0.292,49.9264,0.1249,NA,NA,7.5,29.4,7.186,6.668,2.281,29.556,18.822,0.1,0.1,2.3,1036.9297,1000,1000
5,5,5,"base_example",1,5,2,0.3,"two_stage",30,30,6,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"top2_randomized","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.22,0.3,0.2306,0.3042,49.0249,0.1249,NA,NA,28.3,20.5,5.792,5.453,2.322,29.556,18.822,0.1,0.1,2.3,1036.9297,1000,1000
