"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.3,0.05,0.3289,0.0812,31.7127,0.1272,NA,NA,59.7,17,11.067,8.322,3.094,18.966,12.303,8.6,9,73.9,672.7804,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.35,0.06,0.3825,0.2625,40.4499,0.1272,NA,NA,16.8,7.2,4.425,3.856,2.213,18.966,12.303,8.6,9,73.9,672.7804,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.4,0.07,0.4779,0.3566,42.2816,0.1272,NA,NA,10.8,1.7,2.253,1.981,0.822,18.966,12.303,8.6,9,73.9,672.7804,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.45,0.08,0.5218,0.4376,45.387,0.1272,NA,NA,3,0.1,0.912,0.833,0.418,18.966,12.303,8.6,9,73.9,672.7804,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.5,0.09,0.6045,0.4808,44.6672,0.1272,NA,NA,1.1,0.1,0.309,0.266,0.116,18.966,12.303,8.6,9,73.9,672.7804,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.02,0.2,0.0401,0.1934,50.004,0.1244,NA,NA,0,29.3,7.296,6.423,1.674,30,18.215,0,0,0,999.5255,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.06,0.2,0.0611,0.1892,48.9037,0.1244,NA,NA,0,21.3,6.654,6.004,3.525,30,18.215,0,0,0,999.5255,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.09,0.2,0.1142,0.204,47.6761,0.1244,NA,NA,0.8,20.2,5.748,5.302,2.091,30,18.215,0,0,0,999.5255,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.14,0.2,0.1462,0.2137,46.9747,0.1244,NA,NA,9.8,18.8,5.682,5.18,2.677,30,18.215,0,0,0,999.5255,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.26,0.2,0.2219,0.2467,45.9247,0.1244,NA,NA,89.4,10.4,4.62,4.211,1.818,30,18.215,0,0,0,999.5255,1000,1000
