"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.3,0.05,0.3259,0.0819,31.881,0.1209,NA,NA,55.1,18,10.743,8.056,2.981,19.566,12.646,10.3,10.3,70.9,843.2615,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.35,0.06,0.3792,0.2464,39.617,0.1209,NA,NA,18.8,8.2,4.818,4.174,2.494,19.566,12.646,10.3,10.3,70.9,843.2615,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.4,0.07,0.4745,0.3484,41.9216,0.1209,NA,NA,10.8,2.5,2.586,2.219,0.782,19.566,12.646,10.3,10.3,70.9,843.2615,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.45,0.08,0.5184,0.4287,44.984,0.1209,NA,NA,4.4,0.4,1.092,0.977,0.556,19.566,12.646,10.3,10.3,70.9,843.2615,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.5,0.09,0.6014,0.4775,44.5925,0.1209,NA,NA,0.6,0,0.327,0.283,0.107,19.566,12.646,10.3,10.3,70.9,843.2615,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.02,0.2,0.0399,0.1927,49.9635,0.1216,NA,NA,0,30,7.149,6.293,1.671,30,18.21,0,0,0,1248.6855,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.06,0.2,0.061,0.196,49.3212,0.1216,NA,NA,0.4,23.6,6.558,5.899,3.791,30,18.21,0,0,0,1248.6855,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.09,0.2,0.1142,0.2045,47.7006,0.1216,NA,NA,0.6,19.2,5.997,5.446,1.825,30,18.21,0,0,0,1248.6855,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.14,0.2,0.1464,0.2099,46.7409,0.1216,NA,NA,10.5,15.3,5.424,4.975,2.783,30,18.21,0,0,0,1248.6855,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","ipde_first",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.26,0.2,0.2225,0.247,45.9186,0.1216,NA,NA,88.5,11.9,4.872,4.37,1.72,30,18.21,0,0,0,1248.6855,1000,1000
