"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Recycle_Toxicity_Rule","Recycle_Efficacy_Rule","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.3,0.05,0.3408,0.0824,31.3131,0.1381,NA,NA,62.8,16.9,11.145,11.145,0,18.627,18.627,9.5,9.4,75.4,1027.2076,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.35,0.06,0.3946,0.2701,40.4216,0.1381,NA,NA,15.3,5.4,4.266,4.266,0,18.627,18.627,9.5,9.4,75.4,1027.2076,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.4,0.07,0.4897,0.365,42.3152,0.1381,NA,NA,9.4,1.8,2.175,2.175,0,18.627,18.627,9.5,9.4,75.4,1027.2076,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.45,0.08,0.5332,0.4449,45.3671,0.1381,NA,NA,2.4,0.4,0.81,0.81,0,18.627,18.627,9.5,9.4,75.4,1027.2076,1000,1000
1,1,1,"base_example",1,1,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.5,0.09,0.6149,0.4866,44.5995,0.1381,NA,NA,0.6,0.1,0.231,0.231,0,18.627,18.627,9.5,9.4,75.4,1027.2076,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.02,0.2,0.0421,0.1979,50.1906,0.1383,NA,NA,0,29.9,7.29,7.29,0,30,30,0,0,0,1664.1426,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.06,0.2,0.0638,0.1942,49.0983,0.1383,NA,NA,0,20.9,6.696,6.696,0,30,30,0,0,0,1664.1426,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.09,0.2,0.1181,0.2106,47.91,0.1383,NA,NA,1.3,20.4,5.766,5.766,0,30,30,0,0,0,1664.1426,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.14,0.2,0.1507,0.2227,47.3308,0.1383,NA,NA,11.3,18.5,5.745,5.745,0,30,30,0,0,0,1664.1426,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.26,0.2,0.2273,0.2583,46.406,0.1383,NA,NA,87.4,10.3,4.503,4.503,0,30,30,0,0,0,1664.1426,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.07,0.05,0.1417,0.1251,41.8384,0.1362,NA,NA,2.6,13.5,5.241,5.241,0,29.466,29.466,0.1,0.1,3.2,1632.8368,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.14,0.25,0.1863,0.2374,46.792,0.1362,NA,NA,9.4,46.2,11.307,11.307,0,29.466,29.466,0.1,0.1,3.2,1632.8368,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.31,0.25,0.2774,0.2543,44.159,0.1362,NA,NA,41.2,24.6,7.641,7.641,0,29.466,29.466,0.1,0.1,3.2,1632.8368,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.41,0.25,0.3241,0.3278,46.707,0.1362,NA,NA,35.7,11,4.029,4.029,0,29.466,29.466,0.1,0.1,3.2,1632.8368,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.52,0.25,0.4197,0.4321,49.1357,0.1362,NA,NA,11,1.5,1.248,1.248,0,29.466,29.466,0.1,0.1,3.2,1632.8368,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,1,0.01,0.05,0.0288,0.15,47.8465,0.1386,NA,NA,0,1.5,3.426,3.426,0,30,30,0,0,0,1664.1426,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,2,0.02,0.08,0.0458,0.1627,47.9314,0.1386,NA,NA,0,1.3,3.474,3.474,0,30,30,0,0,0,1664.1426,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,3,0.05,0.2,0.091,0.2298,50.1477,0.1386,NA,NA,0,5.5,4.479,4.479,0,30,30,0,0,0,1664.1426,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,4,0.1,0.5,0.1196,0.4336,61.2362,0.1386,NA,NA,33.7,59.6,12.489,12.489,0,30,30,0,0,0,1664.1426,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"one_stage",30,30,30,30,"CRM","additive_shared","additive_shared","previous_dose",0.15,0.85,"previous_dose_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"highest_utility","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,3,1,0,5,0.25,0.5,0.1894,0.4591,59.9692,0.1386,NA,NA,66.3,32.1,6.132,6.132,0,30,30,0,0,0,1664.1426,1000,1000
