"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Stage2_Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
1,1,1,"base_example",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,1,0,0,0.3,0.05,0.333179029708921,0.0811423628958863,31.5413805853963,0.125347669805421,56.5,19.1,11.622,7.844,4.029,19.515,12.372,711.634407168859,66.9,1000
1,1,1,"base_example",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,2,0,0,0.35,0.06,0.386591217437593,0.253847589578931,39.7672066772322,0.125347669805421,19,8.4,4.656,3.594,1.906,19.515,12.372,711.634407168859,66.9,1000
1,1,1,"base_example",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,3,0,0,0.4,0.07,0.481586970696529,0.371029084273077,42.9982662285235,0.125347669805421,8,1.9,2.04,1.574,0.763,19.515,12.372,711.634407168859,66.9,1000
1,1,1,"base_example",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,4,0,0,0.45,0.08,0.525254986017689,0.43979583805329,45.3775508424898,0.125347669805421,4.7,0.3,0.885,0.712,0.338,19.515,12.372,711.634407168859,66.9,1000
1,1,1,"base_example",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,5,0,0,0.5,0.09,0.607546506108721,0.479618006890778,44.4752201690978,0.125347669805421,0.8,0.1,0.312,0.249,0.107,19.515,12.372,711.634407168859,66.9,1000
2,16,1,"five_scenarios_txt",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,1,0,0,0.02,0.2,0.0391028695225006,0.193958449646758,50.0733921979055,0.120716502671066,0,30.1,7.122,5.057,2.53,29.997,17.959,1082.88557544231,0.1,1000
2,16,1,"five_scenarios_txt",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,2,0,0,0.06,0.2,0.0598854239025405,0.193589966468162,49.2199810319881,0.120716502671066,0.2,22.1,6.741,5.151,2.906,29.997,17.959,1082.88557544231,0.1,1000
2,16,1,"five_scenarios_txt",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,3,0,0,0.09,0.2,0.112343600136951,0.208476116992374,48.0148230140644,0.120716502671066,0.6,20.7,5.853,4.522,2.473,29.997,17.959,1082.88557544231,0.1,1000
2,16,1,"five_scenarios_txt",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,4,0,0,0.14,0.2,0.144136021093552,0.21047056089797,46.8627928101361,0.120716502671066,9.7,15,5.652,4.403,2.349,29.997,17.959,1082.88557544231,0.1,1000
2,16,1,"five_scenarios_txt",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,5,0,0,0.26,0.2,0.219396020489259,0.253141657633023,46.412658638411,0.120716502671066,89.5,12,4.629,3.716,1.78,29.997,17.959,1082.88557544231,0.1,1000
3,20,5,"five_scenarios_txt",1,"one_stage","highest_utility","additive_shared","additive_shared","previous_dose_additive",30,30,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,1,0,0,0.07,0.05,0.135476168419111,0.120450289471501,41.8079706315256,0.11802990192914,2,11.2,5.226,3.555,1.825,29.568,18.753,1100.67933350967,2.7,1000
