"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Model_ID","Toxicity_Model","Efficacy_Model","Nmax","s1_Max","N_s2","n_eval","Cycle_Max","Arrival_Rate","True_MTD","Target_Toxicity","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","n_eval_blocks","ntrial"
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,1,0.3,0.05,0.338523362724472,0.0898392795406093,-0.0117177292767324,0.128252405718739,61.8,5,8.715,6.028,2.902,14.331,9.194,530.891181703762,1.048,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,2,0.35,0.06,0.390808456021593,0.301412843576623,0.184170306770145,0.128252405718739,16.3,6.8,3.345,2.654,1.395,14.331,9.194,530.891181703762,1.048,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,3,0.4,0.07,0.483928752846508,0.396959397902657,0.251780772048705,0.128252405718739,8.2,4.4,1.512,1.188,0.56,14.331,9.194,530.891181703762,1.048,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,4,0.45,0.08,0.526836366906656,0.459016818203865,0.300965908131868,0.128252405718739,3,1.2,0.567,0.46,0.214,14.331,9.194,530.891181703762,1.048,1000
1,1,1,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,5,0.5,0.09,0.607927421781347,0.486546172714042,0.304167946179638,0.128252405718739,0.7,0.2,0.192,0.155,0.066,14.331,9.194,530.891181703762,1.048,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,1,0.15,0.2,0.172380216812182,0.205616498774816,0.153902433731161,0.115445653234336,20.1,21.8,11.187,7.443,3.962,27.885,18.833,1099.6017117222,1.758,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,2,0.2,0.25,0.218965814466409,0.291574358669946,0.225884614330023,0.115445653234336,21.9,18.8,5.961,4.53,2.299,27.885,18.833,1099.6017117222,1.758,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,3,0.3,0.5,0.311565727294484,0.458504964792071,0.365035246603726,0.115445653234336,32.3,34.9,6.957,5.679,1.86,27.885,18.833,1099.6017117222,1.758,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,4,0.35,0.5,0.358038595186507,0.48082705835193,0.373415479795978,0.115445653234336,16.2,10.5,2.766,2.346,0.702,27.885,18.833,1099.6017117222,1.758,1000
2,2,2,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,5,0.45,0.5,0.451870294941125,0.490585312845826,0.355024224363489,0.115445653234336,8.4,3.3,1.014,0.881,0.229,27.885,18.833,1099.6017117222,1.758,1000
3,3,3,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,1,0.15,0.1,0.183677935379012,0.139373074396981,0.0842696937832774,0.121482396200742,21.8,5.1,7.545,4.969,2.704,25.746,17.168,1005.72480669058,1.75,1000
3,3,3,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,2,0.2,0.4,0.230459411090826,0.373417154709602,0.304279331382354,0.121482396200742,21,39.1,9.72,7.36,3.421,25.746,17.168,1005.72480669058,1.75,1000
3,3,3,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,3,0.3,0.4,0.322784909522613,0.401811989467468,0.304976516610684,0.121482396200742,30.7,23.5,5.154,4.09,1.538,25.746,17.168,1005.72480669058,1.75,1000
3,3,3,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,4,0.35,0.4,0.368900140534456,0.450417708327351,0.339747666167014,0.121482396200742,17.4,9.2,2.292,1.925,0.659,25.746,17.168,1005.72480669058,1.75,1000
3,3,3,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,3,0.3,5,0.45,0.4,0.461712577763192,0.476257493352719,0.337743720023762,0.121482396200742,8,2.4,1.035,0.898,0.256,25.746,17.168,1005.72480669058,1.75,1000
4,4,4,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,1,0.05,0.05,0.102302675490922,0.132343326260614,0.101652523613338,0.118311296681198,3.5,2.6,4.713,3.196,1.671,27.984,18.474,1107.85799282241,2.706,1000
4,4,4,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,2,0.1,0.1,0.139408479347285,0.169068363109432,0.127245819305247,0.118311296681198,5.4,8.4,4.974,3.752,2.37,27.984,18.474,1107.85799282241,2.706,1000
4,4,4,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,3,0.18,0.25,0.219936899913341,0.26388748424309,0.197906414269088,0.118311296681198,24.5,23,6.531,4.881,2.443,27.984,18.474,1107.85799282241,2.706,1000
4,4,4,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,4,0.3,0.5,0.263255903554057,0.455246296066029,0.376269524999811,0.118311296681198,35,42,7.647,6.24,2.127,27.984,18.474,1107.85799282241,2.706,1000
4,4,4,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,5,0.4,0.55,0.355805223493046,0.492384969914945,0.385643402867032,0.118311296681198,31.6,17,4.119,3.463,0.899,27.984,18.474,1107.85799282241,2.706,1000
5,5,5,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,5,0.3,1,0.07,0.05,0.0940982305023386,0.124459589409847,0.096230120259145,0.117609822273292,5.9,1.4,5.004,3.332,1.781,28.107,17.616,1048.51601365254,2.529,1000
5,5,5,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,5,0.3,2,0.12,0.3,0.127894605814944,0.26919612528594,0.230827743541457,0.117609822273292,6.1,27.2,9.798,7.136,4.013,28.107,17.616,1048.51601365254,2.529,1000
5,5,5,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,5,0.3,3,0.17,0.3,0.20252506663846,0.302718003945096,0.241960483953558,0.117609822273292,18.9,27.4,6.243,4.73,2.237,28.107,17.616,1048.51601365254,2.529,1000
5,5,5,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,5,0.3,4,0.22,0.3,0.243347438645748,0.348919235377028,0.275915003783304,0.117609822273292,25.1,23,4.299,3.414,1.546,28.107,17.616,1048.51601365254,2.529,1000
5,5,5,"base_example",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,5,0.3,5,0.3,0.3,0.332010408556055,0.387628321231789,0.288025198664973,0.117609822273292,43.9,14.5,2.763,2.196,0.914,28.107,17.616,1048.51601365254,2.529,1000
6,6,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,1,0.29,0.3,0.304278794268721,0.280543793567151,0.189260155286534,0.118446995221343,54.7,55.9,18.486,13.061,5.625,26.085,18.099,1034.55372158944,1.011,1000
6,6,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,2,0.34,0.32,0.358303188633976,0.392363221472609,0.284872264882417,0.118446995221343,21.9,16.6,4.545,3.594,1.485,26.085,18.099,1034.55372158944,1.011,1000
6,6,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,3,0.38,0.35,0.455581366634964,0.443938115252851,0.307263705262361,0.118446995221343,9.5,5.8,2.031,1.669,0.594,26.085,18.099,1034.55372158944,1.011,1000
6,6,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,4,0.43,0.38,0.500695702506021,0.484099222720241,0.333890511968435,0.118446995221343,2.6,1.4,0.702,0.611,0.209,26.085,18.099,1034.55372158944,1.011,1000
6,6,1,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,5,0.52,0.4,0.586235156646427,0.492687890073197,0.316817343079269,0.118446995221343,0.8,0.1,0.321,0.276,0.073,26.085,18.099,1034.55372158944,1.011,1000
7,7,2,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,1,0.16,0.2,0.169776100221261,0.211185704036563,0.160252873970185,0.118185272573957,21.2,14.3,9.882,6.582,3.411,27.738,19.212,1117.43139285721,1.664,1000
7,7,2,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,2,0.2,0.5,0.215439028865463,0.444780842122837,0.380149133463198,0.118185272573957,20.2,37.4,9.267,7.351,2.854,27.738,19.212,1117.43139285721,1.664,1000
7,7,2,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,3,0.26,0.5,0.30657815449717,0.465129261143513,0.373155814794362,0.118185272573957,28.2,23.2,5.004,4.076,1.34,27.738,19.212,1117.43139285721,1.664,1000
7,7,2,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,4,0.31,0.5,0.352513780299817,0.475265174216867,0.369511040126922,0.118185272573957,16.2,9.3,2.403,2.018,0.63,27.738,19.212,1117.43139285721,1.664,1000
7,7,2,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,4,0.3,5,0.36,0.5,0.445661129285619,0.488505287426491,0.354806948640805,0.118185272573957,12.9,4.4,1.182,1.022,0.291,27.738,19.212,1117.43139285721,1.664,1000
8,8,3,"five_scenarios_txt",1,"two_stage","additive_shared","additive_alpha","previous_dose_additive",30,6,30,3,2,0.0178571428571429,1,0.3,1,0.32,0.1,0.352399250845314,0.117760676841229,0.0120409015876352,0.126533982085965,63.3,15.9,10.992,7.517,3.634,17.043,11.293,649.179331464596,0.927,1000
