"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Stage2_Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","No_OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,1,0,0,0.3,0.05,0.326752973495543,0.0830469110150382,31.9126957210806,0.120702630587645,53.8,9.4,78.8,11.244,6.622,4.942,20.181,10.69,572.517622398629,62.7,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,2,0,0,0.35,0.06,0.38006008600856,0.253394453221127,40.0012637529252,0.120702630587645,19.3,6.7,78.8,4.761,3.451,2.453,20.181,10.69,572.517622398629,62.7,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,3,0,0,0.4,0.07,0.475226517554636,0.351811872460997,42.0996516454744,0.120702630587645,10.6,4,78.8,2.763,2.054,1.397,20.181,10.69,572.517622398629,62.7,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,4,0,0,0.45,0.08,0.519105831199257,0.431368189142379,45.1178581005725,0.120702630587645,3.9,1,78.8,1.101,0.859,0.557,20.181,10.69,572.517622398629,62.7,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,5,0,0,0.5,0.09,0.601992051587579,0.479589960180897,44.6957155473507,0.120702630587645,1,0.1,78.8,0.312,0.251,0.142,20.181,10.69,572.517622398629,62.7,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,1,0,0,0.02,0.2,0.0389240113998752,0.191905422569892,49.9573648981985,0.114932821136716,0,22.9,1.3,6.834,4.323,3.256,30,14.205,776.843295916096,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,2,0,0,0.06,0.2,0.0596776757792607,0.197014539298544,49.4337653267422,0.114932821136716,0,24,1.3,6.738,4.948,3.619,30,14.205,776.843295916096,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,3,0,0,0.09,0.2,0.112232542517829,0.203906063381161,47.7450621021565,0.114932821136716,0.6,20.6,1.3,5.985,4.525,3.346,30,14.205,776.843295916096,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,4,0,0,0.14,0.2,0.144168937340699,0.208981657384677,46.7721419494526,0.114932821136716,6.1,18,1.3,5.424,4.264,2.91,30,14.205,776.843295916096,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,5,0,0,0.26,0.2,0.219936986231851,0.236896306685607,45.4162989518624,0.114932821136716,93.3,13.2,1.3,5.019,3.924,2.664,30,14.205,776.843295916096,0,1000
3,20,5,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,3,2,0.3,3,1,1,0,0,0.07,0.05,0.135408162276217,0.123919200074198,42.0188255134032,0.114144970776915,2.2,4.2,6.9,5.073,2.993,2.261,29.607,15.719,854.690577009412,2.4,1000
