"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Multicycle_Toxicity_Rule","Multicycle_Toxicity_Cutoff","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,1,0.3,0.05,0.3404,0.0836,31.3985,0.1394,NA,NA,62.5,9.2,10.947,10.947,0,18.768,18.768,9.5,9.6,82.4,1033.652,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,2,0.35,0.06,0.3942,0.2699,40.4272,0.1394,NA,NA,15.7,5.1,4.284,4.284,0,18.768,18.768,9.5,9.6,82.4,1033.652,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,3,0.4,0.07,0.4892,0.3626,42.1854,0.1394,NA,NA,8.8,2.2,2.37,2.37,0,18.768,18.768,9.5,9.6,82.4,1033.652,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.45,0.08,0.5327,0.4427,45.2545,0.1394,NA,NA,2.7,0.8,0.915,0.915,0,18.768,18.768,9.5,9.6,82.4,1033.652,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.5,0.09,0.6144,0.4835,44.4349,0.1394,NA,NA,0.8,0.3,0.252,0.252,0,18.768,18.768,9.5,9.6,82.4,1033.652,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,1,0.02,0.2,0.0429,0.1991,50.2291,0.1375,NA,NA,0,24.1,7.101,7.101,0,30,30,0,0,0.9,1664.1426,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,2,0.06,0.2,0.065,0.1988,49.3266,0.1375,NA,NA,0,21.9,6.651,6.651,0,30,30,0,0,0.9,1664.1426,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,3,0.09,0.2,0.1199,0.2071,47.6298,0.1375,NA,NA,0.9,18.3,5.697,5.697,0,30,30,0,0,0.9,1664.1426,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.14,0.2,0.1528,0.2233,47.2827,0.1375,NA,NA,8.6,21.1,5.784,5.784,0,30,30,0,0,0.9,1664.1426,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.26,0.2,0.23,0.2472,45.6312,0.1375,NA,NA,90.5,13.7,4.767,4.767,0,30,30,0,0,0.9,1664.1426,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,1,0.07,0.05,0.1442,0.1273,41.8732,0.1375,NA,NA,2.5,4.5,5.076,5.076,0,29.484,29.484,0.1,0.1,5.1,1634.193,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,2,0.14,0.25,0.1891,0.2432,47.0278,0.1375,NA,NA,10,48.5,10.716,10.716,0,29.484,29.484,0.1,0.1,5.1,1634.193,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,3,0.31,0.25,0.2807,0.2545,44.041,0.1375,NA,NA,42.9,29.1,7.977,7.977,0,29.484,29.484,0.1,0.1,5.1,1634.193,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.41,0.25,0.3275,0.3278,46.5693,0.1375,NA,NA,32.1,10.9,4.308,4.308,0,29.484,29.484,0.1,0.1,5.1,1634.193,1000,1000
3,20,5,"five_scenarios_txt",1,3,2,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.52,0.25,0.4232,0.4269,48.6875,0.1375,NA,NA,12.4,1.9,1.407,1.407,0,29.484,29.484,0.1,0.1,5.1,1634.193,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,1,0.01,0.05,0.0304,0.1511,47.8486,0.1393,NA,NA,0,1.1,3.393,3.393,0,30,30,0,0,0,1664.1426,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,2,0.02,0.08,0.0482,0.1643,47.9343,0.1393,NA,NA,0,1.2,3.444,3.444,0,30,30,0,0,0,1664.1426,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,3,0.05,0.2,0.0949,0.2315,50.0893,0.1393,NA,NA,0,6.3,4.275,4.275,0,30,30,0,0,0,1664.1426,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.1,0.5,0.1243,0.441,61.4888,0.1393,NA,NA,4.9,56,10.899,10.899,0,30,30,0,0,0,1664.1426,1000,1000
4,24,4,"five_scenarios_txt",1,5,4,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.25,0.5,0.1957,0.4424,58.7111,0.1393,NA,NA,95.1,35.4,7.989,7.989,0,30,30,0,0,0,1664.1426,1000,1000
5,27,2,"higher_gap_above_MTD",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,1,0.11,0.1,0.1685,0.1451,41.9663,0.1369,NA,NA,5.8,11.3,6.9,6.9,0,29.13,29.13,0.2,0.2,8.7,1614.3584,1000,1000
5,27,2,"higher_gap_above_MTD",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,2,0.17,0.2,0.2166,0.216,44.2927,0.1369,NA,NA,17,23.8,7.881,7.881,0,29.13,29.13,0.2,0.2,8.7,1614.3584,1000,1000
5,27,2,"higher_gap_above_MTD",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,3,0.3,0.4,0.312,0.3805,50.3501,0.1369,NA,NA,51.9,46.3,9.666,9.666,0,29.13,29.13,0.2,0.2,8.7,1614.3584,1000,1000
5,27,2,"higher_gap_above_MTD",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,4,0.5,0.42,0.3596,0.4444,52.279,0.1369,NA,NA,20.9,9,3.774,3.774,0,29.13,29.13,0.2,0.2,8.7,1614.3584,1000,1000
5,27,2,"higher_gap_above_MTD",1,3,3,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,1,"any_admissible_dose",0,0,0.2,0.85,0,1,0.95,5,0.62,0.45,0.4553,0.4852,50.8985,0.1369,NA,NA,4.2,0.9,0.909,0.909,0,29.13,29.13,0.2,0.2,8.7,1614.3584,1000,1000
