"Task_ID","Scenario","Source_Scenario","Scenario_Group","Scenario_Attempt","True_MTD","True_OBD","Target_Toxicity","Allocation","Nmax","Sample_Size","N_s1","N_s2","Model","Model_ID","Carryover_Model","CRM_r_Model","CRM_Prior_a","CRM_Prior_b","Efficacy_Model","Efficacy_Prior_a","Efficacy_Prior_b","Efficacy_Carryover_Prior_a","Efficacy_Carryover_Prior_b","Efficacy_Additive_Alpha_Prior_a","Efficacy_Additive_Alpha_Prior_b","Utility_Type","Lambda_T","Stage2_Allocation","Enrollment_Scheme","Arrival_Rate","T_assess","Cycle_Max","IPDE_Dose_Assignment","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Efficacy_Threshold","Futility_Cutoff","Min_Eff_N_for_Futility","Multicycle_Toxicity_Rule","Multicycle_Toxicity_Cutoff","Dose","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","r_hat","r_cap","r_use","MTD_Selection_pct","OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Design_Early_Stopping_pct","No_OBD_Selection_pct","Duration","n_valid","ntrial_from_files"
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,1,0.3,0.05,0.3278,0.0823,31.8262,0.1296,NA,NA,59.2,8.7,10.896,8.21,3.044,19.131,12.414,8.8,9,81.2,680.2723,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,2,0.35,0.06,0.3813,0.2612,40.4233,0.1296,NA,NA,16.6,6.1,4.428,3.925,2.18,19.131,12.414,8.8,9,81.2,680.2723,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,3,0.4,0.07,0.4766,0.3567,42.3344,0.1296,NA,NA,11.6,2.8,2.439,2.168,0.903,19.131,12.414,8.8,9,81.2,680.2723,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,4,0.45,0.08,0.5205,0.435,45.2782,0.1296,NA,NA,2.6,0.8,1.05,0.957,0.472,19.131,12.414,8.8,9,81.2,680.2723,1000,1000
1,1,1,"base_example",1,1,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,5,0.5,0.09,0.6034,0.4792,44.6142,0.1296,NA,NA,1.2,0.4,0.318,0.276,0.118,19.131,12.414,8.8,9,81.2,680.2723,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,1,0.02,0.2,0.0406,0.1958,50.1247,0.1241,NA,NA,0,24.6,7.158,6.309,1.735,30,18.253,0,0,1,1002.4115,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,2,0.06,0.2,0.0619,0.1926,49.0827,0.1241,NA,NA,0,21,6.573,5.926,3.546,30,18.253,0,0,1,1002.4115,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,3,0.09,0.2,0.1154,0.202,47.5029,0.1241,NA,NA,0.6,18.4,5.652,5.253,1.972,30,18.253,0,0,1,1002.4115,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,4,0.14,0.2,0.1477,0.2151,46.9986,0.1241,NA,NA,7.7,21.2,5.766,5.32,2.692,30,18.253,0,0,1,1002.4115,1000,1000
2,16,1,"five_scenarios_txt",1,5,1,0.3,"two_stage",30,30,6,30,"CRM","multicycle_additive","multicycle_additive","multicycle_additive",0.15,0.85,"multicycle_additive",0.5,0.5,0.15,0.85,0.15,0.85,3,1,"one_stage","continuous",0.0179,28,2,"any_admissible_dose",0,0,0.2,0.85,0,0,0.95,5,0.26,0.2,0.2239,0.2386,45.3571,0.1241,NA,NA,91.7,13.8,4.851,4.438,1.802,30,18.253,0,0,1,1002.4115,1000,1000
