"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Stage2_Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","No_OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
1,1,1,"base_example",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,1,0,0,0.3,0.05,0.330281227510584,0.0835444878966446,31.8014201733753,0.124412353899105,55,9.7,78.9,11.07,7.565,3.755,19.782,12.619,677.533797297009,63.9,1000
1,1,1,"base_example",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,2,0,0,0.35,0.06,0.38354993006885,0.251229159161646,39.7317523469447,0.124412353899105,18.5,6.5,78.9,4.875,3.789,1.952,19.782,12.619,677.533797297009,63.9,1000
1,1,1,"base_example",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,3,0,0,0.4,0.07,0.47850372772089,0.363321992761195,42.6591704568361,0.124412353899105,10,3.3,78.9,2.472,1.975,0.941,19.782,12.619,677.533797297009,63.9,1000
1,1,1,"base_example",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,4,0,0,0.45,0.08,0.522233331585221,0.436735372595456,45.3147890923185,0.124412353899105,4.4,1.2,78.9,0.999,0.816,0.389,19.782,12.619,677.533797297009,63.9,1000
1,1,1,"base_example",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,5,0,0,0.5,0.09,0.604761855657377,0.475747169639729,44.3543559520887,0.124412353899105,0.8,0.4,78.9,0.366,0.307,0.126,19.782,12.619,677.533797297009,63.9,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,1,0,0,0.02,0.2,0.0398010336660261,0.19204088861042,49.9304119699841,0.122487103142067,0,24.5,0.7,6.909,4.928,2.544,30,17.93,969.816488531671,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,2,0,0,0.06,0.2,0.060834097720661,0.195133711827428,49.2746588008193,0.122487103142067,0.3,22.5,0.7,6.516,5.121,2.696,30,17.93,969.816488531671,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,3,0,0,0.09,0.2,0.113912357694399,0.205013663718143,47.7443255153126,0.122487103142067,0.5,19.7,0.7,5.91,4.788,2.46,30,17.93,969.816488531671,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,4,0,0,0.14,0.2,0.14608207240884,0.207843796930797,46.6273449194942,0.122487103142067,7.2,18,0.7,5.634,4.585,2.422,30,17.93,969.816488531671,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,5,0,0,0.26,0.2,0.222231309122024,0.243550814701441,45.7237965172055,0.122487103142067,92,14.6,0.7,5.031,4.115,1.948,30,17.93,969.816488531671,0,1000
3,20,5,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,1,0,0,0.07,0.05,0.137956570380068,0.123626674924512,41.899337680268,0.121241072313702,2,5.3,5.4,5.127,3.509,1.79,29.604,18.84,1024.89672813193,2.6,1000
3,20,5,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,2,0,0,0.14,0.25,0.182113610838222,0.233371692039499,46.717757088841,0.121241072313702,9.7,47,5.4,10.398,7.881,4.12,29.604,18.84,1024.89672813193,2.6,1000
3,20,5,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,3,0,0,0.31,0.25,0.272720418678873,0.251308242530695,44.1696778046868,0.121241072313702,38.1,29.1,5.4,7.848,6.377,2.685,29.604,18.84,1024.89672813193,2.6,1000
3,20,5,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,4,0,0,0.41,0.25,0.31926475692426,0.311304168352173,45.90765982416,0.121241072313702,34.3,10.6,5.4,4.662,3.954,1.656,29.604,18.84,1024.89672813193,2.6,1000
3,20,5,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,3,2,0.3,3,1,5,0,0,0.52,0.25,0.414892006438896,0.415510421815109,48.3349450513507,0.121241072313702,15.8,2.6,5.4,1.569,1.389,0.513,29.604,18.84,1024.89672813193,2.6,1000
4,24,4,"five_scenarios_txt",1,"two_stage","one_stage","additive_shared","additive_shared","previous_dose_additive",30,6,30,3,2,0.0178571428571429,28,5,4,0.3,3,1,1,0,0,0.01,0.05,0.0289567580542737,0.146253274611742,47.6169261545336,0.120550655797886,0,0.6,0.1,3.378,2.364,1.076,30,19.563,1081.60853707211,0,1000
