"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Stage2_Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","No_OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,1,0,0,0.3,0.05,0.327472008294428,0.0835601200004638,31.9147268682507,0.11966178242994,55.4,9.8,78.4,11.25,6.637,4.94,20.181,10.701,574.042211041985,62.3,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,2,0,0,0.35,0.06,0.380808818897753,0.254226455588881,40.0212345794228,0.11966178242994,18.2,7,78.4,4.8,3.483,2.469,20.181,10.701,574.042211041985,62.3,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,3,0,0,0.4,0.07,0.475973820211781,0.351529480147637,42.052816000387,0.11966178242994,10.6,3.7,78.4,2.712,2.021,1.37,20.181,10.701,574.042211041985,62.3,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,4,0,0,0.45,0.08,0.51983261857108,0.432847941991316,45.1775717766358,0.11966178242994,3.7,0.8,78.4,1.08,0.847,0.544,20.181,10.701,574.042211041985,62.3,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,1,1,0.3,3,1,5,0,0,0.5,0.09,0.602651862700001,0.478468021294549,44.6020067696729,0.11966178242994,1,0.3,78.4,0.339,0.269,0.157,20.181,10.701,574.042211041985,62.3,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,1,0,0,0.02,0.2,0.0388561631572201,0.191997012096758,49.9655741995167,0.116335668918355,0,22.6,1.4,6.873,4.347,3.27,30,14.199,776.933129611005,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,2,0,0,0.06,0.2,0.059584890913501,0.196258842549505,49.3921349164302,0.116335668918355,0,23.8,1.4,6.693,4.929,3.589,30,14.199,776.933129611005,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,3,0,0,0.09,0.2,0.112088814652688,0.203276107682046,47.7130138748152,0.116335668918355,0.6,20.2,1.4,6.033,4.532,3.383,30,14.199,776.933129611005,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,4,0,0,0.14,0.2,0.143999351525226,0.209147734964533,46.788890036863,0.116335668918355,6,17.6,1.4,5.427,4.27,2.918,30,14.199,776.933129611005,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,3,0.0178571428571429,28,5,1,0.3,3,1,5,0,0,0.26,0.2,0.219715480894031,0.238822201554285,45.5407128574959,0.116335668918355,93.4,14.4,1.4,4.974,3.904,2.641,30,14.199,776.933129611005,0,1000
