"Task_ID","Scenario","Source_Scenario","Scenario_Group","Attempt","Allocation","Stage2_Allocation","Model_ID","Carryover_Model","Efficacy_Model","Nmax","N_s1","N_s2","n_eval","Cycle_Max","Arrival_Rate","T_assess","True_MTD","True_OBD","Target_Toxicity","Utility_Type","Lambda_T","Dose","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","True_DLT_rate","True_Efficacy_rate","Estimated_CRM_pj","Estimated_Efficacy","Estimated_Utility","Carryover_Mean","MTD_Selection_pct","OBD_Selection_pct","No_OBD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Duration","Early_Stop_pct","ntrial"
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,1,0,0,0.3,0.05,0.331171300224017,0.0836577182147338,31.7726110839233,0.12175652409528,54.9,9.4,79.3,10.98,7.498,3.74,19.746,12.576,676.716186545867,63.7,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,2,0,0,0.35,0.06,0.384455224749284,0.25308425870575,39.8068465323736,0.12175652409528,17.6,6.6,79.3,4.806,3.747,1.932,19.746,12.576,676.716186545867,63.7,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,3,0,0,0.4,0.07,0.479399413874567,0.356854942418091,42.2353199901028,0.12175652409528,10.8,3.2,79.3,2.61,2.075,0.989,19.746,12.576,676.716186545867,63.7,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,4,0,0,0.45,0.08,0.523109182129791,0.435310796705006,45.1942805171087,0.12175652409528,4.1,1.5,79.3,0.996,0.818,0.385,19.746,12.576,676.716186545867,63.7,1000
1,1,1,"base_example",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,1,1,0.3,3,1,5,0,0,0.5,0.09,0.605573776300595,0.475627292720645,44.3146865112149,0.12175652409528,0.6,0,79.3,0.354,0.295,0.124,19.746,12.576,676.716186545867,63.7,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,1,0,0,0.02,0.2,0.0395798563696138,0.192550973404802,49.9698641495035,0.120539875527769,0,23.8,0.7,6.918,4.938,2.532,30,17.922,972.956488721805,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,2,0,0,0.06,0.2,0.0605482791501289,0.194579532946743,49.2528408107994,0.120539875527769,0,21.9,0.7,6.462,5.082,2.679,30,17.922,972.956488721805,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,3,0,0,0.09,0.2,0.113523395995269,0.204473126901544,47.7274517742819,0.120539875527769,0.6,20.7,0.7,5.961,4.824,2.48,30,17.922,972.956488721805,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,4,0,0,0.14,0.2,0.14565781449273,0.207387419739583,46.6169326046657,0.120539875527769,7.1,18.1,0.7,5.607,4.573,2.422,30,17.922,972.956488721805,0,1000
2,16,1,"five_scenarios_txt",1,"two_stage","one_stage","multicycle_additive","multicycle_additive","multicycle_additive",30,6,30,3,2,0.0178571428571429,28,5,1,0.3,3,1,5,0,0,0.26,0.2,0.221774781126444,0.240006263642903,45.5293845735164,0.120539875527769,92.3,14.8,0.7,5.052,4.128,1.965,30,17.922,972.956488721805,0,1000
