"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,1,1,1,1,0.29,0.29,0.0809,NA,NA,NA,10.0667,10.4466,10.4466,0,18.7725,18.7725,64.4049,279.9978,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,1,1,1,2,0.34,0.34,0.1662,NA,NA,NA,5.1168,3.7675,3.7675,0,18.7725,18.7725,64.4049,279.9978,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,1,1,1,3,0.38,0.38,0.1045,NA,NA,NA,3.8932,1.6151,1.6151,0,18.7725,18.7725,64.4049,279.9978,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,1,1,1,4,0.43,0.43,0.0895,NA,NA,NA,16.2403,2.5445,2.5445,0,18.7725,18.7725,64.4049,279.9978,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,1,1,1,5,0.52,0.52,0.6328,NA,NA,NA,0.2781,0.3988,0.3988,0,18.7725,18.7725,64.4049,279.9978,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,2,1,1,1,0.29,0.29,0.114,NA,NA,NA,16.9633,11.084,11.084,0,19.6635,16.0606,57.4527,252.4705,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,2,1,1,2,0.34,0.34,0.1973,NA,NA,NA,5.0612,4.3382,4.3382,2.2531,19.6635,16.0606,57.4527,252.4705,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,2,1,1,3,0.38,0.38,0.1489,NA,NA,NA,3.8932,1.6118,1.6118,0.7036,19.6635,16.0606,57.4527,252.4705,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,2,1,1,4,0.43,0.43,0.0966,NA,NA,NA,16.3515,2.2325,2.2325,0.4177,19.6635,16.0606,57.4527,252.4705,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_5d","S20_5d_SC1",1,1,1,1,"CFO","cfo_pride",NA,NA,NA,"pride",0,0,0.0714,28,30,2,1,1,5,0.52,0.52,0.6328,NA,NA,NA,0.2781,0.3971,0.3971,0.2286,19.6635,16.0606,57.4527,252.4705,1798,1798,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,"0.005,0.01,0.05,0.1,0.3","PRIDE.bug",30,1,"approx",200,1000,0,3,1000,2000,5000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
