"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,2,1,1,1,0.11,0.11,0.1242,0,NA,NA,1.0081,4.9309,4.9309,0,29.8866,20.0912,0.4536,337.6585,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,2,1,1,2,0.14,0.14,0.1608,NA,NA,NA,3.3266,3.942,3.942,3.4934,29.8866,20.0912,0.4536,337.6585,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,2,1,1,3,0.19,0.19,0.1975,NA,NA,NA,10.6855,4.9415,4.9415,0.2737,29.8866,20.0912,0.4536,337.6585,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,2,1,1,4,0.24,0.24,0.2435,NA,NA,NA,21.3206,5.005,5.005,2.9617,29.8866,20.0912,0.4536,337.6585,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,2,1,1,5,0.3,0.3,0.2898,NA,NA,NA,23.2359,4.8327,4.8327,0.7344,29.8866,20.0912,0.4536,337.6585,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,2,1,1,6,0.34,0.34,0.3366,NA,NA,NA,18.5988,3.2873,3.2873,1.6164,29.8866,20.0912,0.4536,337.6585,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,2,1,1,7,0.37,0.37,0.384,NA,NA,NA,12.2984,1.7873,1.7873,0.3478,29.8866,20.0912,0.4536,337.6585,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,30,2,1,1,8,0.41,0.41,0.4319,NA,NA,NA,9.0726,1.1598,1.1598,0.3679,29.8866,20.0912,0.4536,337.6585,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,2,1,1,1,0.11,0.11,0.1188,0.0328,NA,NA,0.8569,4.692,4.692,0,29.8866,20.0207,0.4536,336.8907,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,2,1,1,2,0.14,0.14,0.1545,NA,NA,NA,2.9234,3.8392,3.8392,3.3574,29.8866,20.0207,0.4536,336.8907,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,2,1,1,3,0.19,0.19,0.1902,NA,NA,NA,10.1815,4.5801,4.5801,0.3009,29.8866,20.0207,0.4536,336.8907,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,2,1,1,4,0.24,0.24,0.2352,NA,NA,NA,19.7581,5.0247,5.0247,2.8357,29.8866,20.0207,0.4536,336.8907,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,2,1,1,5,0.3,0.3,0.2808,NA,NA,NA,22.379,4.7646,4.7646,0.8553,29.8866,20.0207,0.4536,336.8907,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,2,1,1,6,0.34,0.34,0.327,NA,NA,NA,19.1028,3.44,3.44,1.6527,29.8866,20.0207,0.4536,336.8907,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,2,1,1,7,0.37,0.37,0.374,NA,NA,NA,13.2056,2.1305,2.1305,0.4037,29.8866,20.0207,0.4536,336.8907,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,2,1,1,8,0.41,0.41,0.4216,NA,NA,NA,11.1391,1.4153,1.4153,0.4602,29.8866,20.0207,0.4536,336.8907,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,2,1,1,1,0.11,0.11,0.112,NA,NA,NA,0.8065,4.9083,4.9083,0,29.8866,20.0408,0.4536,336.8034,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S20_8d","S20_8d_SC1",1,1,5,1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",NA,0,0,0.0714,28,30,2,1,1,2,0.14,0.14,0.1464,NA,NA,NA,3.1754,3.8196,3.8196,3.4652,29.8866,20.0408,0.4536,336.8034,1984,1984,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,20,30,40,50,60,70,80",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
