"Scenario_Set","Scenario_Name","Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","T_assess","Cycle_Max","Continuous_Enrollment","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,1,0.07,0.07,0.0338,0,NA,NA,0,3.9738,3.9738,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,2,0.1,0.1,0.0606,NA,NA,NA,0.6048,3.4824,3.4824,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,3,0.12,0.12,0.0873,NA,NA,NA,1.6129,3.6714,3.6714,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,4,0.14,0.14,0.1145,NA,NA,NA,9.879,5.0897,5.0897,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,5,0.17,0.17,0.2169,NA,NA,NA,34.5766,7.4168,7.4168,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,6,0.19,0.19,0.3606,NA,NA,NA,24.9496,3.6729,3.6729,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,7,0.22,0.22,0.4269,NA,NA,NA,12.4496,1.5091,1.5091,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,8,0.26,0.26,0.4875,NA,NA,NA,15.8266,1.1568,1.1568,0,29.9728,29.9728,0.1008,437.4255,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,1,0.07,0.07,0.0337,0.0834,NA,NA,0,3.9662,3.9662,0,29.9607,29.9607,0.1512,437.2936,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SetB_8dose","SetB_8dose_SC1",1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,2,0.1,0.1,0.0604,NA,NA,NA,0.504,3.4733,3.4733,0,29.9607,29.9607,0.1512,437.2936,1984,1984,"0.04,0.08,0.12,0.16,0.3,0.47,0.54,0.6",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
