"Scenario_Set","Scenario_Name","Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,1,1,1,1,0.07,0.07,0.0805,0,NA,NA,0,4.0543,4.0543,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,1,1,1,2,0.12,0.12,0.1133,NA,NA,NA,1.9638,4.0016,4.0016,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,1,1,1,3,0.17,0.17,0.1874,NA,NA,NA,11.3695,5.3101,5.3101,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,1,1,1,4,0.22,0.22,0.2284,NA,NA,NA,25.168,6.1736,6.1736,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_fixed",NA,NA,"fixed",NA,0,0,0.0714,28,1,1,1,5,0.3,0.3,0.3183,NA,NA,NA,61.292,10.4078,10.4078,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0,0,0.0714,28,1,1,1,1,0.07,0.07,0.0804,NA,NA,NA,0,4.0558,4.0558,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0,0,0.0714,28,1,1,1,2,0.12,0.12,0.1133,0.082,NA,NA,1.9638,3.9938,3.9938,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0,0,0.0714,28,1,1,1,3,0.17,0.17,0.1873,0.0825,NA,NA,11.1628,5.307,5.307,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0,0,0.0714,28,1,1,1,4,0.22,0.22,0.2283,0.0851,NA,NA,25.2713,6.1953,6.1953,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_5dose_methods_prior","Set_5dose_methods_prior_SC1",1,"CRM","crm_level",NA,NA,"level",NA,0,0,0.0714,28,1,1,1,5,0.3,0.3,0.3181,0.0944,NA,NA,61.3953,10.3953,10.3953,0,29.9473,29.9473,0.2067,437.3492,1935,1935,"0.15,0.2,0.3,0.35,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
