"Scenario_Set","Scenario_Name","Scenario","Source_Scenario","True_MTD","Scenario_Attempt","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Skeleton","CRM_Theta_Prior_Mean","CRM_Theta_Prior_SD","CRM_r_Prior_a","CRM_r_Prior_b","CFO_Skeleton","CFO_Model_File","CFO_Sigma2_Beta","CFO_Eta","CFO_PK_Method","CFO_N_MC_W","CFO_M_Use","CFO_Use_Monotone_Pair","CFO_N_Chains","CFO_N_Adapt","CFO_N_Burnin","CFO_N_Iter","CFO_Thin","CRM_Dose_Values","CRM_Alpha_Grid_Length","CRM_Dose_Scores_Raw","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx1-r_adaptive","approx1","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,1,0.07,0.07,0.003,0.0634,NA,0.0634,0.3043,4.001,4.001,0,29.9483,18.9102,0.2028,332.6064,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx1-r_adaptive","approx1","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,2,0.1,0.1,0.0063,0.0633,NA,0.0633,0.8114,3.429,3.429,3.0999,29.9483,18.9102,0.2028,332.6064,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx1-r_adaptive","approx1","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,3,0.12,0.12,0.0212,0.0626,NA,0.0626,4.0061,4.9883,4.9883,0.2104,29.9483,18.9102,0.2028,332.6064,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx1-r_adaptive","approx1","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,4,0.14,0.14,0.0307,0.063,NA,0.063,6.998,4.8423,4.8423,3.2885,29.9483,18.9102,0.2028,332.6064,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx1-r_adaptive","approx1","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,5,0.17,0.17,0.0685,0.0632,NA,0.0632,17.0892,4.786,4.786,0.8991,29.9483,18.9102,0.2028,332.6064,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx1-r_adaptive","approx1","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,6,0.19,0.19,0.0987,0.0639,NA,0.0639,19.7262,3.7835,3.7835,2.1435,29.9483,18.9102,0.2028,332.6064,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx1-r_adaptive","approx1","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,7,0.22,0.22,0.1566,0.0645,NA,0.0645,26.1663,2.6379,2.6379,0.7059,29.9483,18.9102,0.2028,332.6064,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx1-r_adaptive","approx1","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,8,0.26,0.26,0.2389,0.0617,NA,0.0617,24.6957,1.4802,1.4802,0.6907,29.9483,18.9102,0.2028,332.6064,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx2-r_adaptive","approx2","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,1,0.07,0.07,0.0032,0.0633,NA,0.0633,0.3043,4.0041,4.0041,0,29.9483,18.9275,0.2028,332.6532,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Set_8dose_adaptive_r_25","Set_8dose_adaptive_r_25_SC1",1,1,8,1,"BOIN","approx2-r_adaptive","approx2","r_adaptive",NA,NA,0,0,0.0714,28,30,2,1,1,2,0.1,0.1,0.0067,0.0632,NA,0.0632,0.8621,3.4397,3.4397,3.1029,29.9483,18.9275,0.2028,332.6532,1972,1972,"0.12,0.16,0.2,0.25,0.3,0.35,0.4,0.45",0,1.4142,0.15,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
