"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","Metric","D1","D2","D3","D4","D5","Total","Duration","n_valid","ntrial_from_files"
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"True DLT rate",0.07,0.12,0.17,0.22,0.3,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"True IPDE DLT rate",0.07,0.12,0.17,0.22,0.3,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"Estimated pj_iso",0.0083,0.0283,0.0698,0.1449,0.3003,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"MTD Selection %",0.6503,3.4517,13.1066,31.3157,51.4757,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Pts Treated",4.2126,5.3127,6.4352,6.7594,7.2801,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Unique Pts by Dose",4.2126,5.3127,6.4352,6.7594,7.2801,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# IPDE Doses",0,3.3847,3.6333,1.6883,2.7959,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,30,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,18.4977,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,0,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0,0,0.5,"Duration",NA,NA,NA,NA,NA,NA,64.7627,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"True DLT rate",0.07,0.12,0.17,0.22,0.3,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"True IPDE DLT rate",0.07,0.141,0.206,0.271,0.366,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"Estimated pj_iso",0.0111,0.0412,0.0947,0.1717,0.3176,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"r_hat raw MLE",NA,NA,NA,NA,NA,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"r_cap pooled adjacent",NA,NA,NA,NA,NA,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"r_use truncated",0,0,0,0,0,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"MTD Selection %",0.8004,5.8529,18.5593,35.918,38.8694,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Pts Treated",4.3192,6.009,7.1421,6.7609,5.7689,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Unique Pts by Dose",4.3192,6.009,7.1421,6.7609,5.7689,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# IPDE Doses",0,3.4942,3.8724,1.8764,2.4707,NA,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Total Administrations",NA,NA,NA,NA,NA,30,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"# Total Unique Patients",NA,NA,NA,NA,NA,18.2861,NA,1999,1999
1,"BOIN","approx1-r_fixed","approx1","r_fixed",NA,0.3,0,0.5,"% Early Stopping",NA,NA,NA,NA,NA,0,NA,1999,1999
