"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","T_assess","Cycle_Max","Continuous_Enrollment","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Dose_Values","CRM_Theta_Prior_SD","CRM_Alpha_Grid_Length","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,1,0.07,0.07,0.0804,0,NA,NA,0,4.047,4.047,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,2,0.12,0.12,0.1132,NA,NA,NA,1.5,3.99,3.99,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,3,0.17,0.17,0.1872,NA,NA,NA,9.3,5.2995,5.2995,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,4,0.22,0.22,0.2282,NA,NA,NA,24.85,6.1875,6.1875,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,5,0.3,0.3,0.3181,NA,NA,NA,64.15,10.425,10.425,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_level",NA,NA,"level",0,0,0.0714,28,1,1,1,0.07,0.07,0.0804,NA,NA,NA,0,4.0485,4.0485,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_level",NA,NA,"level",0,0,0.0714,28,1,1,2,0.12,0.12,0.1132,0.0802,NA,NA,1.5,4.0035,4.0035,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_level",NA,NA,"level",0,0,0.0714,28,1,1,3,0.17,0.17,0.1872,0.0794,NA,NA,9.5,5.2755,5.2755,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_level",NA,NA,"level",0,0,0.0714,28,1,1,4,0.22,0.22,0.2282,0.0873,NA,NA,24.45,6.189,6.189,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_level",NA,NA,"level",0,0,0.0714,28,1,1,5,0.3,0.3,0.3181,0.0991,NA,NA,64.35,10.4325,10.4325,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,1,0.07,0.07,0.0803,0.0829,NA,NA,0,4.0485,4.0485,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,2,0.12,0.12,0.1132,NA,NA,NA,1.45,4.0035,4.0035,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,3,0.17,0.17,0.1872,NA,NA,NA,9.55,5.2875,5.2875,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,4,0.22,0.22,0.2282,NA,NA,NA,24.6,6.1695,6.1695,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,5,0.3,0.3,0.3181,NA,NA,NA,64.2,10.44,10.44,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,1,0.07,0.07,0.0803,NA,NA,NA,0,4.0455,4.0455,0,29.949,29.949,0.2,437.0498,2000,2000,"15,20,30,35,45",1.4142,61,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,2,0.12,0.12,0.1131,NA,NA,NA,1.45,3.993,3.993,0,29.949,29.949,0.2,437.0498,2000,2000,"15,20,30,35,45",1.4142,61,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,3,0.17,0.17,0.1871,NA,NA,NA,9.2,5.301,5.301,0,29.949,29.949,0.2,437.0498,2000,2000,"15,20,30,35,45",1.4142,61,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_alpha_crm",NA,NA,"alpha_crm",0,0,0.0714,28,1,1,4,0.22,0.22,0.2281,NA,NA,NA,24.55,6.1335,6.1335,0,29.949,29.949,0.2,437.0498,2000,2000,"15,20,30,35,45",1.4142,61,NA,NA,NA,NA,NA,NA,NA,NA
