"Scenario","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","Alpha_true","r_carry","Accrual","T_assess","Cycle_Max","Continuous_Enrollment","Dose","True_DLT_rate","True_IPDE_DLT_rate","Estimated_pj","r_hat","r_cap","r_use","MTD_Selection_pct","Pts_Treated","Unique_Pts_by_Dose","IPDE_Doses","Total_Administrations","Total_Unique_Patients","Early_Stopping_pct","Duration","n_valid","ntrial_from_files","CRM_Dose_Values","CRM_Theta_Prior_SD","CRM_Alpha_Grid_Length","CRM_Dose_Scores","CRM_Cumu_Beta0_Mean","CRM_Cumu_Beta0_Prec","CRM_Cumu_Beta0_DF","CRM_Cumu_Beta1_Shape","CRM_Cumu_Beta1_Rate","CRM_Cumu_Beta2_Rate","CRM_Cumu_Include_Current"
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,1,0.07,0.07,0.0797,0,NA,NA,0,4.0575,4.0575,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,2,0.12,0.12,0.1123,NA,NA,NA,1.95,3.996,3.996,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,3,0.17,0.17,0.1857,NA,NA,NA,11.4,5.2635,5.2635,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,4,0.22,0.22,0.2264,NA,NA,NA,24.55,6.0795,6.0795,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_fixed",NA,NA,"fixed",0,0,0.0714,28,1,1,5,0.3,0.3,0.3158,NA,NA,NA,61.9,10.5525,10.5525,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,1,0.07,0.07,0.0799,0.0754,NA,NA,0,4.062,4.062,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,2,0.12,0.12,0.1125,NA,NA,NA,1.95,3.9855,3.9855,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,3,0.17,0.17,0.1859,NA,NA,NA,11.4,5.2995,5.2995,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,4,0.22,0.22,0.2267,NA,NA,NA,24.55,6.081,6.081,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_random",NA,NA,"random",0,0,0.0714,28,1,1,5,0.3,0.3,0.3161,NA,NA,NA,61.9,10.521,10.521,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_level",NA,NA,"level",0,0,0.0714,28,1,1,1,0.07,0.07,0.0799,NA,NA,NA,0,4.0665,4.0665,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"CRM","crm_level",NA,NA,"level",0,0,0.0714,28,1,1,2,0.12,0.12,0.1125,0.0827,NA,NA,2,3.9855,3.9855,0,29.949,29.949,0.2,437.0498,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
