"Plot_Alpha","Source_Alpha","Gap","Display_Method","CRM_r_model","Metric","Raw_Value","Plot_Value","Nmax_eff","n_scenarios_found"
0,0,"0.05","CRM","r_fixed","Average MTD selection %",34.4185,34.4185,30,10000
0,0,"0.05","Alpha-CRM","alpha_crm","Average MTD selection %",34.2926,34.2926,30,10000
0,0,"0.05","IPCRM","cumu_crm","Average MTD selection %",35.4786,35.4786,30,8690
0,0,"0.05","Discount CRM","random","Average MTD selection %",34.6861,34.6861,30,9890
0,0,"0.10","CRM","r_fixed","Average MTD selection %",50.0013,50.0013,30,10000
0,0,"0.10","Alpha-CRM","alpha_crm","Average MTD selection %",48.9576,48.9576,30,7340
0,0,"0.10","IPCRM","cumu_crm","Average MTD selection %",49.7916,49.7916,30,10000
0,0,"0.10","Discount CRM","random","Average MTD selection %",49.8834,49.8834,30,10000
0,0,"0.15","CRM","r_fixed","Average MTD selection %",59.075,59.075,30,9830
0,0,"0.15","Alpha-CRM","alpha_crm","Average MTD selection %",57.8039,57.8039,30,9920
0,0,"0.15","IPCRM","cumu_crm","Average MTD selection %",59.7622,59.7622,30,9930
0,0,"0.15","Discount CRM","random","Average MTD selection %",58.564,58.564,30,9900
0,0,"0.05","CRM","r_fixed","Average MTD allocation",8.4198,28.066,30,10000
0,0,"0.05","Alpha-CRM","alpha_crm","Average MTD allocation",8.4358,28.1193333333333,30,10000
0,0,"0.05","IPCRM","cumu_crm","Average MTD allocation",8.6533,28.8443333333333,30,8690
0,0,"0.05","Discount CRM","random","Average MTD allocation",8.412,28.04,30,9890
0,0,"0.10","CRM","r_fixed","Average MTD allocation",11.1266,37.0886666666667,30,10000
0,0,"0.10","Alpha-CRM","alpha_crm","Average MTD allocation",10.9329,36.443,30,7340
0,0,"0.10","IPCRM","cumu_crm","Average MTD allocation",10.9355,36.4516666666667,30,10000
0,0,"0.10","Discount CRM","random","Average MTD allocation",10.9997,36.6656666666667,30,10000
0,0,"0.15","CRM","r_fixed","Average MTD allocation",12.8457,42.819,30,9830
0,0,"0.15","Alpha-CRM","alpha_crm","Average MTD allocation",12.4267,41.4223333333333,30,9920
0,0,"0.15","IPCRM","cumu_crm","Average MTD allocation",12.4922,41.6406666666667,30,9930
0,0,"0.15","Discount CRM","random","Average MTD allocation",12.5424,41.808,30,9900
0,0,"0.05","CRM","r_fixed","Average overdose selection %",24.7201,24.7201,30,10000
0,0,"0.05","Alpha-CRM","alpha_crm","Average overdose selection %",30.2193,30.2193,30,10000
0,0,"0.05","IPCRM","cumu_crm","Average overdose selection %",39.1012,39.1012,30,8690
0,0,"0.05","Discount CRM","random","Average overdose selection %",27.0959,27.0959,30,9890
0,0,"0.10","CRM","r_fixed","Average overdose selection %",22.8869,22.8869,30,10000
