"Scenario_Set","Model","Method","BOIN_Method","BOIN_r_estimator","CRM_r_model","CFO_Method","Alpha_true","r_carry","Accrual","T_assess","Nmax_eff","Dose_Cap","Cycle_Max","Continuous_Enrollment","Restrict_To_Tried","Restrict_To_Target","Metric","D1","D2","D3","D4","D5","Total","Duration","n_scenarios_expected","n_scenarios_found","n_scenarios_missing","n_files_found","ntrial_total_from_files"
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",20.127,21.2563,20.4276,16.2084,16.4134,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",10.293,6.4689,5.4519,3.5894,3.0946,NA,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.9817,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average trial duration",NA,NA,NA,NA,NA,NA,354.2513,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD selection %",NA,NA,NA,NA,NA,34.4185,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average MTD allocation",NA,NA,NA,NA,NA,8.4198,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose selection %",NA,NA,NA,NA,NA,24.7201,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average overdose allocation",NA,NA,NA,NA,NA,6.0867,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_r_fixed",NA,NA,"r_fixed",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average underdose allocation",NA,NA,NA,NA,NA,14.3913,NA,10000,10000,0,10000,1e+06
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose selection %",18.6237,20.4648,20.4379,16.6142,18.3993,NA,NA,10000,9890,110,9890,989000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average dose allocation",9.657,6.4381,5.4568,3.674,3.6824,NA,NA,10000,9890,110,9890,989000
"random_scenarios_ndose5_nscenario10000_target0p3_tdiffbelow0p05_tdiffabove0p05","CRM","crm_random",NA,NA,"random",NA,0,0,0.0714,28,30,3,2,1,1,0,"Average total unique patients",NA,NA,NA,NA,NA,21.9637,NA,10000,9890,110,9890,989000
