"Scenario","True_MTD","Model","Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
2,4,"CFO","cfo_pride",30,2,0.6,0.9,14.5485,6.466,8.0825
2,4,"CFO","cfo_pride",30,3,0.6,0.9,21.6276,10.3122,11.3154
2,4,"CFO","cfo_pride",30,3,1.2,1.5,6.0758,0,6.0758
4,5,"CFO","cfo_pride",30,2,0.3,0.6,29.9498,22.8109,7.1389
4,5,"CFO","cfo_pride",30,2,0.6,0.9,22.8109,8.7563,14.0546
4,5,"CFO","cfo_pride",30,2,0.9,1.2,8.7563,0.3904,8.3659
4,5,"CFO","cfo_pride",30,3,0.3,0.6,29.894,22.4763,7.4177
4,5,"CFO","cfo_pride",30,3,0.6,0.9,22.4763,1.8963,20.58
5,2,"CFO","cfo_pride",30,2,0.9,1.2,19.2973,12.1584,7.1389
5,2,"CFO","cfo_pride",30,3,0.9,1.2,26.5477,13.1065,13.4412
6,2,"CFO","cfo_pride",30,2,0.6,0.9,23.2013,17.6241,5.5772
6,2,"CFO","cfo_pride",30,3,0.6,0.9,30.3402,17.8472,12.493
7,4,"CFO","cfo_pride",30,3,1.2,1.5,37.4233,31.9576,5.4657
8,3,"CFO","cfo_pride",30,2,0.6,0.9,16.1182,9.2582,6.86
8,3,"CFO","cfo_pride",30,2,0.9,1.2,9.2582,2.454,6.8042
8,3,"CFO","cfo_pride",30,3,0.6,0.9,14.4451,2.1751,12.27
9,4,"CFO","cfo_pride",30,2,0.9,1.2,18.8511,8.7563,10.0948
9,4,"CFO","cfo_pride",30,3,0.9,1.2,27.8305,16.7875,11.043
9,4,"CFO","cfo_pride",30,3,1.2,1.5,16.7875,10.4852,6.3023
10,3,"CFO","cfo_pride",30,2,0.9,1.2,30.3452,25.167,5.1782
10,3,"CFO","cfo_pride",30,2,1.2,1.5,25.167,19.6548,5.5122
10,3,"CFO","cfo_pride",30,3,0.9,1.2,21.8263,8.2405,13.5858
11,5,"CFO","cfo_pride",30,3,0.9,1.2,47.6323,41.4485,6.1838
11,5,"CFO","cfo_pride",30,3,1.2,1.5,41.4485,35.9889,5.4596
13,5,"CFO","cfo_pride",30,2,0.9,1.2,34.0947,28.6908,5.4039
13,5,"CFO","cfo_pride",30,2,1.2,1.5,28.6908,22.3955,6.2953
13,5,"CFO","cfo_pride",30,3,0.6,0.9,33.8162,14.4847,19.3315
15,3,"CFO","cfo_pride",30,3,1.2,1.5,28.2451,21.7827,6.4624
20,3,"CFO","cfo_pride",30,3,0,0.3,43.4783,38.2943,5.184
20,3,"CFO","cfo_pride",30,3,0.6,0.9,33.3891,14.6042,18.7849
2,4,"CRM","crm_fixed",30,2,0.3,0.6,23.5786,17.5028,6.0758
2,4,"CRM","crm_fixed",30,2,0.9,1.2,13.3779,8.3612,5.0167
2,4,"CRM","crm_random",30,2,0.3,0.6,24.9721,19.4537,5.5184
2,4,"CRM","crm_fixed",30,3,0.3,0.6,22.5753,15.7748,6.8005
2,4,"CRM","crm_level",30,3,0.6,0.9,21.0145,15.942,5.0725
2,4,"CRM","crm_level",30,3,0.9,1.2,15.942,10.8696,5.0724
4,5,"CRM","crm_fixed",30,2,0,0.3,35.1924,26.5477,8.6447
4,5,"CRM","crm_fixed",30,2,0.3,0.6,26.5477,19.5204,7.0273
4,5,"CRM","crm_fixed",30,2,0.6,0.9,19.5204,14.0547,5.4657
4,5,"CRM","crm_fixed",30,2,0.9,1.2,14.0547,9.0351,5.0196
4,5,"CRM","crm_random",30,2,0,0.3,39.6542,31.9018,7.7524
4,5,"CRM","crm_random",30,2,0.6,0.9,26.9381,21.6397,5.2984
4,5,"CRM","crm_random",30,2,1.2,1.5,16.9548,11.6007,5.3541
4,5,"CRM","crm_level",30,2,0,0.3,40.1562,32.6827,7.4735
4,5,"CRM","crm_level",30,2,0.3,0.6,32.6827,26.3246,6.3581
4,5,"CRM","crm_level",30,2,0.6,0.9,26.3246,20.0781,6.2465
4,5,"CRM","crm_alpha_crm",30,2,0,0.3,46.2354,38.8176,7.4178
4,5,"CRM","crm_alpha_crm",30,2,0.3,0.6,38.8176,32.5153,6.3023
4,5,"CRM","crm_alpha_crm",30,2,0.6,0.9,32.5153,24.9861,7.5292
4,5,"CRM","crm_alpha_crm",30,2,0.9,1.2,24.9861,19.7992,5.1869
4,5,"CRM","crm_alpha_crm",30,2,1.2,1.5,19.7992,14.5008,5.2984
4,5,"CRM","crm_cumu_crm",30,2,0,0.3,56.7764,50.1952,6.5812
4,5,"CRM","crm_cumu_crm",30,2,0.3,0.6,50.1952,43.7814,6.4138
4,5,"CRM","crm_cumu_crm",30,2,0.6,0.9,43.7814,36.4194,7.36199999999999
4,5,"CRM","crm_cumu_crm",30,2,1.2,1.5,31.5114,25.3207,6.1907
4,5,"CRM","crm_fixed",30,3,0,0.3,35.0809,24.8187,10.2622
4,5,"CRM","crm_fixed",30,3,0.3,0.6,24.8187,16.0067,8.812
4,5,"CRM","crm_fixed",30,3,0.6,0.9,16.0067,10.2064,5.8003
4,5,"CRM","crm_random",30,3,0,0.3,40.3235,32.0692,8.2543
4,5,"CRM","crm_random",30,3,0.3,0.6,32.0692,23.5917,8.4775
4,5,"CRM","crm_random",30,3,0.9,1.2,18.7395,12.7161,6.0234
4,5,"CRM","crm_level",30,3,0,0.3,41.662,31.7345,9.9275
4,5,"CRM","crm_level",30,3,0.3,0.6,31.7345,22.4205,9.314
4,5,"CRM","crm_level",30,3,0.6,0.9,22.4205,15.5047,6.9158
4,5,"CRM","crm_alpha_crm",30,3,0,0.3,49.5259,40.937,8.5889
4,5,"CRM","crm_alpha_crm",30,3,0.3,0.6,40.937,32.1807,8.7563
4,5,"CRM","crm_alpha_crm",30,3,0.6,0.9,32.1807,25.99,6.1907
4,5,"CRM","crm_alpha_crm",30,3,0.9,1.2,25.99,19.2415,6.7485
4,5,"CRM","crm_alpha_crm",30,3,1.2,1.5,19.2415,13.1623,6.0792
4,5,"CRM","crm_cumu_crm",30,3,0,0.3,61.4055,53.9877,7.41780000000001
4,5,"CRM","crm_cumu_crm",30,3,0.3,0.6,53.9877,44.5622,9.4255
4,5,"CRM","crm_cumu_crm",30,3,0.6,0.9,44.5622,35.9175,8.6447
4,5,"CRM","crm_cumu_crm",30,3,0.9,1.2,35.9175,30.3402,5.5773
4,5,"CRM","crm_cumu_crm",30,3,1.2,1.5,30.3402,22.6436,7.6966
5,2,"CRM","crm_fixed",30,2,0.6,0.9,32.2365,27.1054,5.1311
5,2,"CRM","crm_fixed",30,2,1.2,1.5,23.034,17.6241,5.4099
5,2,"CRM","crm_random",30,2,1.2,1.5,26.0457,20.8589,5.1868
5,2,"CRM","crm_level",30,2,0.9,1.2,29.894,24.7072,5.1868
5,2,"CRM","crm_fixed",30,3,0.6,0.9,33.8539,27.8862,5.9677
5,2,"CRM","crm_fixed",30,3,1.2,1.5,23.4244,18.0145,5.4099
5,2,"CRM","crm_level",30,3,1.2,1.5,27.6631,21.9743,5.6888
6,2,"CRM","crm_fixed",30,2,0.3,0.6,40.5466,35.2482,5.2984
6,2,"CRM","crm_fixed",30,2,0.6,0.9,35.2482,29.4479,5.8003
6,2,"CRM","crm_fixed",30,2,0.9,1.2,29.4479,21.9743,7.4736
6,2,"CRM","crm_fixed",30,2,1.2,1.5,21.9743,15.1143,6.86
6,2,"CRM","crm_random",30,2,0.6,0.9,37.7579,32.6827,5.0752
6,2,"CRM","crm_random",30,2,0.9,1.2,32.6827,25.5438,7.1389
6,2,"CRM","crm_random",30,2,1.2,1.5,25.5438,20.1339,5.4099
6,2,"CRM","crm_level",30,2,0.9,1.2,33.1846,25.1534,8.0312
6,2,"CRM","crm_level",30,2,1.2,1.5,25.1534,19.855,5.2984
6,2,"CRM","crm_alpha_crm",30,2,0.9,1.2,33.6308,26.7708,6.86
6,2,"CRM","crm_alpha_crm",30,2,1.2,1.5,26.7708,20.7474,6.0234
6,2,"CRM","crm_fixed",30,3,0.3,0.6,40.6581,34.2443,6.41379999999999
6,2,"CRM","crm_fixed",30,3,0.6,0.9,34.2443,27.6074,6.6369
6,2,"CRM","crm_fixed",30,3,0.9,1.2,27.6074,21.1378,6.4696
6,2,"CRM","crm_fixed",30,3,1.2,1.5,21.1378,13.7758,7.362
6,2,"CRM","crm_random",30,3,0.6,0.9,37.7022,31.0095,6.6927
6,2,"CRM","crm_random",30,3,1.2,1.5,26.0457,19.9108,6.1349
6,2,"CRM","crm_level",30,3,0,0.3,46.0123,39.8215,6.1908
6,2,"CRM","crm_level",30,3,0.9,1.2,33.6866,25.6553,8.0313
6,2,"CRM","crm_level",30,3,1.2,1.5,25.6553,19.4088,6.2465
6,2,"CRM","crm_alpha_crm",30,3,0.9,1.2,34.077,27.217,6.86
6,2,"CRM","crm_alpha_crm",30,3,1.2,1.5,27.217,21.2493,5.9677
7,4,"CRM","crm_fixed",30,2,1.2,1.5,40.4908,35.4713,5.0195
7,4,"CRM","crm_fixed",30,3,0.9,1.2,48.2432,42.6659,5.5773
7,4,"CRM","crm_fixed",30,3,1.2,1.5,42.6659,37.0887,5.5772
7,4,"CRM","crm_random",30,3,1.2,1.5,46.3469,41.3274,5.0195
7,4,"CRM","crm_level",30,3,1.2,1.5,47.3508,42.2197,5.1311
8,3,"CRM","crm_fixed",30,2,0.3,0.6,24.0379,18.4607,5.5772
8,3,"CRM","crm_random",30,2,0.3,0.6,26.3246,20.58,5.7446
8,3,"CRM","crm_fixed",30,3,0,0.3,26.4361,21.4166,5.0195
8,3,"CRM","crm_fixed",30,3,0.3,0.6,21.4166,14.4451,6.9715
8,3,"CRM","crm_fixed",30,3,0.9,1.2,11.5449,6.4138,5.1311
8,3,"CRM","crm_random",30,3,0.3,0.6,24.4841,17.1221,7.362
8,3,"CRM","crm_level",30,3,0.3,0.6,25.4322,18.3491,7.0831
8,3,"CRM","crm_level",30,3,0.9,1.2,15.3374,10.0948,5.2426
8,3,"CRM","crm_cumu_crm",30,3,0.9,1.2,26.3804,20.9704,5.41
9,4,"CRM","crm_fixed",30,2,1.2,1.5,25.279,18.9174,6.3616
9,4,"CRM","crm_fixed",30,3,1.2,1.5,25.0558,19.308,5.7478
9,4,"CRM","crm_random",30,3,1.2,1.5,30.0781,24.9442,5.1339
9,4,"CRM","crm_level",30,3,1.2,1.5,30.1339,23.8281,6.3058
10,3,"CRM","crm_fixed",30,2,1.2,1.5,31.5702,25.8352,5.735
