"Scenario","True_MTD","Model","Method","CRM_r_model","CFO_Method","Nmax_eff","Cycle_Max","Alpha_low","Alpha_high","MTD_sel_low","MTD_sel_high","Drop_pp"
2,4,"CRM","crm_fixed","fixed",NA,45,3,0,1.5,28.8183,3.9576,24.8607
2,4,"CRM","crm_fixed","fixed",NA,45,2,0,1.5,27.9822,4.2363,23.7459
2,4,"CRM","crm_fixed","fixed",NA,45,3,0,1.2,28.8183,6.4103,22.408
2,4,"CRM","crm_level","level",NA,45,3,0,1.5,29.5429,7.2464,22.2965
2,4,"CFO","cfo_pride",NA,"pride",30,3,0.6,1.5,21.6276,0,21.6276
2,4,"CFO","cfo_pride",NA,"pride",45,3,0.6,1.5,21.5719,0,21.5719
2,4,"CRM","crm_level","level",NA,45,2,0,1.5,29.8774,8.8071,21.0703
2,4,"CRM","crm_fixed","fixed",NA,30,3,0,1.5,25.641,4.7938,20.8472
2,4,"CRM","crm_random","random",NA,45,2,0,1.5,30.1561,9.4203,20.7358
2,4,"CRM","crm_random","random",NA,45,3,0,1.5,29.0412,8.3612,20.68
2,4,"CRM","crm_fixed","fixed",NA,45,3,0.3,1.5,24.5819,3.9576,20.6243
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0,1.5,30.6577,10.0892,20.5685
2,4,"CRM","crm_fixed","fixed",NA,30,2,0,1.5,25.3066,4.8495,20.4571
2,4,"CRM","crm_fixed","fixed",NA,45,2,0,1.2,27.9822,7.6366,20.3456
2,4,"CRM","crm_fixed","fixed",NA,45,2,0.3,1.5,24.4147,4.2363,20.1784
2,4,"CRM","crm_level","level",NA,45,3,0.3,1.5,26.9788,7.2464,19.7324
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0,1.5,30.379,10.7023,19.6767
2,4,"CRM","crm_level","level",NA,45,3,0,1.2,29.5429,9.8662,19.6767
2,4,"CRM","crm_fixed","fixed",NA,45,3,0,0.9,28.8183,9.8662,18.9521
2,4,"CRM","crm_random","random",NA,45,3,0,1.2,29.0412,10.1449,18.8963
2,4,"CRM","crm_level","level",NA,30,2,0,1.5,27.5362,8.6957,18.8405
2,4,"CRM","crm_fixed","fixed",NA,30,2,0.3,1.5,23.5786,4.8495,18.7291
2,4,"CRM","crm_level","level",NA,30,3,0,1.5,27.2575,8.6957,18.5618
2,4,"CRM","crm_fixed","fixed",NA,45,3,0.3,1.2,24.5819,6.4103,18.1716
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,2,0.3,1.5,28.2051,10.0892,18.1159
2,4,"CRM","crm_alpha_crm","alpha_crm",NA,45,3,0.3,1.5,28.6511,10.7023,17.9488
2,4,"CRM","crm_random","random",NA,45,2,0,1.2,30.1561,12.2631,17.893
2,4,"CRM","crm_fixed","fixed",NA,30,3,0.3,1.5,22.5753,4.7938,17.7815
2,4,"CRM","crm_level","level",NA,45,2,0,1.2,29.8774,12.2074,17.67
2,4,"CRM","crm_level","level",NA,45,2,0.3,1.5,26.3099,8.8071,17.5028
