Scenario,Source_Scenario,Scenario_Group,Attempt,Original_True_MTD,True_MTD_Level,MTD_Tie,MTD_Tied_Levels,Original_MTD_Correct,True_MTD_Toxicity,True_MTD_Efficacy,Target_Toxicity,Lambda_T,Tox_Dose1,Tox_Dose2,Tox_Dose3,Tox_Dose4,Tox_Dose5,Eff_Dose1,Eff_Dose2,Eff_Dose3,Eff_Dose4,Eff_Dose5,Utility1_Dose1,Utility1_Dose2,Utility1_Dose3,Utility1_Dose4,Utility1_Dose5,OBD_Level_Utility1,OBD_Utility1,OBD_Toxicity_Utility1,OBD_Efficacy_Utility1,OBD_Tie_Utility1,Utility2_Dose1,Utility2_Dose2,Utility2_Dose3,Utility2_Dose4,Utility2_Dose5,OBD_Level_Utility2,OBD_Utility2,OBD_Toxicity_Utility2,OBD_Efficacy_Utility2,OBD_Tie_Utility2,Utility3_Dose1,Utility3_Dose2,Utility3_Dose3,Utility3_Dose4,Utility3_Dose5,OBD_Level_Utility3,OBD_Utility3,OBD_Toxicity_Utility3,OBD_Efficacy_Utility3,OBD_Tie_Utility3
1,1,base_example,1,1,1,False,1,True,0.3,0.05,0.3,1,0.3,0.35,0.4,0.45,0.5,0.05,0.06,0.07,0.08,0.09,0.05,0.06,0.07,0.08,0.09,1,0.05,0.3,0.05,False,-0.25,-0.29,-0.33,-0.37,-0.41,1,-0.25,0.3,0.05,False,31,29.6,28.2,26.8,25.4,1,31,0.3,0.05,False
2,2,base_example,1,3,3,False,3,True,0.3,0.5,0.3,1,0.15,0.2,0.3,0.35,0.45,0.2,0.25,0.5,0.5,0.5,0.2,0.25,0.5,0.5,0.5,3,0.5,0.3,0.5,False,0.05,0.05,0.2,0.15,0.05,3,0.2,0.3,0.5,False,46,47,58,56,52,3,58,0.3,0.5,False
3,3,base_example,1,3,3,False,3,True,0.3,0.4,0.3,1,0.15,0.2,0.3,0.35,0.45,0.1,0.4,0.4,0.4,0.4,0.1,0.4,0.4,0.4,0.4,2,0.4,0.2,0.4,True,-0.05,0.2,0.1,0.05,-0.05,2,0.2,0.2,0.4,False,40,56,52,50,46,2,56,0.2,0.4,False
4,4,base_example,1,4,4,False,4,True,0.3,0.5,0.3,1,0.05,0.1,0.18,0.3,0.4,0.05,0.1,0.25,0.5,0.55,0.05,0.1,0.25,0.5,0.55,4,0.5,0.3,0.5,False,0,0,0.07,0.2,0.15,4,0.2,0.3,0.5,False,41,42,47.8,58,57,4,58,0.3,0.5,False
5,5,base_example,1,5,5,False,5,True,0.3,0.3,0.3,1,0.07,0.12,0.17,0.22,0.3,0.05,0.3,0.3,0.3,0.3,0.05,0.3,0.3,0.3,0.3,2,0.3,0.12,0.3,True,-0.02,0.18,0.13,0.08,0,2,0.18,0.12,0.3,False,40.2,53.2,51.2,49.2,46,2,53.2,0.12,0.3,False
6,1,five_scenarios_txt,1,1,1,False,1,True,0.29,0.3,0.3,1,0.29,0.34,0.38,0.43,0.52,0.3,0.32,0.35,0.38,0.4,0.3,0.32,0.35,0.38,0.4,1,0.3,0.29,0.3,False,0.01,-0.02,-0.03,-0.05,-0.12,1,0.01,0.29,0.3,False,46.4,45.6,45.8,45.6,43.2,1,46.4,0.29,0.3,False
7,2,five_scenarios_txt,1,4,4,False,4,True,0.31,0.5,0.3,1,0.16,0.2,0.26,0.31,0.36,0.2,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,2,0.5,0.2,0.5,True,0.04,0.3,0.24,0.19,0.14,2,0.3,0.2,0.5,False,45.6,62,59.6,57.6,55.6,2,62,0.2,0.5,False
8,3,five_scenarios_txt,1,1,1,False,1,True,0.32,0.1,0.3,1,0.32,0.37,0.42,0.48,0.52,0.1,0.15,0.2,0.3,0.4,0.1,0.15,0.2,0.3,0.4,1,0.1,0.32,0.1,False,-0.22,-0.22,-0.22,-0.18,-0.12,1,-0.22,0.32,0.1,False,33.2,34.2,35.2,38.8,43.2,1,33.2,0.32,0.1,False
9,4,five_scenarios_txt,1,5,5,False,5,True,0.29,0.5,0.3,1,0.15,0.18,0.22,0.26,0.29,0.05,0.08,0.2,0.25,0.5,0.05,0.08,0.2,0.25,0.5,5,0.5,0.29,0.5,False,-0.1,-0.1,-0.02,-0.01,0.21,5,0.21,0.29,0.5,False,37,37.6,43.2,44.6,58.4,5,58.4,0.29,0.5,False
10,5,five_scenarios_txt,1,2,2,True,2;3,True,0.28,0.4,0.3,1,0.23,0.28,0.32,0.39,0.43,0.05,0.4,0.42,0.45,0.5,0.05,0.4,0.42,0.45,0.5,2,0.4,0.28,0.4,False,-0.18,0.12,0.1,0.06,0.07,2,0.12,0.28,0.4,False,33.8,52.8,52.4,51.4,52.8,2,52.8,0.28,0.4,False
11,1,five_scenarios_txt,1,2,2,False,2,True,0.32,0.2,0.3,1,0.22,0.32,0.44,0.59,0.67,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.22,0.2,True,-0.02,-0.12,-0.24,-0.39,-0.47,1,-0.02,0.22,0.2,False,43.2,39.2,34.4,28.4,25.2,1,43.2,0.22,0.2,False
12,2,five_scenarios_txt,3,4,4,False,4,True,0.29,0.4,0.3,1,0.06,0.09,0.18,0.29,0.44,0.05,0.1,0.12,0.4,0.6,0.05,0.1,0.12,0.4,0.6,4,0.4,0.29,0.4,False,-0.01,0.01,-0.06,0.11,0.16,4,0.11,0.29,0.4,False,40.6,42.4,40,52.4,58.4,4,52.4,0.29,0.4,False
13,3,five_scenarios_txt,1,3,3,False,3,True,0.3,0.32,0.3,1,0.21,0.29,0.3,0.39,0.46,0.05,0.3,0.32,0.35,0.4,0.05,0.3,0.32,0.35,0.4,3,0.32,0.3,0.32,False,-0.16,0.01,0.02,-0.04,-0.06,3,0.02,0.3,0.32,False,34.6,46.4,47.2,45.4,45.6,3,47.2,0.3,0.32,False
14,4,five_scenarios_txt,1,4,4,False,4,True,0.28,0.3,0.3,1,0.09,0.15,0.23,0.28,0.39,0.05,0.08,0.12,0.3,0.4,0.05,0.08,0.12,0.3,0.4,4,0.3,0.28,0.3,False,-0.04,-0.07,-0.11,0.02,0.01,4,0.02,0.28,0.3,False,39.4,38.8,38,46.8,48.4,4,46.8,0.28,0.3,False
15,5,five_scenarios_txt,1,3,3,False,3,True,0.32,0.1,0.3,1,0.13,0.2,0.32,0.39,0.46,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,0.13,0.1,True,-0.03,-0.1,-0.22,-0.29,-0.36,1,-0.03,0.13,0.1,False,40.8,38,33.2,30.4,27.6,1,40.8,0.13,0.1,False
16,1,five_scenarios_txt,1,5,5,False,5,True,0.26,0.2,0.3,1,0.02,0.06,0.09,0.14,0.26,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,0.2,0.02,0.2,True,0.18,0.14,0.11,0.06,-0.06,1,0.18,0.02,0.2,False,51.2,49.6,48.4,46.4,41.6,1,51.2,0.02,0.2,False
17,2,five_scenarios_txt,1,2,2,False,2,True,0.23,0.5,0.3,1,0.11,0.23,0.39,0.58,0.76,0.3,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,2,0.5,0.23,0.5,False,0.19,0.27,0.11,-0.08,-0.26,2,0.27,0.23,0.5,False,53.6,60.8,54.4,46.8,39.6,2,60.8,0.23,0.5,False
18,3,five_scenarios_txt,1,5,5,False,5,True,0.35,0.5,0.3,1,0.02,0.04,0.1,0.2,0.35,0.05,0.1,0.15,0.2,0.5,0.05,0.1,0.15,0.2,0.5,5,0.5,0.35,0.5,False,0.03,0.06,0.05,0,0.15,5,0.15,0.35,0.5,False,42.2,44.4,45,44,56,5,56,0.35,0.5,False
19,4,five_scenarios_txt,1,2,2,False,2,True,0.26,0.3,0.3,1,0.11,0.26,0.39,0.6,0.77,0.08,0.3,0.32,0.35,0.4,0.08,0.3,0.32,0.35,0.4,2,0.3,0.26,0.3,False,-0.03,0.04,-0.07,-0.25,-0.37,2,0.04,0.26,0.3,False,40.4,47.6,43.6,37,33.2,2,47.6,0.26,0.3,False
20,5,five_scenarios_txt,1,3,3,False,3,True,0.31,0.25,0.3,1,0.07,0.14,0.31,0.41,0.52,0.05,0.25,0.25,0.25,0.25,0.05,0.25,0.25,0.25,0.25,2,0.25,0.14,0.25,True,-0.02,0.11,-0.06,-0.16,-0.27,2,0.11,0.14,0.25,False,40.2,49.4,42.6,38.6,34.2,2,49.4,0.14,0.25,False
21,1,five_scenarios_txt,1,1,1,False,1,True,0.37,0.5,0.3,1,0.37,0.56,0.69,0.83,0.88,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.37,0.5,False,0.13,-0.06,-0.19,-0.33,-0.38,1,0.13,0.37,0.5,False,55.2,47.6,42.4,36.8,34.8,1,55.2,0.37,0.5,False
22,2,five_scenarios_txt,1,2,2,False,2,True,0.27,0.25,0.3,1,0.07,0.27,0.5,0.56,0.78,0.08,0.25,0.25,0.5,0.5,0.08,0.25,0.25,0.5,0.5,2,0.25,0.27,0.25,False,0.01,-0.02,-0.25,-0.06,-0.28,1,0.01,0.07,0.08,False,42,44.2,35,47.6,38.8,2,44.2,0.27,0.25,False
23,3,five_scenarios_txt,1,1,1,False,1,True,0.32,0.05,0.3,1,0.32,0.55,0.8,0.94,0.97,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1,0.05,0.32,0.05,False,-0.27,-0.5,-0.75,-0.89,-0.92,1,-0.27,0.32,0.05,False,30.2,21,11,5.4,4.2,1,30.2,0.32,0.05,False
24,4,five_scenarios_txt,1,5,5,False,5,True,0.25,0.5,0.3,1,0.01,0.02,0.05,0.1,0.25,0.05,0.08,0.2,0.5,0.5,0.05,0.08,0.2,0.5,0.5,4,0.5,0.1,0.5,True,0.04,0.06,0.15,0.4,0.25,4,0.4,0.1,0.5,False,42.6,44,50,66,60,4,66,0.1,0.5,False
25,5,five_scenarios_txt,2,3,3,False,3,True,0.37,0.4,0.3,1,0.09,0.18,0.37,0.63,0.77,0.2,0.25,0.4,0.45,0.5,0.2,0.25,0.4,0.45,0.5,3,0.4,0.37,0.4,False,0.11,0.07,0.03,-0.18,-0.27,1,0.11,0.09,0.2,False,48.4,47.8,49.2,41.8,39.2,3,49.2,0.37,0.4,False
26,1,higher_gap_above_MTD,1,3,3,False,3,True,0.3,0.35,0.3,1,0.15,0.22,0.3,0.62,0.8,0.1,0.2,0.35,0.45,0.55,0.1,0.2,0.35,0.45,0.55,3,0.35,0.3,0.35,False,-0.05,-0.02,0.05,-0.17,-0.25,3,0.05,0.3,0.35,False,40,43.2,49,42.2,41,3,49,0.3,0.35,False
27,2,higher_gap_above_MTD,1,3,3,False,3,True,0.3,0.4,0.3,1,0.11,0.17,0.3,0.5,0.62,0.1,0.2,0.4,0.42,0.45,0.1,0.2,0.4,0.42,0.45,3,0.4,0.3,0.4,False,-0.01,0.03,0.1,-0.08,-0.17,3,0.1,0.3,0.4,False,41.6,45.2,52,45.2,42.2,3,52,0.3,0.4,False
28,3,higher_gap_above_MTD,1,2,2,False,2,True,0.3,0.3,0.3,1,0.2,0.3,0.5,0.6,0.77,0.05,0.3,0.32,0.35,0.4,0.05,0.3,0.32,0.35,0.4,2,0.3,0.3,0.3,False,-0.15,0,-0.18,-0.25,-0.37,2,0,0.3,0.3,False,35,46,39.2,37,33.2,2,46,0.3,0.3,False
29,4,higher_gap_above_MTD,1,2,2,False,2,True,0.3,0.4,0.3,1,0.19,0.3,0.56,0.74,0.86,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,0.4,0.19,0.4,True,0.21,0.1,-0.16,-0.34,-0.46,1,0.21,0.19,0.4,False,56.4,52,41.6,34.4,29.6,1,56.4,0.19,0.4,False
30,5,higher_gap_above_MTD,1,4,4,False,4,True,0.27,0.4,0.3,1,0.05,0.08,0.17,0.27,0.54,0.12,0.15,0.2,0.4,0.5,0.12,0.15,0.2,0.4,0.5,4,0.4,0.27,0.4,False,0.07,0.07,0.03,0.13,-0.04,4,0.13,0.27,0.4,False,45.2,45.8,45.2,53.2,48.4,4,53.2,0.27,0.4,False
31,6,higher_gap_above_MTD,1,4,4,False,4,True,0.2,0.5,0.3,1,0.04,0.06,0.1,0.2,0.6,0.2,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,2,0.5,0.06,0.5,True,0.16,0.44,0.4,0.3,-0.1,2,0.44,0.06,0.5,False,50.4,67.6,66,62,46,2,67.6,0.06,0.5,False
32,1,higher_gap_below_MTD,1,4,4,False,4,True,0.3,0.3,0.3,1,0.02,0.05,0.11,0.3,0.36,0.08,0.15,0.3,0.3,0.3,0.08,0.15,0.3,0.3,0.3,3,0.3,0.11,0.3,True,0.06,0.1,0.19,0,-0.06,3,0.19,0.11,0.3,False,44,47,53.6,46,43.6,3,53.6,0.11,0.3,False
33,2,higher_gap_below_MTD,1,3,4,False,4,False,0.32,0.4,0.3,1,0.01,0.02,0.09,0.32,0.38,0.05,0.08,0.2,0.4,0.5,0.05,0.08,0.2,0.4,0.5,4,0.4,0.32,0.4,False,0.04,0.06,0.11,0.08,0.12,3,0.11,0.09,0.2,False,42.6,44,48.4,51.2,54.8,4,51.2,0.32,0.4,False
34,3,higher_gap_below_MTD,1,3,3,False,3,True,0.3,0.3,0.3,1,0.05,0.13,0.3,0.36,0.42,0.05,0.1,0.3,0.32,0.35,0.05,0.1,0.3,0.32,0.35,3,0.3,0.3,0.3,False,0,-0.03,0,-0.04,-0.07,1,0,0.05,0.05,True,41,40.8,46,44.8,44.2,3,46,0.3,0.3,False
35,4,higher_gap_below_MTD,1,3,3,False,3,True,0.3,0.45,0.3,1,0.03,0.09,0.3,0.4,0.45,0.2,0.45,0.45,0.45,0.45,0.2,0.45,0.45,0.45,0.45,2,0.45,0.09,0.45,True,0.17,0.36,0.15,0.05,0,2,0.36,0.09,0.45,False,50.8,63.4,55,51,49,2,63.4,0.09,0.45,False
36,5,higher_gap_below_MTD,1,2,2,False,2,True,0.29,0.2,0.3,1,0.13,0.29,0.35,0.4,0.43,0.05,0.2,0.22,0.3,0.35,0.05,0.2,0.22,0.3,0.35,2,0.2,0.29,0.2,False,-0.08,-0.09,-0.13,-0.1,-0.08,1,-0.08,0.13,0.05,False,37.8,40.4,39.2,42,43.8,2,40.4,0.29,0.2,False
37,6,higher_gap_below_MTD,1,2,2,False,2,True,0.3,0.2,0.3,1,0.08,0.3,0.4,0.45,0.5,0.05,0.2,0.2,0.2,0.2,0.05,0.2,0.2,0.2,0.2,2,0.2,0.3,0.2,False,-0.03,-0.1,-0.2,-0.25,-0.3,1,-0.03,0.08,0.05,False,39.8,40,36,34,32,2,40,0.3,0.2,False
38,38,user_added,1,5,5,False,5,True,0.3,0.5,0.3,1,0.05,0.1,0.12,0.15,0.3,0.05,0.08,0.12,0.15,0.5,0.05,0.08,0.12,0.15,0.5,5,0.5,0.3,0.5,False,0,-0.02,0,0,0.2,5,0.2,0.3,0.5,False,41,40.8,42.4,43,58,5,58,0.3,0.5,False
