"dose","true_regular_probability","average_regular_estimate","average_ipde_estimate","scenario","alpha_eff","prior_type","true_ipde_probability"
1,0.2,0.212762288592364,0.212762288592364,"sce1",0,"dose_specific",0.2
2,0.35,0.327572234971383,0.260520831723194,"sce1",0,"dose_specific",0.35
3,0.36,0.306971379505684,0.306203527425432,"sce1",0,"dose_specific",0.36
4,0.37,0.290926704329512,0.270140874706037,"sce1",0,"dose_specific",0.37
5,0.38,0.300276435655058,0.344567881345057,"sce1",0,"dose_specific",0.38
1,0.2,0.198901600848896,0.198901600848896,"sce1",0.3,"dose_specific",0.2
2,0.35,0.320590275026864,0.318391909336979,"sce1",0.3,"dose_specific",0.41
3,0.36,0.287709194844567,0.361937251927773,"sce1",0.3,"dose_specific",0.465
4,0.37,0.280985042572422,0.392695293327554,"sce1",0.3,"dose_specific",0.478
5,0.38,0.329663674280241,0.400301885871294,"sce1",0.3,"dose_specific",0.491
1,0.2,0.22982045061548,0.22982045061548,"sce1",0.6,"dose_specific",0.2
2,0.35,0.346461294742634,0.404594510926069,"sce1",0.6,"dose_specific",0.47
3,0.36,0.278771665776716,0.471419859476932,"sce1",0.6,"dose_specific",0.57
4,0.37,0.315606762059254,0.473116405916219,"sce1",0.6,"dose_specific",0.586
5,0.38,0.298356606230381,0.440859750009467,"sce1",0.6,"dose_specific",0.602
1,0.2,0.198683142744064,0.198683142744064,"sce1",0.9,"dose_specific",0.2
2,0.35,0.287411518243539,0.443522626839855,"sce1",0.9,"dose_specific",0.53
3,0.36,0.293722329604011,0.529586780508026,"sce1",0.9,"dose_specific",0.675
4,0.37,0.309471896773593,0.554487613446491,"sce1",0.9,"dose_specific",0.694
5,0.38,0.350222226360615,0.56223222223335,"sce1",0.9,"dose_specific",0.713
1,0.01,0.01928063328826,0.01928063328826,"sce2",0,"dose_specific",0.01
2,0.05,0.0704940725453902,0.0558045057024359,"sce2",0,"dose_specific",0.05
3,0.3,0.266533178022091,0.238072665671099,"sce2",0,"dose_specific",0.3
4,0.6,0.501763710813895,0.519754994180775,"sce2",0,"dose_specific",0.6
5,0.6,0.495138805642357,0.48989000064345,"sce2",0,"dose_specific",0.6
1,0.01,0.0226491161604523,0.0226491161604523,"sce2",0.3,"dose_specific",0.01
2,0.05,0.0558270589385246,0.0677567974911142,"sce2",0.3,"dose_specific",0.053
3,0.3,0.240469663090909,0.249793335151843,"sce2",0.3,"dose_specific",0.315
4,0.6,0.453618356410053,0.557105551973719,"sce2",0.3,"dose_specific",0.69
5,0.6,0.467589735216477,0.612210765353093,"sce2",0.3,"dose_specific",0.78
1,0.01,0.0188531924808144,0.0188531924808144,"sce2",0.6,"dose_specific",0.01
2,0.05,0.059114224225553,0.0739901371395487,"sce2",0.6,"dose_specific",0.056
3,0.3,0.214582530768744,0.284637757786018,"sce2",0.6,"dose_specific",0.33
4,0.6,0.479451015380952,0.611626856819304,"sce2",0.6,"dose_specific",0.78
5,0.6,0.492023916834661,0.7554328589203,"sce2",0.6,"dose_specific",0.96
1,0.01,0.0175433409417317,0.0175433409417317,"sce2",0.9,"dose_specific",0.01
2,0.05,0.064080770398187,0.0669176605080817,"sce2",0.9,"dose_specific",0.059
3,0.3,0.248566052515617,0.303324457418927,"sce2",0.9,"dose_specific",0.345
4,0.6,0.491873566978932,0.692422736068702,"sce2",0.9,"dose_specific",0.87
5,0.6,0.470875537642322,0.787666760165249,"sce2",0.9,"dose_specific",0.99999999
1,0.05,0.0609216946684916,0.0609216946684916,"sce3",0,"dose_specific",0.05
2,0.1,0.0853404577634191,0.0831449118985959,"sce3",0,"dose_specific",0.1
3,0.5,0.406823834883924,0.41923397293012,"sce3",0,"dose_specific",0.5
4,0.68,0.531259889298768,0.573769914875793,"sce3",0,"dose_specific",0.68
5,0.7,0.533580555461761,0.561975657050075,"sce3",0,"dose_specific",0.7
1,0.05,0.0550425452364872,0.0550425452364872,"sce3",0.3,"dose_specific",0.05
2,0.1,0.113174575300838,0.100993981030052,"sce3",0.3,"dose_specific",0.115
3,0.5,0.416204807716971,0.408091256170904,"sce3",0.3,"dose_specific",0.53
4,0.68,0.539354521028306,0.682262212767772,"sce3",0.3,"dose_specific",0.83
