"scenario","alpha_true","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"gentle_8dose",0,0.0289020489209523,0.0038345033475479,0.022964663100685,1,30,0,12,0,0.03,0.03,0,0,0
"gentle_8dose",0,0.0289020489209523,0.0038345033475479,0.022964663100685,2,28,0,15,1,0.06,0.06,0.0232558139534884,0.0135657827824124,0
"gentle_8dose",0,0.0289020489209523,0.0038345033475479,0.022964663100685,3,25,2,18,2,0.1,0.1,0.0930232558139535,0.0819489344755809,0.0816079873017062
"gentle_8dose",0,0.0289020489209523,0.0038345033475479,0.022964663100685,4,22,5,20,3,0.16,0.16,0.19047619047619,0.178429570091741,0.182277862053237
"gentle_8dose",0,0.0289020489209523,0.0038345033475479,0.022964663100685,5,20,5,22,4,0.23,0.23,0.214285714285714,0.201530469172767,0.20466942069233
"gentle_8dose",0,0.0289020489209523,0.0038345033475479,0.022964663100685,6,18,6,25,7,0.3,0.3,0.302325581395349,0.28986696988968,0.291647697613734
"gentle_8dose",0,0.0289020489209523,0.0038345033475479,0.022964663100685,7,15,6,28,9,0.38,0.38,0.348837209302326,0.335686452713008,0.337605242152455
"gentle_8dose",0,0.0289020489209523,0.0038345033475479,0.022964663100685,8,12,5,30,19,0.47,0.47,0.571428571428571,0.563633699415104,0.561440970551382
"gentle_8dose",0.1,0.0544256330201059,0.0308010732894055,0.0372158948731472,1,30,2,12,1,0.03,0.127,0.0714285714285714,0.0563537841295309,0.0605253765885178
"gentle_8dose",0.1,0.0544256330201059,0.0308010732894055,0.0372158948731472,2,28,2,15,2,0.06,0.154,0.0930232558139535,0.0756219157182323,0.0742148135618313
"gentle_8dose",0.1,0.0544256330201059,0.0308010732894055,0.0372158948731472,3,25,2,18,2,0.1,0.19,0.0930232558139535,0.071606221849989,0.0742148135618313
"gentle_8dose",0.1,0.0544256330201059,0.0308010732894055,0.0372158948731472,4,22,5,20,2,0.16,0.244,0.166666666666667,0.1419988329046,0.155823278748477
