"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map"
"sce1",0,1,1000,0.3,0.3,29.967,29.923,0.29945,0.031890665005837,0.293926302709864,0.0325551126309073,-0.00607369729013573,0.293874467400783,0.0326803594822636,-0.00612553259921673,0.0155538898126535,0.0164555023340012,0.0155538898126535,0
"sce1",0,2,1000,0.35,0.35,34.736,34.867,0.348015,0.0335419116156911,0.342915127437536,0.0339834733307628,-0.0070848725624636,0.342794545486243,0.0340279121593398,-0.00720545451375737,0.0155538898126535,0.0164555023340012,0.0155538898126535,0
"sce1",0,3,1000,0.4,0.4,39.925,40.19,0.400575,0.0345975630119575,0.395830538227072,0.0355708984916197,-0.00416946177292839,0.395785275208439,0.0356004019574105,-0.00421472479156132,0.0155538898126535,0.0164555023340012,0.0155538898126535,0
"sce1",0,4,1000,0.45,0.45,45.042,44.725,0.448835,0.0354975753094891,0.444493408055277,0.0359208670233169,-0.00550659194472346,0.444468927911382,0.0360123197353325,-0.00553107208861811,0.0155538898126535,0.0164555023340012,0.0155538898126535,0
"sce1",0,5,1000,0.5,0.5,49.89,49.891,0.498905,0.0365788735336258,0.494951634797157,0.0373557699190015,-0.00504836520284342,0.494894985415338,0.0373944460113548,-0.00510501458466177,0.0155538898126535,0.0164555023340012,0.0155538898126535,0
"sce1",0.3,1,1000,0.3,0.51,30.094,50.771,0.404325,0.0351518851561339,0.300499533715929,0.0444135282938689,0.000499533715929311,0.300586190095397,0.041858467698981,0.000586190095397341,0.29593047908961,0.0466906299694337,0.29593047908961,0
"sce1",0.3,2,1000,0.35,0.545,35.246,54.573,0.449095,0.0355931573177745,0.353219140652189,0.044658339439063,0.00321914065218894,0.353029534265493,0.0418532874611684,0.00302953426549344,0.29593047908961,0.0466906299694337,0.29593047908961,0
"sce1",0.3,3,1000,0.4,0.58,39.991,57.926,0.489585,0.0341990109118283,0.400740260027444,0.0430454418283273,0.000740260027443627,0.400505635324288,0.0409535905546718,0.000505635324288037,0.29593047908961,0.0466906299694337,0.29593047908961,0
"sce1",0.3,4,1000,0.45,0.615,45.096,61.547,0.533215,0.0343506731192235,0.451829270102786,0.0448554345524758,0.00182927010278584,0.451666054817314,0.0426569260972652,0.00166605481731412,0.29593047908961,0.0466906299694337,0.29593047908961,0
"sce1",0.3,5,1000,0.5,0.65,50.033,65.13,0.575815,0.0346751083363576,0.502084903986217,0.0442864602050254,0.00208490398621693,0.501562930851554,0.0427686309534617,0.00156293085155357,0.29593047908961,0.0466906299694337,0.29593047908961,0
