"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_p_crm_random","sd_p_crm_random","bias_p_crm_random","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map","mean_r_hat_crm_random","sd_r_hat_crm_random"
"sce1",0,1,100,0.3,0.3,2.79,2.98,0.320555555555556,0.0982624326689717,0.292549735164443,0.104330187587115,-0.00745026483555719,0.290488145378196,0.110395077374641,-0.00951185462180419,0.310720568541691,0.0529539798321689,0.0107205685416907,0.0763391804317518,0.0782547759624598,0.0763391804317518,0,0.0730733117784541,0.058621148731924
"sce1",0,2,100,0.35,0.35,3.26,3.27,0.362777777777778,0.111797821811142,0.336089806429398,0.120094027620527,-0.0139101935706018,0.333536087455718,0.1276026013361,-0.0164639125442819,0.359765585906598,0.0535004130327277,0.00976558590659754,0.0763391804317518,0.0782547759624598,0.0763391804317518,0,0.0730733117784541,0.058621148731924
"sce1",0,3,100,0.4,0.4,3.75,3.45,0.4,0.12079051255658,0.374284999332972,0.124320786471072,-0.0257150006670276,0.377297339119194,0.125481554358451,-0.0227026608808057,0.408759939565985,0.0530933040431404,0.00875993956598483,0.0763391804317518,0.0782547759624598,0.0763391804317518,0,0.0730733117784541,0.058621148731924
"sce1",0,4,100,0.45,0.45,4.18,4.05,0.457222222222222,0.12556270650951,0.432578042491161,0.132143988852664,-0.0174219575088388,0.435024160324374,0.136649730320588,-0.0149758396756263,0.457742029818647,0.0518507776746755,0.00774202981864737,0.0763391804317518,0.0782547759624598,0.0763391804317518,0,0.0730733117784541,0.058621148731924
"sce1",0,5,100,0.5,0.5,4.33,4.41,0.485555555555556,0.128207689404329,0.465686443408128,0.132597064250977,-0.0343135565918723,0.463113294411811,0.137595477636893,-0.0368867055881889,0.506738452554915,0.0498631530349465,0.00673845255491478,0.0763391804317518,0.0782547759624598,0.0763391804317518,0,0.0730733117784541,0.058621148731924
"sce1",0.3,1,100,0.3,0.3,2.76,2.88,0.313333333333333,0.121439181269781,0.259529912729126,0.1288695090573,-0.0404700872708744,0.269098203405684,0.123349089261419,-0.0309017965943162,0.350419415185241,0.0615216436660256,0.0504194151852411,0.135830031629037,0.112532815892407,0.135830031629037,0,0.085527879745954,0.0558255457697347
"sce1",0.3,2,100,0.35,0.44,3.34,3.89,0.401666666666667,0.115203805049324,0.356510478132962,0.130177203745054,0.00651047813296231,0.352206533955603,0.137693217844849,0.0022065339556029,0.399591011177307,0.0610987850760182,0.0495910111773066,0.135830031629037,0.112532815892407,0.135830031629037,0,0.085527879745954,0.0558255457697347
"sce1",0.3,3,100,0.4,0.505,3.6,4.59,0.455,0.119413445720448,0.412353464289073,0.146464421360508,0.0123534642890727,0.412104128907695,0.136253813356859,0.0121041289076951,0.448037564912334,0.0597444771642392,0.0480375649123343,0.135830031629037,0.112532815892407,0.135830031629037,0,0.085527879745954,0.0558255457697347
"sce1",0.3,4,100,0.45,0.57,4.14,5.06,0.511111111111111,0.128056836738967,0.477606569755423,0.134885739665217,0.027606569755423,0.473170048872802,0.133955267460519,0.0231700488728021,0.495888441912748,0.0575944734658283,0.0458884419127476,0.135830031629037,0.112532815892407,0.135830031629037,0,0.085527879745954,0.0558255457697347
"sce1",0.3,5,100,0.5,0.635,4.23,5.69,0.551111111111111,0.127978907727193,0.521262594548327,0.139779164979962,0.0212625945483266,0.512447619220417,0.142534920967205,0.0124476192204175,0.543239219219278,0.0547504348488722,0.0432392192192776,0.135830031629037,0.112532815892407,0.135830031629037,0,0.085527879745954,0.0558255457697347
