"scenario","dose","skeleton","p_true","obs_new_rate","p_pseudotrue","p_hat","p_hat_minus_true","p_hat_minus_pseudotrue","theta_ipde_true","obs_ipde_rate","theta_ipde_pseudotrue","theta_ipde_hat","theta_ipde_hat_minus_true","theta_ipde_hat_minus_pseudotrue"
1,1,0.07,0.07,0.04,0.0699999999051998,0.0717998197441074,0.00179981974410738,0.0017998198389076,0.07,0.08,0.0699999999051998,0.0717998197441074,0.00179981974410738,0.0017998198389076
1,2,0.12,0.12,0.13,0.119999999870425,0.12234294084279,0.0023429408427899,0.00234294097236501,0.12,0.13,0.119999999870425,0.12234294084279,0.0023429408427899,0.00234294097236501
1,3,0.17,0.17,0.13,0.16999999984659,0.172684965205447,0.00268496520544695,0.00268496535885657,0.17,0.21,0.16999999984659,0.172684965205447,0.00268496520544695,0.00268496535885657
1,4,0.22,0.22,0.18,0.219999999830357,0.222896611062909,0.0028966110629087,0.00289661123255161,0.22,0.28,0.219999999830357,0.222896611062909,0.0028966110629087,0.00289661123255161
1,5,0.3,0.3,0.32,0.299999999816055,0.303046687934244,0.00304668793424362,0.00304668811818881,0.3,0.29,0.299999999816055,0.303046687934244,0.00304668793424362,0.00304668811818881
2,1,0.05,0.05,0.03,0.0499999998975695,0.0481763179679271,-0.00182368203207291,-0.00182368192964242,0.05,0.06,0.0499999998975695,0.0481763179679271,-0.00182368203207291,-0.00182368192964242
2,2,0.1,0.1,0.08,0.0999999998425394,0.0970466729239398,-0.00295332707606016,-0.00295332691859955,0.1,0.12,0.0999999998425394,0.0970466729239398,-0.00295332707606016,-0.00295332691859955
2,3,0.18,0.18,0.16,0.179999999788923,0.17586802465053,-0.0041319753494701,-0.00413197513839264,0.18,0.17,0.179999999788923,0.17586802465053,-0.0041319753494701,-0.00413197513839264
2,4,0.3,0.3,0.3,0.299999999753002,0.294986434367641,-0.00501356563235872,-0.0050135653853603,0.3,0.27,0.299999999753002,0.294986434367641,-0.00501356563235872,-0.0050135653853603
2,5,0.4,0.4,0.4,0.399999999749361,0.394809487683503,-0.00519051231649686,-0.00519051206585736,0.4,0.44,0.399999999749361,0.394809487683503,-0.00519051231649686,-0.00519051206585736
