"scenario","method","dose","n_replicates","p_eff_true","p_eff_mean","p_eff_bias","p_eff_rmse","p_eff_coverage_95","p_eff_interval_width","q_eff_true","q_eff_mean","q_eff_bias","q_eff_rmse","q_eff_coverage_95","q_eff_interval_width","r_eff_true","r_eff_mean","r_eff_bias","r_eff_rmse","r_eff_coverage_95","r_eff_interval_width"
"sce1","fixed_beta",1,100,0.2,0.181343690035398,-0.0186563099646016,0.144101624408621,0.76,0.411791934477904,0.2,0.20587820652329,0.00587820652329008,0.138078896472518,0.96,0.519963204315435,0,0.0298635820915384,0.0298635820915384,0.0301798403949576,0,0.342204069800086
"sce1","fixed_beta",2,100,0.35,0.323967636781611,-0.0260323632183886,0.15606810510219,0.96,0.584817144627393,0.41,0.407122020561981,-0.00287797943801929,0.149277379245308,0.96,0.613099213161286,0.0923076923076923,0.111358425482067,0.0190507331743748,0.076745271038617,1,0.544360135031636
"sce1","fixed_beta",3,100,0.35,0.336005954073,-0.0139940459270003,0.141125378112493,0.98,0.604090899766487,0.455,0.447889569883961,-0.00711043011603896,0.133814487714411,0.99,0.631405326324109,0.161538461538461,0.154490542051,-0.00704791948746114,0.0908547514720738,1,0.609452319039643
"sce1","fixed_beta",4,100,0.35,0.348903960578609,-0.00109603942139116,0.161080194709504,0.94,0.590822187159072,0.455,0.467378581950896,0.0123785819508959,0.16139265034732,0.98,0.617375305491784,0.161538461538461,0.174694064900507,0.0131556033620459,0.0902678736580842,1,0.627481211967582
"sce1","fixed_beta",5,100,0.35,0.394923135927468,0.0449231359274678,0.153735610710505,0.98,0.627050543347752,0.455,0.526343537892439,0.0713435378924388,0.170642559107583,0.98,0.620240947053217,0.161538461538461,0.210775668899662,0.0492372073612002,0.11968371686949,1,0.666052382504768
"sce1","hierarchical_beta",1,100,0.2,0.261227394700954,0.0612273947009539,0.139329840466337,0.92,0.485633255690918,0.2,0.413970722744567,0.213970722744567,0.240156724045713,0.88,0.778397129944535,0,0.200432690694385,0.200432690694385,0.222390329781748,0,0.80802361618142
"sce1","hierarchical_beta",2,100,0.35,0.338186443785697,-0.0118135562143034,0.128099532290022,1,0.577701702239577,0.41,0.477468470445212,0.0674684704452123,0.153627134925015,0.98,0.62038663236408,0.0923076923076923,0.198144659718572,0.105836967410879,0.165237809206221,1,0.663862069645931
"sce1","hierarchical_beta",3,100,0.35,0.33627337683137,-0.0137266231686303,0.124051745481745,0.98,0.57429631163554,0.455,0.475874162017985,0.0208741620179849,0.131284997307904,0.99,0.622835929299705,0.161538461538461,0.196690810350871,0.0351523488124096,0.133628493794172,1,0.657154461853527
"sce1","hierarchical_beta",4,100,0.35,0.325808553187596,-0.0241914468124044,0.143345657480355,0.94,0.557338623817677,0.455,0.462830226919351,0.00783022691935095,0.14918390287826,0.97,0.615946522112084,0.161538461538461,0.191335469125973,0.0297970075875118,0.13557232257367,1,0.643460504926173
"sce1","hierarchical_beta",5,100,0.35,0.340017432989328,-0.00998256701067156,0.128274959591224,0.98,0.575275434029076,0.455,0.481393369116041,0.0263933691160409,0.150948967409863,1,0.614772480822656,0.161538461538461,0.200474809773886,0.0389363482354247,0.150538094468598,1,0.647636177465195
