"dose","p_eff_hat","p_eff_lcl","p_eff_ucl","r_eff_hat","r_eff_lcl","r_eff_ucl","q_eff_hat","q_eff_lcl","q_eff_ucl","p_eff_true","q_eff_true","r_eff_true","nR","eR","nI","eI","alpha_eff_true","scenario","replicate","method"
1,0.0205246117547376,1.01454884456076e-10,0.13907720320226,0.0317610332956671,1.87104623193256e-24,0.336751801907131,0.0517799819014615,1.68353325322881e-07,0.345185348642675,0.2,0.2,0,6,0,0,0,0.3,"sce1",1,"fixed_beta"
2,0.174785379013845,0.0176149741377194,0.503648076530492,0.0318040859544928,1.09348795403432e-12,0.249780029773281,0.20072754903611,0.0256553163283776,0.546252324058152,0.35,0.41,0.0923076923076923,3,1,3,0,0.3,"sce1",1,"fixed_beta"
3,0.305482082237228,0.0504267835085546,0.653978026692913,0.0932353892357526,2.0338226785993e-07,0.473723715155575,0.374256789814671,0.0922361885378625,0.695423378122854,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",1,"fixed_beta"
4,0.325798111357647,0.0489822640843012,0.647854922034447,0.121529863626226,1.24453307287823e-05,0.56326627806862,0.411476014242574,0.104841817339236,0.771038560961157,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",1,"fixed_beta"
5,0.601430869475059,0.271375182913379,0.901137454462345,0.179305596362153,9.68004659482852e-05,0.729654938453703,0.679142334132761,0.35842464552679,0.938656708364759,0.35,0.455,0.161538461538461,3,2,3,2,0.3,"sce1",1,"fixed_beta"
1,0.141223447201501,0.000514002624153364,0.422738110319278,0.128106159571678,6.50647729038918e-13,0.741643948626636,0.251463943135676,0.00648040235767121,0.777903916471957,0.2,0.2,0,6,0,0,0,0.3,"sce1",1,"hierarchical_beta"
2,0.238085897289955,0.028797712856803,0.563340956859422,0.0663733896641222,1.25435440368402e-19,0.410591811935545,0.289121311359344,0.0431204915687184,0.624613290689168,0.35,0.41,0.0923076923076923,3,1,3,0,0.3,"sce1",1,"hierarchical_beta"
3,0.313971624476045,0.0677220950525625,0.66806139353393,0.114476720763258,5.15695288336823e-13,0.650366147960877,0.396543289054042,0.10862929073899,0.770825351689155,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",1,"hierarchical_beta"
4,0.304362794714025,0.0756487700390505,0.619883564450946,0.106095090756273,2.34593962493961e-18,0.479940467116783,0.379179451790898,0.105515774592029,0.740608681158589,0.35,0.455,0.161538461538461,3,1,3,1,0.3,"sce1",1,"hierarchical_beta"
5,0.486312529798935,0.159368398094952,0.811491999594162,0.143417967219526,2.61648510029432e-13,0.666284599194329,0.569020229734368,0.273319784530903,0.867293539375875,0.35,0.455,0.161538461538461,3,2,3,2,0.3,"sce1",1,"hierarchical_beta"
1,0.281309806232764,0.053135241596974,0.571304872771289,0.0287839174443887,1.74689456427118e-24,0.334549964807141,0.302131365342134,0.0648233373078951,0.645617631506076,0.2,0.2,0,6,2,0,0,0.3,"sce1",2,"fixed_beta"
2,0.050240444604799,7.89053473533973e-06,0.272536082974349,0.0363262808018375,4.07713166867743e-12,0.276195108297161,0.0843921231698744,0.000123092458151758,0.354286167194637,0.35,0.41,0.0923076923076923,3,0,3,0,0.3,"sce1",2,"fixed_beta"
3,0.67117853771935,0.348806544510025,0.938660021169718,0.193552958220251,1.00838212269316e-06,0.810609678425172,0.747654121955019,0.435790665771608,0.962162331130398,0.35,0.455,0.161538461538461,3,2,3,3,0.3,"sce1",2,"fixed_beta"
4,0.238775320775701,0.00409162159774227,0.627304758050005,0.28149059299964,7.09657012590711e-05,0.80118536130148,0.470413254813524,0.148458947726823,0.832027381762997,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",2,"fixed_beta"
5,0.289881293955654,0.0167097336405528,0.718110270287361,0.504656832119157,0.00572010521113042,0.94746443005801,0.669239469391431,0.283556145041328,0.966682239506222,0.35,0.455,0.161538461538461,3,0,3,3,0.3,"sce1",2,"fixed_beta"
1,0.312960578146155,0.0652695684126904,0.651874413212,0.422826015977623,6.79642207665444e-07,0.995791660138377,0.607297454843942,0.149010402015645,0.996702853699335,0.2,0.2,0,6,2,0,0,0.3,"sce1",2,"hierarchical_beta"
2,0.0964712055170783,1.25744155013781e-08,0.38323148370375,0.171123585407632,2.21146591440504e-08,0.604000673611966,0.251460737466425,0.00214912936433411,0.655886129885833,0.35,0.41,0.0923076923076923,3,0,3,0,0.3,"sce1",2,"hierarchical_beta"
3,0.533261856100229,0.149586780448507,0.906949766523944,0.558271756632421,0.00018373314411667,0.999825360586184,0.818778389991618,0.458903185600658,0.999909344281565,0.35,0.455,0.161538461538461,3,2,3,3,0.3,"sce1",2,"hierarchical_beta"
4,0.147933115865381,1.29170879383691e-11,0.525578439482674,0.491663869278946,0.00845069890677044,0.924919688861512,0.579154851606297,0.150042474770062,0.930046271397803,0.35,0.455,0.161538461538461,3,0,3,2,0.3,"sce1",2,"hierarchical_beta"
5,0.167888688767115,7.26453837489416e-08,0.594421941791578,0.688648305537787,0.0620774321468352,0.999968576904284,0.757696055457379,0.305858725646741,0.999969594804655,0.35,0.455,0.161538461538461,3,0,3,3,0.3,"sce1",2,"hierarchical_beta"
1,0.147130219965435,0.00532618656434972,0.453970410641951,0.0282382276060192,1.76926952950619e-28,0.314465461221123,0.17153783383628,0.00915566101571712,0.531673905977124,0.2,0.2,0,6,1,0,0,0.3,"sce1",3,"fixed_beta"
2,0.29034104745107,0.0295396661198165,0.604833621467915,0.0618320355125001,1.29819883071975e-10,0.392192880781453,0.337052129900315,0.0641723536037807,0.668250501081262,0.35,0.41,0.0923076923076923,3,1,3,1,0.3,"sce1",3,"fixed_beta"
3,0.382645567809693,0.0560739054190369,0.727675593544437,0.183689579515818,1.27332000368303e-06,0.671310521157385,0.507507001786768,0.170336450172297,0.830469528920535,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",3,"fixed_beta"
4,0.410525026365017,0.079890044435992,0.768680191427705,0.225868194174526,2.0496856255048e-05,0.779590489498907,0.552052712025186,0.234421663113405,0.888498170761489,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",3,"fixed_beta"
5,0.586497704468253,0.222100151412398,0.889477707922811,0.220361883465593,0.000509611861528746,0.716864722584333,0.687726435847959,0.34060546023968,0.93406309776034,0.35,0.455,0.161538461538461,3,2,3,2,0.3,"sce1",3,"fixed_beta"
1,0.257872475878579,0.0457201597075367,0.548660947670302,0.212936375973076,4.76889265897625e-12,0.84161641135335,0.417931234232402,0.0914395480269124,0.894363629704218,0.2,0.2,0,6,1,0,0,0.3,"sce1",3,"hierarchical_beta"
2,0.335867031685933,0.0682795028839878,0.646859039447991,0.179230423852689,2.28949748819912e-14,0.650665929253115,0.460453958231032,0.158445009582319,0.770655490554495,0.35,0.41,0.0923076923076923,3,1,3,1,0.3,"sce1",3,"hierarchical_beta"
3,0.401335041628548,0.11322689200383,0.722049771956804,0.21567262422621,4.04304438857888e-11,0.762563495022228,0.540794831547911,0.234360404893534,0.85916790714282,0.35,0.455,0.161538461538461,3,1,3,2,0.3,"sce1",3,"hierarchical_beta"
