"task_id","Scenario","Source_Scenario","Scenario_Group","Attempt","allocation","Nmax","N_s1","crm_prior_id","crm_a_r","crm_b_r","efficacy_prior_id","efficacy_a","efficacy_b","carry_a","carry_b","enrollment_scheme","utility_type","lambda_T","arrival_rate","ipde_design","flexible_ipde","toxicity_ipde_alpha","efficacy_ipde_alpha"
1,1,1,"base_example",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
2,2,2,"base_example",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
3,3,3,"base_example",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
4,4,4,"base_example",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
5,5,5,"base_example",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
6,6,1,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
7,7,2,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
8,8,3,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
9,9,4,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
10,10,5,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
11,11,1,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
12,12,2,"five_scenarios_txt",3,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
13,13,3,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
14,14,4,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
15,15,5,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
16,16,1,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
17,17,2,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
18,18,3,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
19,19,4,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
20,20,5,"five_scenarios_txt",1,"two_stage",30,15,"r_beta_0p15_0p85",0.15,0.85,"regular_beta_0p15_0p85_carry_beta_0p15_0p85",0.15,0.85,0.15,0.85,"continuous",1,1,0.0178571428571429,1,TRUE,0,0
