"Scenario","Source_Scenario","Scenario_Group","Attempt","True_MTD_Level","Target_Toxicity","true_toxicity_dose1","true_toxicity_dose2","true_toxicity_dose3","true_toxicity_dose4","true_toxicity_dose5","true_efficacy_dose1","true_efficacy_dose2","true_efficacy_dose3","true_efficacy_dose4","true_efficacy_dose5","OBD_Level_Utility1","OBD_Level_Utility2","OBD_Level_Utility3"
1,1,"base_example",1,1,0.3,0.3,0.35,0.4,0.45,0.5,0.05,0.06,0.07,0.08,0.09,1,1,1
2,2,"base_example",1,3,0.3,0.15,0.2,0.3,0.35,0.45,0.2,0.25,0.5,0.5,0.5,3,3,3
3,3,"base_example",1,3,0.3,0.15,0.2,0.3,0.35,0.45,0.1,0.4,0.4,0.4,0.4,2,2,2
4,4,"base_example",1,4,0.3,0.05,0.1,0.18,0.3,0.4,0.05,0.1,0.25,0.5,0.55,4,4,4
5,5,"base_example",1,5,0.3,0.07,0.12,0.17,0.22,0.3,0.05,0.3,0.3,0.3,0.3,2,2,2
6,1,"five_scenarios_txt",1,1,0.3,0.29,0.34,0.38,0.43,0.52,0.3,0.32,0.35,0.38,0.4,1,1,1
7,2,"five_scenarios_txt",1,4,0.3,0.16,0.2,0.26,0.31,0.36,0.2,0.5,0.5,0.5,0.5,2,2,2
8,3,"five_scenarios_txt",1,1,0.3,0.32,0.37,0.42,0.48,0.52,0.1,0.15,0.2,0.3,0.4,1,1,1
9,4,"five_scenarios_txt",1,5,0.3,0.15,0.18,0.22,0.26,0.29,0.05,0.08,0.2,0.25,0.5,5,5,5
10,5,"five_scenarios_txt",1,2,0.3,0.23,0.28,0.32,0.39,0.43,0.05,0.4,0.42,0.45,0.5,2,2,2
11,1,"five_scenarios_txt",1,2,0.3,0.22,0.32,0.44,0.59,0.67,0.2,0.2,0.2,0.2,0.2,1,1,1
12,2,"five_scenarios_txt",3,4,0.3,0.06,0.09,0.18,0.29,0.44,0.05,0.1,0.12,0.4,0.6,4,4,4
13,3,"five_scenarios_txt",1,3,0.3,0.21,0.29,0.3,0.39,0.46,0.05,0.3,0.32,0.35,0.4,3,3,3
14,4,"five_scenarios_txt",1,4,0.3,0.09,0.15,0.23,0.28,0.39,0.05,0.08,0.12,0.3,0.4,4,4,4
15,5,"five_scenarios_txt",1,3,0.3,0.13,0.2,0.32,0.39,0.46,0.1,0.1,0.1,0.1,0.1,1,1,1
16,1,"five_scenarios_txt",1,5,0.3,0.02,0.06,0.09,0.14,0.26,0.2,0.2,0.2,0.2,0.2,1,1,1
17,2,"five_scenarios_txt",1,2,0.3,0.11,0.23,0.39,0.58,0.76,0.3,0.5,0.5,0.5,0.5,2,2,2
18,3,"five_scenarios_txt",1,5,0.3,0.02,0.04,0.1,0.2,0.35,0.05,0.1,0.15,0.2,0.5,5,5,5
19,4,"five_scenarios_txt",1,2,0.3,0.11,0.26,0.39,0.6,0.77,0.08,0.3,0.32,0.35,0.4,2,2,2
20,5,"five_scenarios_txt",1,3,0.3,0.07,0.14,0.31,0.41,0.52,0.05,0.25,0.25,0.25,0.25,2,2,2
21,1,"five_scenarios_txt",1,1,0.3,0.37,0.56,0.69,0.83,0.88,0.5,0.5,0.5,0.5,0.5,1,1,1
22,2,"five_scenarios_txt",1,2,0.3,0.07,0.27,0.5,0.56,0.78,0.08,0.25,0.25,0.5,0.5,2,1,2
23,3,"five_scenarios_txt",1,1,0.3,0.32,0.55,0.8,0.94,0.97,0.05,0.05,0.05,0.05,0.05,1,1,1
24,4,"five_scenarios_txt",1,5,0.3,0.01,0.02,0.05,0.1,0.25,0.05,0.08,0.2,0.5,0.5,4,4,4
25,5,"five_scenarios_txt",2,3,0.3,0.09,0.18,0.37,0.63,0.77,0.2,0.25,0.4,0.45,0.5,3,1,3
26,1,"higher_gap_above_MTD",1,3,0.3,0.15,0.22,0.3,0.62,0.8,0.1,0.2,0.35,0.45,0.55,3,3,3
27,2,"higher_gap_above_MTD",1,3,0.3,0.11,0.17,0.3,0.5,0.62,0.1,0.2,0.4,0.42,0.45,3,3,3
28,3,"higher_gap_above_MTD",1,2,0.3,0.2,0.3,0.5,0.6,0.77,0.05,0.3,0.32,0.35,0.4,2,2,2
29,4,"higher_gap_above_MTD",1,2,0.3,0.19,0.3,0.56,0.74,0.86,0.4,0.4,0.4,0.4,0.4,1,1,1
30,5,"higher_gap_above_MTD",1,4,0.3,0.05,0.08,0.17,0.27,0.54,0.12,0.15,0.2,0.4,0.5,4,4,4
31,6,"higher_gap_above_MTD",1,4,0.3,0.04,0.06,0.1,0.2,0.6,0.2,0.5,0.5,0.5,0.5,2,2,2
32,1,"higher_gap_below_MTD",1,4,0.3,0.02,0.05,0.11,0.3,0.36,0.08,0.15,0.3,0.3,0.3,3,3,3
33,2,"higher_gap_below_MTD",1,4,0.3,0.01,0.02,0.09,0.32,0.38,0.05,0.08,0.2,0.4,0.5,4,3,4
34,3,"higher_gap_below_MTD",1,3,0.3,0.05,0.13,0.3,0.36,0.42,0.05,0.1,0.3,0.32,0.35,3,1,3
35,4,"higher_gap_below_MTD",1,3,0.3,0.03,0.09,0.3,0.4,0.45,0.2,0.45,0.45,0.45,0.45,2,2,2
36,5,"higher_gap_below_MTD",1,2,0.3,0.13,0.29,0.35,0.4,0.43,0.05,0.2,0.22,0.3,0.35,2,1,2
37,6,"higher_gap_below_MTD",1,2,0.3,0.08,0.3,0.4,0.45,0.5,0.05,0.2,0.2,0.2,0.2,2,1,2
