Scenario,Source_Scenario,Scenario_Group,True_MTD,Attempt,Dose1,Dose2,Dose3,Dose4,Dose5
1,1,base_example,1,1,0.30,0.35,0.40,0.45,0.50
2,2,base_example,3,1,0.15,0.20,0.30,0.35,0.45
3,3,base_example,3,1,0.15,0.20,0.30,0.35,0.45
4,4,base_example,4,1,0.05,0.10,0.18,0.30,0.40
5,5,base_example,5,1,0.07,0.12,0.17,0.22,0.30
6,1,five_scenarios_txt,1,1,0.29,0.34,0.38,0.43,0.52
7,2,five_scenarios_txt,4,1,0.16,0.20,0.26,0.31,0.36
8,3,five_scenarios_txt,1,1,0.32,0.37,0.42,0.48,0.52
9,4,five_scenarios_txt,5,1,0.15,0.18,0.22,0.26,0.29
10,5,five_scenarios_txt,2,1,0.23,0.28,0.32,0.39,0.43
11,1,five_scenarios_txt,2,1,0.22,0.32,0.44,0.59,0.67
12,2,five_scenarios_txt,4,3,0.06,0.09,0.18,0.29,0.44
13,3,five_scenarios_txt,3,1,0.21,0.29,0.30,0.39,0.46
14,4,five_scenarios_txt,4,1,0.09,0.15,0.23,0.28,0.39
15,5,five_scenarios_txt,3,1,0.13,0.20,0.32,0.39,0.46
16,1,five_scenarios_txt,5,1,0.02,0.06,0.09,0.14,0.26
17,2,five_scenarios_txt,2,1,0.11,0.23,0.39,0.58,0.76
18,3,five_scenarios_txt,5,1,0.02,0.04,0.10,0.20,0.35
19,4,five_scenarios_txt,2,1,0.11,0.26,0.39,0.60,0.77
20,5,five_scenarios_txt,3,1,0.07,0.14,0.31,0.41,0.52
21,1,five_scenarios_txt,1,1,0.37,0.56,0.69,0.83,0.88
22,2,five_scenarios_txt,2,1,0.07,0.27,0.50,0.56,0.78
23,3,five_scenarios_txt,1,1,0.32,0.55,0.80,0.94,0.97
24,4,five_scenarios_txt,5,1,0.01,0.02,0.05,0.10,0.25
25,5,five_scenarios_txt,3,2,0.09,0.18,0.37,0.63,0.77
26,1,higher_gap_above_MTD,3,1,0.15,0.22,0.30,0.62,0.80
27,2,higher_gap_above_MTD,3,1,0.11,0.17,0.30,0.50,0.62
28,3,higher_gap_above_MTD,2,1,0.20,0.30,0.50,0.60,0.77
29,4,higher_gap_above_MTD,2,1,0.19,0.30,0.56,0.74,0.86
30,5,higher_gap_above_MTD,4,1,0.05,0.08,0.17,0.27,0.54
31,6,higher_gap_above_MTD,4,1,0.04,0.06,0.10,0.20,0.60
32,1,higher_gap_below_MTD,4,1,0.02,0.05,0.11,0.30,0.36
33,2,higher_gap_below_MTD,3,1,0.01,0.02,0.09,0.32,0.38
34,3,higher_gap_below_MTD,3,1,0.05,0.13,0.30,0.36,0.42
35,4,higher_gap_below_MTD,3,1,0.03,0.09,0.30,0.40,0.45
36,5,higher_gap_below_MTD,2,1,0.13,0.29,0.35,0.40,0.43
37,6,higher_gap_below_MTD,2,1,0.08,0.30,0.40,0.45,0.50
