Scenario,Source_Scenario,Scenario_Group,True_MTD,Attempt,Dose1,Dose2,Dose3,Dose4,Dose5,Dose6,Dose7,Dose8
1,1,eight_scenarios_txt,5,1,0.11,0.14,0.19,0.24,0.30,0.34,0.37,0.41
2,2,eight_scenarios_txt,2,1,0.24,0.28,0.34,0.39,0.46,0.52,0.56,0.61
3,3,eight_scenarios_txt,4,1,0.13,0.17,0.23,0.29,0.36,0.40,0.47,0.52
4,4,eight_scenarios_txt,8,1,0.07,0.09,0.10,0.13,0.18,0.20,0.27,0.32
5,5,eight_scenarios_txt,8,1,0.07,0.08,0.10,0.13,0.16,0.20,0.24,0.31
6,1,eight_scenarios_txt,8,1,0.02,0.03,0.04,0.07,0.10,0.16,0.26,0.32
7,2,eight_scenarios_txt,4,1,0.12,0.17,0.21,0.30,0.43,0.67,0.80,0.84
8,3,eight_scenarios_txt,1,1,0.35,0.40,0.51,0.66,0.69,0.80,0.88,0.91
9,4,eight_scenarios_txt,4,1,0.09,0.14,0.18,0.34,0.45,0.58,0.75,0.81
10,5,eight_scenarios_txt,5,2,0.05,0.09,0.13,0.19,0.32,0.37,0.47,0.60
11,1,eight_scenarios_txt,8,9,0.00,0.01,0.02,0.04,0.06,0.08,0.17,0.28
12,2,eight_scenarios_txt,3,1,0.09,0.17,0.27,0.48,0.66,0.77,0.90,0.97
13,3,eight_scenarios_txt,8,13,0.00,0.01,0.02,0.03,0.05,0.07,0.13,0.28
14,4,eight_scenarios_txt,5,1,0.04,0.07,0.13,0.19,0.31,0.49,0.68,0.83
15,5,eight_scenarios_txt,4,1,0.06,0.08,0.17,0.31,0.54,0.75,0.92,0.96
16,1,eight_scenarios_txt,6,3,0.00,0.01,0.02,0.03,0.16,0.36,0.71,0.84
17,2,eight_scenarios_txt,1,2,0.32,0.51,0.67,0.80,0.94,0.98,0.99,1.00
18,3,eight_scenarios_txt,2,1,0.12,0.30,0.40,0.59,0.76,0.90,0.95,0.98
19,4,eight_scenarios_txt,8,67,0.00,0.01,0.02,0.04,0.09,0.12,0.17,0.40
20,5,eight_scenarios_txt,1,2,0.21,0.39,0.59,0.78,0.90,0.96,0.99,1.00
21,1,higher_gap_above_MTD,7,1,0.10,0.14,0.17,0.19,0.23,0.26,0.29,0.52
22,5,higher_gap_above_MTD,7,1,0.02,0.05,0.08,0.10,0.15,0.23,0.28,0.40
23,26,higher_gap_above_MTD,6,1,0.11,0.15,0.18,0.22,0.25,0.31,0.55,0.63
24,21,higher_gap_above_MTD,6,1,0.05,0.08,0.16,0.19,0.22,0.25,0.40,0.66
25,50,higher_gap_above_MTD,5,1,0.13,0.15,0.21,0.27,0.30,0.60,0.79,0.91
26,12,higher_gap_above_MTD,5,1,0.05,0.10,0.20,0.27,0.31,0.46,0.57,0.71
27,15,higher_gap_above_MTD,4,1,0.12,0.17,0.19,0.28,0.51,0.61,0.80,0.89
28,3,higher_gap_above_MTD,4,1,0.08,0.12,0.20,0.25,0.29,0.52,0.73,0.89
29,13,higher_gap_above_MTD,3,1,0.10,0.20,0.29,0.62,0.79,0.89,0.94,0.96
30,42,higher_gap_above_MTD,3,1,0.05,0.12,0.25,0.48,0.69,0.87,0.96,0.99
31,50,higher_gap_below_MTD,7,1,0.02,0.03,0.05,0.07,0.10,0.15,0.32,0.38
32,39,higher_gap_below_MTD,7,1,0.01,0.03,0.05,0.07,0.09,0.11,0.31,0.36
33,44,higher_gap_below_MTD,6,1,0.03,0.04,0.08,0.10,0.12,0.27,0.35,0.39
34,44,higher_gap_below_MTD,6,1,0.03,0.04,0.08,0.12,0.18,0.29,0.33,0.39
35,31,higher_gap_below_MTD,5,1,0.05,0.07,0.09,0.11,0.31,0.39,0.45,0.49
36,31,higher_gap_below_MTD,5,1,0.07,0.09,0.12,0.15,0.31,0.39,0.45,0.49
37,40,higher_gap_below_MTD,4,1,0.09,0.11,0.15,0.29,0.37,0.40,0.45,0.50
38,49,higher_gap_below_MTD,4,2,0.02,0.06,0.12,0.30,0.34,0.41,0.46,0.50
39,37,higher_gap_below_MTD,3,1,0.10,0.15,0.32,0.36,0.44,0.51,0.57,0.63
40,37,higher_gap_below_MTD,3,1,0.04,0.10,0.28,0.40,0.50,0.60,0.70,0.80
