"Scenario","MTD","Dose1","Dose2","Dose3","Dose4","Dose5","Attempt"
1,1,0.29,0.36,0.44,0.5,0.55,2
2,1,0.29,0.34,0.4,0.42,0.5,1
3,4,0.17,0.21,0.25,0.3,0.33,1
4,3,0.19,0.25,0.32,0.4,0.49,1
5,4,0.16,0.22,0.26,0.32,0.39,2
6,4,0.19,0.23,0.27,0.32,0.4,2
7,2,0.27,0.31,0.37,0.45,0.48,1
8,4,0.15,0.18,0.23,0.29,0.33,2
9,3,0.21,0.27,0.3,0.36,0.4,1
10,1,0.3,0.37,0.43,0.45,0.52,1
11,2,0.25,0.3,0.35,0.4,0.46,2
12,4,0.16,0.2,0.23,0.28,0.32,1
13,2,0.23,0.31,0.37,0.43,0.48,2
14,2,0.26,0.28,0.35,0.43,0.51,1
15,1,0.31,0.37,0.42,0.49,0.55,1
16,4,0.14,0.18,0.24,0.31,0.4,1
17,3,0.2,0.24,0.29,0.35,0.4,1
18,4,0.15,0.18,0.24,0.3,0.35,1
19,3,0.21,0.25,0.31,0.39,0.45,1
20,5,0.13,0.17,0.22,0.25,0.3,1
21,5,0.15,0.2,0.22,0.26,0.31,1
22,2,0.25,0.29,0.35,0.41,0.45,1
23,1,0.28,0.34,0.42,0.5,0.55,1
24,4,0.16,0.19,0.24,0.29,0.32,2
25,1,0.32,0.39,0.43,0.48,0.53,1
26,3,0.19,0.25,0.3,0.35,0.39,1
27,1,0.29,0.34,0.42,0.48,0.53,1
28,5,0.12,0.16,0.21,0.25,0.28,1
29,2,0.24,0.28,0.35,0.42,0.48,2
30,5,0.12,0.16,0.2,0.26,0.31,1
31,3,0.23,0.27,0.31,0.36,0.44,1
32,4,0.17,0.19,0.23,0.28,0.34,1
33,2,0.24,0.3,0.37,0.43,0.48,1
34,5,0.12,0.16,0.2,0.25,0.3,1
35,3,0.19,0.23,0.28,0.34,0.36,1
36,1,0.32,0.39,0.48,0.51,0.56,1
37,2,0.23,0.3,0.34,0.39,0.44,1
38,1,0.3,0.33,0.34,0.37,0.44,1
