"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_p_crm_random","sd_p_crm_random","bias_p_crm_random","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map","mean_r_hat_crm_random","sd_r_hat_crm_random","e_true","true_boin12_utility","mean_eR","mean_eI","mean_eff_obs","sd_eff_obs","mean_p2_hat_approx1","sd_p2_hat_approx1","mean_attribution_weight","sd_attribution_weight","mean_boin12_raw_utility","sd_boin12_raw_utility","bias_boin12_raw_utility","mean_boin12_modified_utility","sd_boin12_modified_utility","bias_boin12_modified_utility","mean_r_hat_boin12_adaptive","sd_r_hat_boin12_adaptive"
"sce1",0.3,1,1,0.3,0.3,3,1,0.222222222222222,NA,0.19733057374035,NA,-0.10266942625965,0.213125075620351,NA,-0.0868749243796487,NA,NA,NA,0.0530358710038107,NA,0.0530358710038107,0,NA,NA,0.2,0.4,0,2,0.111111111111111,NA,0.213125073414561,NA,0.791900040143165,NA,0.39,NA,-0.0100000000000001,0.394161999197137,NA,-0.0058380008028634,0.0530358710038107,NA
"sce1",0.3,2,1,0.35,0.44,6,1,0.388888888888889,NA,0.363997240407016,NA,0.0139972404070162,0.384542100651532,NA,0.0345421006515322,NA,NA,NA,0.0530358710038107,NA,0.0530358710038107,0,NA,NA,0.35,0.47,2,3,0.277777777777778,NA,0.384542105565044,NA,0.872871584745925,NA,0.42,NA,-0.05,0.422542568305082,NA,-0.0474574316949186,0.0530358710038107,NA
"sce1",0.3,3,1,0.4,0.505,4,7,0.611111111111111,NA,0.604888198990643,NA,0.204888198990643,0.597707687985655,NA,0.197707687985655,NA,NA,NA,0.0530358710038107,NA,0.0530358710038107,0,NA,NA,0.36,0.456,4,3,0.388888888888889,NA,0.597707688028894,NA,0.914326115244689,NA,0.4,NA,-0.0559999999999999,0.411994343865744,NA,-0.0440056561342564,0.0530358710038107,NA
"sce1",0.3,4,1,0.45,0.57,2,7,0.5,NA,0.493777087879532,NA,0.0437770878795319,0.478771645539122,NA,0.0287716455391222,NA,NA,NA,0.0530358710038107,NA,0.0530358710038107,0,NA,NA,0.37,0.442,5,3,0.444444444444444,NA,0.478771639353179,NA,0.895272010148023,NA,0.47,NA,0.028,0.484661918579277,NA,0.0426619185792768,0.0530358710038107,NA
"sce1",0.3,5,1,0.5,0.635,3,6,0.5,NA,0.490665631819298,NA,-0.00933436818070227,0.482027338034131,NA,-0.0179726619658695,NA,NA,NA,0.0530358710038107,NA,0.0530358710038107,0,NA,NA,0.38,0.428,4,6,0.555555555555556,NA,0.482027339143699,NA,0.895905730658102,NA,0.53,NA,0.102,0.542491312321028,NA,0.114491312321028,0.0530358710038107,NA
"sce2",0.3,1,1,0.15,0.15,1,1,0.111111111111111,NA,0.0893468183803682,NA,-0.0606531816196318,0.0938500957720937,NA,-0.0561499042279063,NA,NA,NA,0.0466835796828161,NA,0.0466835796828161,0,NA,NA,0.2,0.46,1,1,0.111111111111111,NA,0.093850094312228,NA,0.657122648439608,NA,0.43,NA,-0.03,0.436857547031208,NA,-0.0231424529687921,0.0466835796828551,NA
"sce2",0.3,2,1,0.3,0.345,2,4,0.333333333333333,NA,0.319730650376619,NA,0.019730650376619,0.312648959668689,NA,0.0126489596686888,NA,NA,NA,0.0466835796828161,NA,0.0466835796828161,0,NA,NA,0.35,0.49,1,3,0.222222222222222,NA,0.312648964030253,NA,0.864582033187219,NA,0.41,NA,-0.08,0.420833437345022,NA,-0.0691665626549776,0.0466835796828551,NA
"sce2",0.3,3,1,0.38,0.47,3,3,0.333333333333333,NA,0.317010113785276,NA,-0.0629898862147239,0.318176487766492,NA,-0.0618235122335085,NA,NA,NA,0.0466835796828161,NA,0.0466835796828161,0,NA,NA,0.36,0.464,2,1,0.166666666666667,NA,0.318176492077726,NA,0.866620803328803,NA,0.38,NA,-0.084,0.388002751800272,NA,-0.0759972481997281,0.0466835796828551,NA
"sce2",0.3,4,1,0.45,0.564,4,6,0.555555555555556,NA,0.547393945781527,NA,0.0973939457815269,0.542951685008076,NA,0.0929516850080764,NA,NA,NA,0.0466835796828161,NA,0.0466835796828161,0,NA,NA,0.37,0.442,5,3,0.444444444444444,NA,0.542951684995432,NA,0.917269990057959,NA,0.45,NA,0.00800000000000001,0.459927601193045,NA,0.0179276011930449,0.0466835796828551,NA
"sce2",0.3,5,1,0.55,0.685,8,4,0.666666666666667,NA,0.653063983709952,NA,0.103063983709952,0.661481499714438,NA,0.111481499714438,NA,NA,NA,0.0466835796828161,NA,0.0466835796828161,0,NA,NA,0.38,0.408,1,2,0.166666666666667,NA,0.661481500563612,NA,0.93107244881011,NA,0.26,NA,-0.148,0.265514204095191,NA,-0.142485795904809,0.0466835796828551,NA
"sce3",0.3,1,1,0.15,0.15,1,1,0.111111111111111,NA,0.097524432110864,NA,-0.052475567889136,0.0993362476009663,NA,-0.0506637523990337,NA,NA,NA,0.0296632222239976,NA,0.0296632222239976,0,NA,NA,0.2,0.46,5,3,0.444444444444444,NA,0.0993362458173695,NA,0.764676278435715,NA,0.61,NA,0.15,0.614706474431286,NA,0.154706474431286,0.0296632222239929,NA
"sce3",0.3,2,1,0.2,0.245,2,2,0.222222222222222,NA,0.210333878097006,NA,0.0103338780970059,0.211136423593314,NA,0.011136423593314,NA,NA,NA,0.0296632222239976,NA,0.0296632222239976,0,NA,NA,0.35,0.53,1,2,0.166666666666667,NA,0.211136420365412,NA,0.873524153001145,NA,0.42,NA,-0.11,0.425059033879954,NA,-0.104940966120046,0.0296632222239929,NA
"sce3",0.3,3,1,0.3,0.36,5,4,0.5,NA,0.491508325624846,NA,0.191508325624846,0.493432698953074,NA,0.193432698953074,NA,NA,NA,0.0296632222239976,NA,0.0296632222239976,0,NA,NA,0.36,0.496,2,4,0.333333333333333,NA,0.493432691608603,NA,0.941660555143802,NA,0.41,NA,-0.086,0.414667155588496,NA,-0.0813328444115042,0.0296632222239929,NA
"sce3",0.3,4,1,0.35,0.44,4,3,0.388888888888889,NA,0.378698879638703,NA,0.0286988796387035,0.381233244323093,NA,0.0312332443230934,NA,NA,NA,0.0296632222239976,NA,0.0296632222239976,0,NA,NA,0.37,0.482,4,6,0.555555555555556,NA,0.381233244966579,NA,0.925765457013379,NA,0.57,NA,0.088,0.574454072579197,NA,0.0924540725791973,0.0296632222239929,NA
"sce3",0.3,5,1,0.45,0.555,4,5,0.5,NA,0.493206660499876,NA,0.0432066604998763,0.491736642128529,NA,0.0417366421285291,NA,NA,NA,0.0296632222239976,NA,0.0296632222239976,0,NA,NA,0.38,0.448,2,4,0.333333333333333,NA,0.491736634817318,NA,0.941471112774521,NA,0.41,NA,-0.0380000000000001,0.415852888722548,NA,-0.0321471112774521,0.0296632222239929,NA
"sce4",0.3,1,1,0.05,0.05,1,1,0.111111111111111,NA,0.0390856375503837,NA,-0.0109143624496163,0.0762035300623338,NA,0.0262035300623338,NA,NA,NA,0.139457248234168,NA,0.139457248234168,0,NA,NA,0.2,0.5,1,1,0.111111111111111,NA,0.0762035303907733,NA,0.319832367345769,NA,0.43,NA,-0.0700000000000001,0.443603352653085,NA,-0.0563966473469155,0.139457248234168,NA
