"scenario","alpha_true","dose","n_reps","p_true","q_true","mean_yR","mean_yI","mean_obs_pooled","sd_obs_pooled","mean_p_pool_plugin","sd_p_pool_plugin","bias_p_pool_plugin","mean_p_mle_plugin","sd_p_mle_plugin","bias_p_mle_plugin","mean_p_crm_random","sd_p_crm_random","bias_p_crm_random","mean_r_hat","sd_r_hat","mean_r_hat_posterior_mean","mean_r_hat_map","mean_r_hat_crm_random","sd_r_hat_crm_random","e_true","true_boin12_utility","mean_eR","mean_eI","mean_eff_obs","sd_eff_obs","mean_p2_hat_approx1","sd_p2_hat_approx1","mean_attribution_weight","sd_attribution_weight","mean_boin12_raw_utility","sd_boin12_raw_utility","bias_boin12_raw_utility","mean_boin12_modified_utility","sd_boin12_modified_utility","bias_boin12_modified_utility","mean_r_hat_boin12_adaptive","sd_r_hat_boin12_adaptive"
"sce1",0.3,1,1,0.05,0.05,0,0,0,NA,0,NA,-0.05,0,NA,-0.05,NA,NA,NA,0.0100197481034052,NA,0.0100197481034052,0,NA,NA,0.2,0.5,3,3,0.333333333333333,NA,0,NA,0,NA,0.59,NA,0.0900000000000001,0.59,NA,0.0900000000000001,0.0100197481034017,NA
"sce1",0.3,2,1,0.12,0.135,3,0,0.166666666666667,NA,0.161606086880247,NA,0.041606086880247,0.166666666666667,NA,0.0466666666666667,NA,NA,NA,0.0100197481034052,NA,0.0100197481034052,0,NA,NA,0.35,0.562,2,1,0.166666666666667,NA,0.166666666680632,NA,0.94274968029572,NA,0.44,NA,-0.122,0.44,NA,-0.122,0.0100197481034017,NA
"sce1",0.3,3,1,0.27,0.306,3,1,0.222222222222222,NA,0.217723929078738,NA,-0.052276070921262,0.220319765962152,NA,-0.0496802340378476,NA,NA,NA,0.0100197481034052,NA,0.0100197481034052,0,NA,NA,0.36,0.508,2,5,0.388888888888889,NA,0.220319766025246,NA,0.956079157612444,NA,0.54,NA,0.032,0.540878416847751,NA,0.0328784168477511,0.0100197481034017,NA
"sce1",0.3,4,1,0.35,0.431,1,2,0.166666666666667,NA,0.162730660166118,NA,-0.187269339833882,0.161159096240743,NA,-0.188840903759257,NA,NA,NA,0.0100197481034052,NA,0.0100197481034052,0,NA,NA,0.37,0.482,3,4,0.388888888888889,NA,0.161159098634621,NA,0.940908779104145,NA,0.56,NA,0.0779999999999999,0.562363648835834,NA,0.0803636488358341,0.0100197481034017,NA
"sce1",0.3,5,1,0.5,0.605,3,6,0.5,NA,0.498313140071193,NA,-0.00168685992880657,0.49664904307744,NA,-0.00335095692256021,NA,NA,NA,0.0100197481034052,NA,0.0100197481034052,0,NA,NA,0.38,0.428,5,2,0.388888888888889,NA,0.496649043070325,NA,0.980028108361449,NA,0.44,NA,0.0120000000000001,0.442396626996626,NA,0.0143966269966261,0.0100197481034017,NA
"sce2",0.3,1,1,0.05,0.05,0,0,0,NA,0,NA,-0.05,0,NA,-0.05,NA,NA,NA,0.040975110345971,NA,0.040975110345971,0,NA,NA,0.01,0.386,0,0,0,NA,0,NA,0,NA,0.41,NA,0.024,0.41,NA,0.024,0.0409751103459698,NA
"sce2",0.3,2,1,0.12,0.135,0,1,0.0555555555555556,NA,0.0365663089257474,NA,-0.0834336910742526,0.0152034064672133,NA,-0.104796593532787,NA,NA,NA,0.040975110345971,NA,0.040975110345971,0,NA,NA,0.05,0.382,0,0,0,NA,0.0152034070000971,NA,0.262448020557179,NA,0.39,NA,0.00800000000000001,0.404751039588856,NA,0.0227510395888564,0.0409751103459698,NA
"sce2",0.3,3,1,0.27,0.306,2,2,0.222222222222222,NA,0.20560663142114,NA,-0.0643933685788599,0.207159899812943,NA,-0.0628401001870573,NA,NA,NA,0.040975110345971,NA,0.040975110345971,0,NA,NA,0.3,0.472,1,0,0.0555555555555556,NA,0.207159896693459,NA,0.829018608741129,NA,0.36,NA,-0.112,0.366839255650355,NA,-0.105160744349645,0.0409751103459698,NA
"sce2",0.3,4,1,0.35,0.431,3,3,0.333333333333333,NA,0.319091398360977,NA,-0.0309086016390228,0.319982720958261,NA,-0.0300172790417392,NA,NA,NA,0.040975110345971,NA,0.040975110345971,0,NA,NA,0.6,0.62,7,5,0.666666666666667,NA,0.319982725253415,NA,0.88220347369006,NA,0.65,NA,0.03,0.657067791578596,NA,0.0370677915785963,0.0409751103459698,NA
"sce2",0.3,5,1,0.5,0.605,2,3,0.277777777777778,NA,0.263535842805422,NA,-0.236464157194578,0.260403536308632,NA,-0.239596463691368,NA,NA,NA,0.040975110345971,NA,0.040975110345971,0,NA,NA,0.6,0.56,6,5,0.611111111111111,NA,0.260403540365864,NA,0.859050911493943,NA,0.64,NA,0.08,0.648456945310363,NA,0.0884569453103634,0.0409751103459698,NA
"sce3",0.3,1,1,0.03,0.03,0,0,0,NA,0,NA,-0.03,0,NA,-0.03,NA,NA,NA,0.00993022998106695,NA,0.00993022998106695,0,NA,NA,0.05,0.418,0,1,0.0555555555555556,NA,0,NA,0,NA,0.44,NA,0.0220000000000001,0.44,NA,0.0220000000000001,0.00993022998106695,NA
"sce3",0.3,2,1,0.05,0.059,1,1,0.111111111111111,NA,0.106653409562405,NA,0.0566534095624046,0.106853242933659,NA,0.0568532429336592,NA,NA,NA,0.00993022998106695,NA,0.00993022998106695,0,NA,NA,0.1,0.44,3,0,0.166666666666667,NA,0.106853241355683,NA,0.914189210650474,NA,0.46,NA,0.02,0.461716215786991,NA,0.0217162157869905,0.00993022998106695,NA
"sce3",0.3,3,1,0.2,0.215,4,2,0.333333333333333,NA,0.329432844478215,NA,0.129432844478215,0.331148596758949,NA,0.131148596758949,NA,NA,NA,0.00993022998106695,NA,0.00993022998106695,0,NA,NA,0.5,0.62,2,5,0.388888888888889,NA,0.331148600957812,NA,0.970602395640951,NA,0.5,NA,-0.12,0.501175904174362,NA,-0.118824095825638,0.00993022998106695,NA
"sce3",0.3,4,1,0.22,0.28,3,1,0.222222222222222,NA,0.217764520673516,NA,-0.00223547932648424,0.220336361821681,NA,0.000336361821680731,NA,NA,NA,0.00993022998106695,NA,0.00993022998106695,0,NA,NA,0.68,0.72,8,7,0.833333333333333,NA,0.22033635854529,NA,0.956461368684769,NA,0.78,NA,0.0600000000000001,0.780870772626305,NA,0.0608707726263047,0.00993022998106695,NA
