"Task_ID","Scenario","Allocation","Model_ID","Utility_Type","Lambda_T","Toxicity_IPDE_Alpha","Efficacy_IPDE_Alpha","Arrival_Rate"
1,1,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
2,2,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
3,3,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
4,4,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
5,5,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
6,6,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
7,7,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
8,8,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
9,9,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
10,10,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
11,11,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
12,12,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
13,13,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
14,14,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
15,15,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
16,16,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
17,17,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
18,18,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
19,19,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
20,20,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
21,21,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
22,22,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
23,23,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
24,24,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
25,25,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
26,26,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
27,27,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
28,28,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
29,29,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
30,30,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
31,31,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
32,32,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
33,33,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
34,34,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
35,35,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
36,36,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
37,37,"two_stage","additive_shared",2,0.3,0,0,0.0178571428571429
38,1,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
39,2,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
40,3,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
41,4,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
42,5,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
43,6,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
44,7,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
45,8,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
46,9,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
47,10,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
48,11,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
49,12,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
50,13,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
51,14,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
52,15,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
53,16,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
54,17,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
55,18,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
56,19,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
57,20,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
58,21,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
59,22,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
60,23,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
61,24,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
62,25,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
63,26,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
64,27,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
65,28,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
66,29,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
67,30,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
68,31,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
69,32,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
70,33,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
71,34,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
72,35,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
73,36,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
74,37,"one_stage","additive_shared",2,0.3,0,0,0.0178571428571429
75,1,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
76,2,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
77,3,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
78,4,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
79,5,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
80,6,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
81,7,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
82,8,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
83,9,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
84,10,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
85,11,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
86,12,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
87,13,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
88,14,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
89,15,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
90,16,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
91,17,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
92,18,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
93,19,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
94,20,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
95,21,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
96,22,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
97,23,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
98,24,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
99,25,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
100,26,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
101,27,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
102,28,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
103,29,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
104,30,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
105,31,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
106,32,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
107,33,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
108,34,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
109,35,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
110,36,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
111,37,"two_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
112,1,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
113,2,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
114,3,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
115,4,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
116,5,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
117,6,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
118,7,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
119,8,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
120,9,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
121,10,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
122,11,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
123,12,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
124,13,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
125,14,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
126,15,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
127,16,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
128,17,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
129,18,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
130,19,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
131,20,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
132,21,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
133,22,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
134,23,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
135,24,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
136,25,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
137,26,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
138,27,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
139,28,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
140,29,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
141,30,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
142,31,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
143,32,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
144,33,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
145,34,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
146,35,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
147,36,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
148,37,"one_stage","additive_dose_specific",2,0.3,0,0,0.0178571428571429
149,1,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
150,2,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
151,3,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
152,4,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
153,5,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
154,6,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
155,7,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
156,8,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
157,9,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
158,10,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
159,11,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
160,12,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
161,13,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
162,14,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
163,15,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
164,16,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
165,17,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
166,18,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
167,19,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
168,20,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
169,21,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
170,22,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
171,23,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
172,24,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
173,25,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
174,26,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
175,27,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
176,28,"two_stage","additive_shared",3,1,0,0,0.0178571428571429
